งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
2014-01-01,28.9411,29.0315,29.5811
2014-01-02,28.9411,29.0315,29.5811
2014-01-03,29.0502,29.1367,29.6804
2014-01-04,29.1348,29.2224,29.7676
2014-01-05,29.2194,29.3081,29.8548
2014-01-06,29.304,29.3938,29.942
2014-01-07,29.2157,29.3055,29.8599
2014-01-08,29.1291,29.2196,29.7629
2014-01-09,28.9816,29.0746,29.6041
2014-01-10,29.0004,29.0892,29.6399
2014-01-11,29.1424,29.2311,29.7778
2014-01-12,29.2844,29.373,29.9158
2014-01-13,29.4264,29.5149,30.0537
2014-01-14,29.3526,29.4437,29.9851
2014-01-15,28.9627,29.0511,29.5894
2014-01-16,28.6426,28.7303,29.2708
2014-01-17,28.5009,28.5913,29.1247
2014-01-18,28.5053,28.5947,29.1345
2014-01-19,28.5096,28.5982,29.1444
2014-01-20,28.514,28.6016,29.1542
2014-01-21,28.5721,28.6583,29.2331
2014-01-22,28.7571,28.846,29.3949
2014-01-23,28.6902,28.7812,29.3265
2014-01-24,28.3865,28.4754,29.0279
2014-01-25,28.345,28.4331,28.9828
2014-01-26,28.3034,28.3909,28.9376
2014-01-27,28.2619,28.3486,28.8925
2014-01-28,28.4607,28.5463,29.0923
2014-01-29,28.6089,28.6962,29.2428
2014-01-30,28.4496,28.5363,29.0831
2014-01-31,28.6426,28.7306,29.2869
2014-02-01,28.5865,28.6739,29.2247
2014-02-02,28.5303,28.6173,29.1625
2014-02-03,28.4742,28.5606,29.1003
2014-02-04,28.6119,28.6967,29.2285
2014-02-05,28.7925,28.8799,29.4364
2014-02-06,29.0279,29.1168,29.6618
2014-02-07,28.9642,29.0536,29.6074
2014-02-08,28.9608,29.0502,29.6014
2014-02-09,28.9575,29.0469,29.5953
2014-02-10,28.9541,29.0435,29.5893
2014-02-11,29.1498,29.2394,29.7976
2014-02-12,29.1869,29.2772,29.825
2014-02-13,28.7594,28.8478,29.3959
2014-02-14,28.7954,28.8845,29.4307
2014-02-15,28.8314,28.9212,29.4656
2014-02-16,28.8674,28.9579,29.5004
2014-02-17,28.9034,28.9946,29.5352
2014-02-18,28.9924,29.0807,29.6254
2014-02-19,28.9839,29.0726,29.6205
2014-02-20,28.8907,28.9805,29.5356
2014-02-21,28.8922,28.9809,29.5304
2014-02-22,28.8806,28.9692,29.5192
2014-02-23,28.8689,28.9575,29.5081
2014-02-24,28.8573,28.9458,29.4969
2014-02-25,28.9855,29.0723,29.6209
2014-02-26,28.9453,29.0326,29.5745
2014-02-27,28.765,28.8529,29.4117
2014-02-28,28.873,28.9615,29.505
2014-03-01,28.8083,28.8961,29.4396
2014-03-02,28.7437,28.8307,29.3741
2014-03-03,28.679,28.7653,29.3087
2014-03-04,28.7338,28.8227,29.363
2014-03-05,28.6584,28.747,29.3033
2014-03-06,28.7687,28.8567,29.4004
2014-03-07,28.9537,29.0425,29.5928
2014-03-08,28.9469,29.0357,29.5846
2014-03-09,28.94,29.0289,29.5764
2014-03-10,28.9332,29.0221,29.5682
2014-03-11,28.8379,28.9234,29.4707
2014-03-12,28.6653,28.7545,29.2881
2014-03-13,28.9661,29.0569,29.5954
2014-03-14,28.8258,28.9164,29.4696
2014-03-15,28.8097,28.8993,29.4501
2014-03-16,28.7936,28.8821,29.4306
2014-03-17,28.7775,28.865,29.4111
2014-03-18,28.8383,28.9278,29.4715
2014-03-19,28.9136,29.0028,29.555
2014-03-20,28.8055,28.8933,29.4373
2014-03-21,28.9744,29.0629,29.6171
2014-03-22,29.0073,29.0963,29.648
2014-03-23,29.0402,29.1298,29.6788
2014-03-24,29.0731,29.1632,29.7097
2014-03-25,29.3309,29.4185,29.9676
2014-03-26,29.5074,29.5949,30.1531
2014-03-27,29.6804,29.7684,30.3398
2014-03-28,29.8233,29.9135,30.4707
2014-03-29,29.7587,29.8491,30.4043
2014-03-30,29.6941,29.7846,30.3378
