งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
2014-01-01,5.3426,5.3711,5.5011
2014-01-02,5.3426,5.3711,5.5011
2014-01-03,5.3713,5.3979,5.5185
2014-01-04,5.3735,5.4009,5.5245
2014-01-05,5.3756,5.4039,5.5305
2014-01-06,5.3778,5.4069,5.5365
2014-01-07,5.3837,5.4093,5.5373
2014-01-08,5.3765,5.404,5.535
2014-01-09,5.3725,5.3999,5.519
2014-01-10,5.3709,5.3995,5.5247
2014-01-11,5.3728,5.4007,5.5278
2014-01-12,5.3746,5.402,5.531
2014-01-13,5.3765,5.4032,5.5341
2014-01-14,5.363,5.3905,5.515
2014-01-15,5.3471,5.375,5.5041
2014-01-16,5.3548,5.3815,5.5158
2014-01-17,5.3312,5.3582,5.4813
2014-01-18,5.3397,5.3663,5.4895
2014-01-19,5.3481,5.3744,5.4978
2014-01-20,5.3566,5.3825,5.506
2014-01-21,5.3518,5.3793,5.5072
2014-01-22,5.3491,5.3758,5.5108
2014-01-23,5.3584,5.3873,5.519
2014-01-24,5.3461,5.3721,5.5058
2014-01-25,5.3494,5.3755,5.5062
2014-01-26,5.3526,5.3789,5.5065
2014-01-27,5.3559,5.3823,5.5069
2014-01-28,5.3548,5.3798,5.5043
2014-01-29,5.3512,5.3753,5.5053
2014-01-30,5.3674,5.3921,5.516
2014-01-31,5.3614,5.3879,5.5178
2014-02-01,5.3577,5.3847,5.5127
2014-02-02,5.3539,5.3815,5.5076
2014-02-03,5.3502,5.3783,5.5025
2014-02-04,5.3454,5.3742,5.5009
2014-02-05,5.3329,5.358,5.485
2014-02-06,5.3313,5.36,5.4836
2014-02-07,5.3371,5.3643,5.4902
2014-02-08,5.3344,5.3611,5.4876
2014-02-09,5.3316,5.3579,5.4849
2014-02-10,5.3289,5.3547,5.4823
2014-02-11,5.3318,5.3591,5.4859
2014-02-12,5.3131,5.3406,5.4685
2014-02-13,5.2926,5.3185,5.4408
2014-02-14,5.2804,5.3075,5.4327
2014-02-15,5.2683,5.2965,5.4246
2014-02-16,5.2562,5.2855,5.4166
2014-02-17,5.244,5.2745,5.4085
2014-02-18,5.2628,5.2903,5.4087
2014-02-19,5.2895,5.3136,5.4325
2014-02-20,5.2819,5.3072,5.4281
2014-02-21,5.2643,5.2916,5.4136
2014-02-22,5.2654,5.292,5.4137
2014-02-23,5.2666,5.2923,5.4139
2014-02-24,5.2677,5.2927,5.414
2014-02-25,5.2383,5.2648,5.3915
2014-02-26,5.2387,5.2595,5.3766
2014-02-27,5.2342,5.2603,5.3931
2014-02-28,5.2365,5.2587,5.3759
2014-03-01,5.2323,5.2549,5.3736
2014-03-02,5.2282,5.251,5.3714
2014-03-03,5.224,5.2472,5.3691
2014-03-04,5.2171,5.2427,5.3565
2014-03-05,5.1883,5.2137,5.3464
2014-03-06,5.2,5.223,5.342
2014-03-07,5.1923,5.2181,5.3453
2014-03-08,5.1943,5.2202,5.3459
2014-03-09,5.1963,5.2222,5.3466
2014-03-10,5.1983,5.2243,5.3472
2014-03-11,5.1887,5.2141,5.3343
2014-03-12,5.1888,5.2141,5.3374
2014-03-13,5.1878,5.2167,5.3396
2014-03-14,5.1793,5.2077,5.3356
2014-03-15,5.1733,5.2001,5.3258
2014-03-16,5.1672,5.1925,5.316
2014-03-17,5.1612,5.1849,5.3062
2014-03-18,5.1188,5.145,5.2729
2014-03-19,5.104,5.1281,5.2546
2014-03-20,5.1256,5.1528,5.2717
2014-03-21,5.1241,5.1521,5.2817
2014-03-22,5.1271,5.1538,5.2815
2014-03-23,5.13,5.1556,5.2812
2014-03-24,5.133,5.1573,5.281
2014-03-25,5.1657,5.194,5.3142
2014-03-26,5.1674,5.1949,5.3181
2014-03-27,5.1589,5.1848,5.3113
2014-03-28,5.1522,5.1789,5.3029
2014-03-29,5.1479,5.1745,5.2963
2014-03-30,5.1436,5.1702,5.2897
2014-03-31,5.1393,5.1658,5.2831
2014-04-01,5.1335,5.1613,5.2813
2014-04-02,5.136,5.161,5.2827
2014-04-03,5.1469,5.1746,5.2989
2014-04-04,5.1516,5.1782,5.2986
2014-04-05,5.1484,5.175,5.2956
2014-04-06,5.1451,5.1717,5.2927
2014-04-07,5.1418,5.1684,5.2898
2014-04-08,5.1386,5.1652,5.2868
2014-04-09,5.1155,5.143,5.2649
2014-04-10,5.1106,5.1383,5.2528
2014-04-11,5.1191,5.142,5.2632
2014-04-12,5.1182,5.141,5.2609
2014-04-13,5.1172,5.14,5.2586
2014-04-14,5.1163,5.1389,5.2564
2014-04-15,5.1153,5.1379,5.2541
2014-04-16,5.1144,5.1369,5.2518
2014-04-17,5.0939,5.1196,5.2439
2014-04-18,5.0902,5.1162,5.2589
2014-04-19,5.0907,5.1166,5.2519
2014-04-20,5.0912,5.1169,5.2448
2014-04-21,5.0917,5.1173,5.2378
2014-04-22,5.0993,5.1259,5.2482
2014-04-23,5.105,5.1324,5.2528
2014-04-24,5.0986,5.1229,5.2461
2014-04-25,5.0964,5.1269,5.2411
2014-04-26,5.0898,5.1209,5.2372
2014-04-27,5.0832,5.1148,5.2332
2014-04-28,5.0766,5.1088,5.2293
2014-04-29,5.0799,5.1095,5.2302
2014-04-30,5.076,5.1096,5.2247
2014-05-01,5.0814,5.115,5.2353
2014-05-02,5.0867,5.1204,5.2459
2014-05-03,5.0915,5.1247,5.2475
2014-05-04,5.0964,5.129,5.2491
2014-05-05,5.1012,5.1333,5.2507
2014-05-06,5.106,5.1376,5.2523
2014-05-07,5.1162,5.1461,5.2609
2014-05-08,5.1225,5.1562,5.2673
2014-05-09,5.1438,5.1771,5.2823
2014-05-10,5.1466,5.1793,5.2883
2014-05-11,5.1493,5.1816,5.2943
2014-05-12,5.1521,5.1838,5.3003
