งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
2014-01-01,4.1984,4.2144,4.2724
2014-01-02,4.1984,4.2144,4.2724
2014-01-03,4.212,4.2287,4.2841
2014-01-04,4.2151,4.2319,4.2878
2014-01-05,4.2183,4.2352,4.2915
2014-01-06,4.2214,4.2384,4.2952
2014-01-07,4.2233,4.2395,4.2972
2014-01-08,4.2191,4.2352,4.2919
2014-01-09,4.2154,4.2313,4.2853
2014-01-10,4.2138,4.2299,4.2861
2014-01-11,4.2142,4.2304,4.2864
2014-01-12,4.2145,4.2308,4.2866
2014-01-13,4.2149,4.2313,4.2869
2014-01-14,4.1982,4.2145,4.2704
2014-01-15,4.1884,4.2046,4.2615
2014-01-16,4.1996,4.2156,4.2719
2014-01-17,4.1803,4.1962,4.2511
2014-01-18,4.1857,4.2016,4.2572
2014-01-19,4.191,4.207,4.2634
2014-01-20,4.1964,4.2124,4.2695
2014-01-21,4.185,4.2027,4.2624
2014-01-22,4.1931,4.2094,4.2667
2014-01-23,4.2038,4.2198,4.2766
2014-01-24,4.1893,4.2052,4.2633
2014-01-25,4.1909,4.2067,4.2644
2014-01-26,4.1924,4.2082,4.2656
2014-01-27,4.194,4.2097,4.2667
2014-01-28,4.1922,4.2078,4.2648
2014-01-29,4.1942,4.2096,4.2664
2014-01-30,4.2042,4.2201,4.2753
2014-01-31,4.2035,4.2198,4.2787
2014-02-01,4.2013,4.2173,4.2752
2014-02-02,4.1992,4.2149,4.2717
2014-02-03,4.197,4.2124,4.2682
2014-02-04,4.1909,4.2074,4.2619
2014-02-05,4.1785,4.1948,4.2517
2014-02-06,4.1814,4.1971,4.253
2014-02-07,4.1859,4.2018,4.2589
2014-02-08,4.1847,4.2007,4.2575
2014-02-09,4.1836,4.1995,4.256
2014-02-10,4.1824,4.1984,4.2546
2014-02-11,4.1837,4.1996,4.257
2014-02-12,4.1689,4.1848,4.2419
2014-02-13,4.1541,4.1701,4.2259
2014-02-14,4.1468,4.163,4.2184
2014-02-15,4.1395,4.1559,4.2109
2014-02-16,4.1322,4.1488,4.2034
2014-02-17,4.1249,4.1417,4.1959
2014-02-18,4.1353,4.1512,4.2063
2014-02-19,4.1588,4.1748,4.2304
2014-02-20,4.1617,4.177,4.2344
2014-02-21,4.1523,4.1687,4.225
2014-02-22,4.1547,4.1709,4.2274
2014-02-23,4.1571,4.173,4.2297
2014-02-24,4.1595,4.1752,4.2321
2014-02-25,4.1459,4.1619,4.218
2014-02-26,4.1543,4.1697,4.2247
2014-02-27,4.1556,4.1714,4.2296
2014-02-28,4.1603,4.1755,4.2303
2014-03-01,4.1587,4.1741,4.229
2014-03-02,4.1572,4.1728,4.2278
2014-03-03,4.1556,4.1714,4.2265
2014-03-04,4.1508,4.1655,4.221
2014-03-05,4.1291,4.1446,4.2026
2014-03-06,4.1194,4.1357,4.1892
2014-03-07,4.1142,4.1303,4.1866
2014-03-08,4.1202,4.1361,4.1922
2014-03-09,4.1262,4.1419,4.1977
2014-03-10,4.1322,4.1477,4.2033
2014-03-11,4.1239,4.1397,4.1947
2014-03-12,4.1289,4.1449,4.1998
2014-03-13,4.1267,4.143,4.1977
2014-03-14,4.1183,4.1354,4.1924
2014-03-15,4.116,4.1325,4.1896
2014-03-16,4.1136,4.1295,4.1869
2014-03-17,4.1113,4.1266,4.1841
2014-03-18,4.0977,4.1137,4.1699
2014-03-19,4.0921,4.1085,4.1655
2014-03-20,4.1209,4.1373,4.1931
2014-03-21,4.1282,4.1452,4.202
2014-03-22,4.1313,4.1477,4.2041
2014-03-23,4.1345,4.1502,4.2063
2014-03-24,4.1376,4.1527,4.2084
2014-03-25,4.1454,4.1606,4.2167
2014-03-26,4.1567,4.1725,4.231
2014-03-27,4.1511,4.1676,4.2266
2014-03-28,4.148,4.1648,4.2207
2014-03-29,4.1445,4.1611,4.2173
2014-03-30,4.1409,4.1574,4.2139
2014-03-31,4.1374,4.1537,4.2105
2014-04-01,4.1327,4.1489,4.205
2014-04-02,4.1295,4.1453,4.2022
2014-04-03,4.1407,4.158,4.2144
2014-04-04,4.1499,4.1655,4.2224
2014-04-05,4.1469,4.1626,4.2191
