งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
2014-01-01,0.4677,0.4965,0.5662
2014-01-02,0.4677,0.4965,0.5662
2014-01-03,0.4695,0.4968,0.5625
2014-01-04,0.4712,0.4976,0.5642
2014-01-05,0.473,0.4984,0.5659
2014-01-06,0.4747,0.4992,0.5676
2014-01-07,0.4738,0.4986,0.5649
2014-01-08,0.472,0.498,0.565
2014-01-09,0.4716,0.4973,0.5672
2014-01-10,0.4671,0.4972,0.5676
2014-01-11,0.4705,0.4981,0.5682
2014-01-12,0.4739,0.4989,0.5688
2014-01-13,0.4773,0.4998,0.5694
2014-01-14,0.4736,0.4975,0.5712
2014-01-15,0.4705,0.4985,0.568
2014-01-16,0.4762,0.5018,0.5682
2014-01-17,0.4759,0.4984,0.5708
2014-01-18,0.4767,0.4996,0.5695
2014-01-19,0.4774,0.5008,0.5683
2014-01-20,0.4782,0.502,0.567
2014-01-21,0.4693,0.4991,0.5692
2014-01-22,0.4739,0.4994,0.5652
2014-01-23,0.4709,0.4994,0.5652
2014-01-24,0.4724,0.4987,0.5639
2014-01-25,0.4693,0.4956,0.5624
2014-01-26,0.4662,0.4926,0.5608
2014-01-27,0.4631,0.4895,0.5593
2014-01-28,0.4651,0.4889,0.5547
2014-01-29,0.4681,0.4947,0.5617
2014-01-30,0.4702,0.493,0.5595
2014-01-31,0.4707,0.4938,0.5597
2014-02-01,0.4681,0.4922,0.5601
2014-02-02,0.4655,0.4905,0.5604
2014-02-03,0.4629,0.4889,0.5608
2014-02-04,0.47,0.4915,0.5598
2014-02-05,0.4708,0.4919,0.5606
2014-02-06,0.4685,0.4917,0.5589
2014-02-07,0.469,0.4927,0.5582
2014-02-08,0.4688,0.4923,0.5598
2014-02-09,0.4687,0.4918,0.5614
2014-02-10,0.4685,0.4914,0.563
2014-02-11,0.465,0.4917,0.559
2014-02-12,0.4657,0.4905,0.5595
2014-02-13,0.4664,0.4894,0.5602
2014-02-14,0.4661,0.4895,0.5594
2014-02-15,0.4658,0.4896,0.5585
2014-02-16,0.4656,0.4896,0.5576
2014-02-17,0.4653,0.4897,0.5568
2014-02-18,0.4664,0.4892,0.5575
2014-02-19,0.4725,0.49,0.5615
2014-02-20,0.4689,0.4902,0.5593
2014-02-21,0.4616,0.4889,0.5561
2014-02-22,0.4628,0.4896,0.5571
2014-02-23,0.4641,0.4904,0.558
2014-02-24,0.4653,0.4911,0.559
2014-02-25,0.4678,0.4914,0.5595
2014-02-26,0.4745,0.4915,0.5628
2014-02-27,0.4658,0.4922,0.5593
2014-02-28,0.4712,0.4912,0.5613
2014-03-01,0.4718,0.4915,0.5616
2014-03-02,0.4725,0.4918,0.562
2014-03-03,0.4731,0.4921,0.5623
2014-03-04,0.4659,0.4895,0.5582
2014-03-05,0.4645,0.4912,0.5572
2014-03-06,0.4757,0.4911,0.5613
2014-03-07,0.4675,0.4922,0.5611
2014-03-08,0.4666,0.4931,0.5626
2014-03-09,0.4657,0.4939,0.5642
2014-03-10,0.4648,0.4948,0.5657
2014-03-11,0.472,0.4966,0.5679
2014-03-12,0.4749,0.4993,0.5665
2014-03-13,0.4684,0.4966,0.5629
2014-03-14,0.4664,0.4943,0.5589
2014-03-15,0.4671,0.4933,0.5595
2014-03-16,0.4678,0.4922,0.5601
2014-03-17,0.4685,0.4912,0.5607
2014-03-18,0.4662,0.4915,0.5603
2014-03-19,0.4695,0.4923,0.562
2014-03-20,0.4669,0.4942,0.566
2014-03-21,0.4665,0.4955,0.5608
2014-03-22,0.4687,0.4969,0.5631
2014-03-23,0.4709,0.4982,0.5653
2014-03-24,0.4731,0.4996,0.5676
2014-03-25,0.4726,0.4983,0.5701
2014-03-26,0.4751,0.5047,0.5722
2014-03-27,0.4754,0.5068,0.5772
2014-03-28,0.4764,0.5051,0.5763
2014-03-29,0.4772,0.5061,0.5759
2014-03-30,0.4781,0.507,0.5754
2014-03-31,0.4789,0.508,0.575
2014-04-01,0.4745,0.5033,0.5729
2014-04-02,0.4772,0.5045,0.5736
2014-04-03,0.4784,0.5083,0.5753
2014-04-04,0.4775,0.5066,0.5717
2014-04-05,0.477,0.5051,0.5724
2014-04-06,0.4764,0.5036,0.5732
2014-04-07,0.4759,0.5022,0.5739
2014-04-08,0.4754,0.5007,0.5746
2014-04-09,0.4733,0.501,0.5678
2014-04-10,0.4703,0.4993,0.5677
2014-04-11,0.4802,0.503,0.5689
2014-04-12,0.4799,0.5029,0.5687
2014-04-13,0.4796,0.5028,0.5684
2014-04-14,0.4794,0.5027,0.5682
2014-04-15,0.4791,0.5026,0.5679
2014-04-16,0.4788,0.5025,0.5677
2014-04-17,0.479,0.4986,0.567
2014-04-18,0.4696,0.4998,0.5662
2014-04-19,0.4698,0.4995,0.5668
2014-04-20,0.4701,0.4992,0.5673
2014-04-21,0.4703,0.4989,0.5679
2014-04-22,0.4694,0.4994,0.5648
2014-04-23,0.472,0.4981,0.5681
2014-04-24,0.4715,0.4996,0.5664
2014-04-25,0.4675,0.4963,0.5616
2014-04-26,0.4682,0.4968,0.5634
2014-04-27,0.469,0.4974,0.5651
2014-04-28,0.4697,0.4979,0.5669
2014-04-29,0.4736,0.4993,0.5666
2014-04-30,0.4755,0.5011,0.5683
2014-05-01,0.4748,0.5018,0.5688
2014-05-02,0.474,0.5025,0.5692
2014-05-03,0.4751,0.5027,0.5685
2014-05-04,0.4762,0.5029,0.5678
2014-05-05,0.4773,0.5031,0.5672
2014-05-06,0.4784,0.5033,0.5665
2014-05-07,0.4798,0.5037,0.5693
2014-05-08,0.4822,0.5064,0.5747
2014-05-09,0.4905,0.51,0.5784
2014-05-10,0.4871,0.5098,0.5784
2014-05-11,0.4838,0.5096,0.5783
2014-05-12,0.4804,0.5094,0.5783
2014-05-13,0.4824,0.5097,0.5782
2014-05-14,0.4844,0.5101,0.5782
2014-05-15,0.4858,0.5102,0.5803
2014-05-16,0.4896,0.5127,0.5862
2014-05-17,0.4933,0.5157,0.5853
2014-05-18,0.4969,0.5188,0.5843
2014-05-19,0.5006,0.5218,0.5834
2014-05-20,0.4965,0.519,0.5913
2014-05-21,0.4964,0.5183,0.5875
2014-05-22,0.4911,0.5164,0.5908
2014-05-23,0.4992,0.5211,0.593
2014-05-24,0.4988,0.5218,0.5927
2014-05-25,0.4984,0.5224,0.5925
2014-05-26,0.498,0.5231,0.5922
2014-05-27,0.4957,0.5202,0.5903
2014-05-28,0.4968,0.5203,0.5878
2014-05-29,0.4978,0.5196,0.59
2014-05-30,0.4977,0.5199,0.5906
2014-05-31,0.4961,0.52,0.5902
2014-06-01,0.4944,0.52,0.5897
2014-06-02,0.4928,0.5201,0.5893
2014-06-03,0.4949,0.5199,0.5877
2014-06-04,0.4911,0.5139,0.5887
2014-06-05,0.4907,0.5182,0.5859
2014-06-06,0.484,0.5159,0.5859
2014-06-07,0.4866,0.5151,0.5858
2014-06-08,0.4891,0.5143,0.5856
2014-06-09,0.4917,0.5135,0.5855
2014-06-10,0.489,0.5122,0.5864
2014-06-11,0.4919,0.5125,0.5874
2014-06-12,0.4923,0.5124,0.5865
2014-06-13,0.4899,0.5112,0.5825
2014-06-14,0.4864,0.5094,0.5812
2014-06-15,0.4828,0.5076,0.5799
2014-06-16,0.4793,0.5058,0.5786
2014-06-17,0.4833,0.5007,0.5776
2014-06-18,0.4806,0.5003,0.5769
2014-06-19,0.482,0.5019,0.5797
2014-06-20,0.4821,0.5011,0.5774
2014-06-21,0.4798,0.5003,0.5776
2014-06-22,0.4774,0.4995,0.5778
2014-06-23,0.4751,0.4987,0.578
2014-06-24,0.4835,0.5009,0.5813
2014-06-25,0.4819,0.5009,0.5771
2014-06-26,0.4794,0.5005,0.5788
2014-06-27,0.4788,0.5002,0.5804
2014-06-28,0.4794,0.5015,0.5791
2014-06-29,0.48,0.5028,0.5779
2014-06-30,0.4806,0.5041,0.5766
2014-07-01,0.479,0.5023,0.5772
2014-07-02,0.4774,0.5005,0.5778
2014-07-03,0.4865,0.5056,0.5797
2014-07-04,0.4858,0.5059,0.5792
2014-07-05,0.4844,0.5055,0.5789
2014-07-06,0.4829,0.5052,0.5786
2014-07-07,0.4815,0.5048,0.5783
2014-07-08,0.4858,0.5038,0.5828
2014-07-09,0.4816,0.5021,0.5786
2014-07-10,0.4799,0.5003,0.5766
2014-07-11,0.4798,0.4998,0.5758
2014-07-12,0.4798,0.4994,0.575
2014-07-13,0.4797,0.499,0.5742
