งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
2014-01-01,30.8683,30.967,31.5487
2014-01-02,30.8683,30.967,31.5487
2014-01-03,31.1665,31.2625,31.8297
2014-01-04,31.2136,31.311,31.8785
2014-01-05,31.2608,31.3595,31.9274
2014-01-06,31.3079,31.408,31.9762
2014-01-07,31.3338,31.4298,32.0038
2014-01-08,31.1622,31.2587,31.8229
2014-01-09,31.0995,31.1963,31.7601
2014-01-10,31.1083,31.2016,31.7709
2014-01-11,31.2354,31.33,31.9058
2014-01-12,31.3624,31.4583,32.0407
2014-01-13,31.4895,31.5867,32.1756
2014-01-14,31.4292,31.5287,32.1153
2014-01-15,31.081,31.176,31.7447
2014-01-16,31.04,31.1348,31.6932
2014-01-17,31.0029,31.0994,31.6747
2014-01-18,31.086,31.1814,31.7585
2014-01-19,31.1692,31.2635,31.8424
2014-01-20,31.2523,31.3455,31.9262
2014-01-21,31.0299,31.1246,31.7054
2014-01-22,31.1373,31.2329,31.8027
2014-01-23,31.1455,31.2396,31.8045
2014-01-24,31.3717,31.4663,32.0445
2014-01-25,31.4987,31.5962,32.177
2014-01-26,31.6258,31.7261,32.3095
2014-01-27,31.7528,31.856,32.442
2014-01-28,31.6522,31.7471,32.3306
2014-01-29,31.4985,31.5931,32.1651
2014-01-30,31.8643,31.9587,32.5325
2014-01-31,31.7522,31.8479,32.4275
2014-02-01,31.7659,31.8623,32.4443
2014-02-02,31.7796,31.8768,32.461
2014-02-03,31.7933,31.8912,32.4778
2014-02-04,32.1032,32.2019,32.7924
2014-02-05,31.93,32.0266,32.6118
2014-02-06,31.9278,32.0244,32.6081
2014-02-07,31.7971,31.8933,32.4793
2014-02-08,31.7449,31.8413,32.4247
2014-02-09,31.6927,31.7893,32.3702
2014-02-10,31.6405,31.7373,32.3156
2014-02-11,31.7242,31.8205,32.3999
2014-02-12,31.4924,31.5892,32.1714
2014-02-13,31.4291,31.5256,32.1169
2014-02-14,31.432,31.5289,32.1161
2014-02-15,31.435,31.5322,32.1154
2014-02-16,31.4379,31.5355,32.1146
2014-02-17,31.4408,31.5388,32.1138
2014-02-18,31.3155,31.4125,31.986
2014-02-19,31.4901,31.587,32.1618
2014-02-20,31.5884,31.685,32.2666
2014-02-21,31.3862,31.4825,32.06
2014-02-22,31.4031,31.4993,32.0787
2014-02-23,31.4201,31.5162,32.0973
2014-02-24,31.437,31.533,32.116
2014-02-25,31.3425,31.4382,32.0067
2014-02-26,31.4608,31.5563,32.1255
2014-02-27,31.4675,31.5628,32.138
2014-02-28,31.6379,31.7319,32.3038
2014-03-01,31.6759,31.7708,32.3458
2014-03-02,31.7139,31.8097,32.3878
2014-03-03,31.7519,31.8486,32.4298
2014-03-04,31.6239,31.7185,32.3019
2014-03-05,31.3082,31.4082,31.9993
2014-03-06,31.1248,31.2194,31.7783
2014-03-07,30.9666,31.0619,31.6356
2014-03-08,30.9949,31.0903,31.6679
2014-03-09,31.0233,31.1188,31.7003
2014-03-10,31.0516,31.1472,31.7326
2014-03-11,30.9265,31.0218,31.5878
2014-03-12,31.0709,31.1676,31.7471
2014-03-13,31.1367,31.2339,31.8033
2014-03-14,31.3742,31.4709,32.0449
2014-03-15,31.3848,31.4809,32.0565
2014-03-16,31.3954,31.4909,32.0682
2014-03-17,31.406,31.5009,32.0798
2014-03-18,31.2242,31.321,31.8971
2014-03-19,31.2948,31.3925,31.9807
2014-03-20,31.2165,31.3143,31.8955
2014-03-21,31.2885,31.3855,31.9588
2014-03-22,31.2953,31.3913,31.9629
2014-03-23,31.3021,31.3972,31.9669
2014-03-24,31.3089,31.403,31.971
2014-03-25,31.3916,31.4905,32.071
2014-03-26,31.482,31.5773,32.1545
2014-03-27,31.5404,31.6377,32.2373
2014-03-28,31.4571,31.5541,32.1329
2014-03-29,31.3577,31.4546,32.0345
2014-03-30,31.2584,31.355,31.9362
2014-03-31,31.159,31.2555,31.8378
2014-04-01,31.0022,31.098,31.6671
2014-04-02,30.8047,30.8983,31.4684
2014-04-03,30.8719,30.9681,31.5342
2014-04-04,30.941,31.0343,31.6029
2014-04-05,30.9895,31.0834,31.6519
2014-04-06,31.038,31.1326,31.7008
2014-04-07,31.0866,31.1817,31.7498
2014-04-08,31.1351,31.2308,31.7987
2014-04-09,31.2202,31.3168,31.8904
2014-04-10,31.2064,31.3031,31.8917
2014-04-11,31.4173,31.5122,32.0931
2014-04-12,31.3873,31.4817,32.0596
2014-04-13,31.3572,31.4512,32.0261
2014-04-14,31.3272,31.4207,31.9925
2014-04-15,31.2971,31.3902,31.959
2014-04-16,31.2671,31.3597,31.9255
2014-04-17,31.1815,31.2752,31.8603
2014-04-18,31.0362,31.1299,31.7207
2014-04-19,31.0235,31.1173,31.7047
2014-04-20,31.0107,31.1048,31.6886
2014-04-21,30.998,31.0922,31.6726
2014-04-22,31.0907,31.1845,31.7631
2014-04-23,31.1719,31.2681,31.8485
2014-04-24,31.1881,31.2829,31.8627
2014-04-25,31.2344,31.3336,31.9001
2014-04-26,31.2204,31.3181,31.8894
2014-04-27,31.2065,31.3027,31.8787
2014-04-28,31.1925,31.2872,31.868
2014-04-29,31.1196,31.2142,31.7833
2014-04-30,31.148,31.2434,31.8159
2014-05-01,31.2062,31.3024,31.8814
2014-05-02,31.2645,31.3615,31.9468
2014-05-03,31.2832,31.3796,31.9602
2014-05-04,31.302,31.3978,31.9735
2014-05-05,31.3207,31.4159,31.9868
2014-05-06,31.3394,31.434,32.0002
2014-05-07,31.4881,31.5823,32.1568
2014-05-08,31.4729,31.5697,32.1492
2014-05-09,31.6241,31.7198,32.2939
2014-05-10,31.6252,31.7211,32.2956
2014-05-11,31.6263,31.7225,32.2974
2014-05-12,31.6274,31.7238,32.2991
2014-05-13,31.535,31.6314,32.2024
2014-05-14,31.4427,31.5391,32.1056
2014-05-15,31.4468,31.543,32.1144
2014-05-16,31.6026,31.6979,32.2707
2014-05-17,31.6118,31.7071,32.2802
2014-05-18,31.6209,31.7164,32.2897
2014-05-19,31.6301,31.7256,32.2992
2014-05-20,31.662,31.7624,32.3527
2014-05-21,31.7476,31.8458,32.4393
2014-05-22,31.5491,31.651,32.2431
2014-05-23,31.5634,31.6606,32.242
2014-05-24,31.576,31.6726,32.2519
2014-05-25,31.5885,31.6847,32.2617
2014-05-26,31.6011,31.6967,32.2716
2014-05-27,31.588,31.6836,32.2586
2014-05-28,31.6474,31.7446,32.3275
2014-05-29,31.7879,31.8829,32.4585
2014-05-30,31.8862,31.9835,32.5674
2014-05-31,31.8682,31.9673,32.5532
2014-06-01,31.8502,31.951,32.539
2014-06-02,31.8322,31.9348,32.5248
2014-06-03,31.6126,31.7086,32.2752
2014-06-04,31.44,31.5388,32.1272
2014-06-05,31.4959,31.5921,32.1599
2014-06-06,31.4618,31.5645,32.1441
2014-06-07,31.4002,31.4986,32.0767
2014-06-08,31.3385,31.4327,32.0092
2014-06-09,31.2769,31.3668,31.9418
2014-06-10,31.3218,31.4103,31.9939
2014-06-11,31.3545,31.4415,32.0239
2014-06-12,31.4396,31.5366,32.1185
2014-06-13,31.4566,31.542,32.1293
2014-06-14,31.4364,31.5249,32.1081
2014-06-15,31.4161,31.5078,32.0868
2014-06-16,31.3959,31.4907,32.0656
2014-06-17,31.4027,31.4922,32.0784
2014-06-18,31.4236,31.5128,32.0968
2014-06-19,31.4095,31.5024,32.0914
2014-06-20,31.4865,31.5808,32.1685
2014-06-21,31.4595,31.5525,32.142
2014-06-22,31.4326,31.5243,32.1154
2014-06-23,31.4056,31.496,32.0889
2014-06-24,31.4698,31.5655,32.1444
2014-06-25,31.4799,31.5744,32.1557
2014-06-26,31.5098,31.5999,32.1892
2014-06-27,31.6007,31.6919,32.2824
2014-06-28,31.6151,31.7078,32.2982
2014-06-29,31.6294,31.7237,32.3141
2014-06-30,31.6438,31.7396,32.3299
2014-07-01,31.5748,31.671,32.2571
2014-07-02,31.5059,31.6023,32.1844
2014-07-03,31.3959,31.4875,32.082
2014-07-04,31.3552,31.4508,32.0198
2014-07-05,31.3467,31.442,32.0136
2014-07-06,31.3381,31.4333,32.0073
2014-07-07,31.3296,31.4245,32.0011
2014-07-08,31.4425,31.5373,32.1113
2014-07-09,31.4393,31.5338,32.1181
2014-07-10,31.2814,31.3782,31.9541
2014-07-11,31.292,31.3884,31.9674
2014-07-12,31.3026,31.3986,31.9806
2014-07-13,31.3133,31.4089,31.9939
2014-07-14,31.3239,31.4191,32.0072
2014-07-15,31.2632,31.3549,31.9429
2014-07-16,31.2456,31.3413,31.9096
2014-07-17,31.2542,31.3478,31.9356
2014-07-18,31.404,31.501,32.0841
2014-07-19,31.3581,31.4531,32.0421
2014-07-20,31.3121,31.4051,32.0002
2014-07-21,31.2662,31.3572,31.9582
2014-07-22,31.005,31.0971,31.6826
2014-07-23,30.9426,31.0382,31.6182
2014-07-24,30.9574,31.0534,31.6369
2014-07-25,30.9221,31.0173,31.6065
2014-07-26,30.9055,30.9999,31.5851
2014-07-27,30.8889,30.9824,31.5638
2014-07-28,30.8723,30.965,31.5424
2014-07-29,30.8345,30.9299,31.5078
2014-07-30,30.8069,30.9037,31.491
2014-07-31,30.7324,30.8204,31.4166
2014-08-01,30.9104,31.0032,31.5804
2014-08-02,30.92,31.013,31.5918
2014-08-03,30.9296,31.0228,31.6033
2014-08-04,30.9392,31.0326,31.6147
2014-08-05,30.9395,31.0338,31.6099
2014-08-06,30.9995,31.0902,31.6611
2014-08-07,31.1306,31.227,31.806
2014-08-08,31.2734,31.3655,31.9566
2014-08-09,31.2024,31.2942,31.8836
2014-08-10,31.1314,31.223,31.8107
2014-08-11,31.0604,31.1517,31.7377
2014-08-12,30.9894,31.0805,31.6648
2014-08-13,30.9184,31.0092,31.5918
2014-08-14,30.7227,30.8139,31.3833
2014-08-15,30.7257,30.8197,31.3829
2014-08-16,30.7256,30.82,31.3877
2014-08-17,30.7254,30.8204,31.3924
2014-08-18,30.7253,30.8207,31.3972
2014-08-19,30.6673,30.758,31.3416
2014-08-20,30.5874,30.6748,31.2614
2014-08-21,30.4857,30.5759,31.1385
2014-08-22,30.354,30.4294,31.0148
2014-08-23,30.3556,30.4337,31.0163
2014-08-24,30.3571,30.438,31.0177
2014-08-25,30.3587,30.4423,31.0192
2014-08-26,30.358,30.4422,31.022
2014-08-27,30.29,30.3753,30.9547
2014-08-28,30.3185,30.4123,31.0051
2014-08-29,30.4181,30.5092,31.0961
