งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
2014-01-01,-,0.8253,0.8324
2014-01-02,-,0.8253,0.8324
2014-01-03,-,0.8222,0.8291
2014-01-04,-,0.8246,0.8315
2014-01-05,-,0.827,0.8339
2014-01-06,-,0.8294,0.8363
2014-01-07,-,0.8247,0.8316
2014-01-08,-,0.8233,0.8303
2014-01-09,-,0.8235,0.8301
2014-01-10,-,0.824,0.8309
2014-01-11,-,0.8254,0.8323
2014-01-12,-,0.8269,0.8337
2014-01-13,-,0.8283,0.8351
2014-01-14,-,0.8219,0.8288
2014-01-15,-,0.8208,0.8276
2014-01-16,-,0.8229,0.8298
2014-01-17,-,0.8172,0.824
2014-01-18,-,0.8196,0.8265
2014-01-19,-,0.8219,0.8289
2014-01-20,-,0.8243,0.8314
2014-01-21,-,0.8196,0.8269
2014-01-22,-,0.8209,0.8279
2014-01-23,-,0.8225,0.8295
2014-01-24,-,0.8204,0.8276
2014-01-25,-,0.8208,0.8279
2014-01-26,-,0.8211,0.8283
2014-01-27,-,0.8215,0.8286
2014-01-28,-,0.8207,0.8277
2014-01-29,-,0.8221,0.8292
2014-01-30,-,0.8244,0.8313
2014-01-31,-,0.8286,0.8358
2014-02-01,-,0.8264,0.8335
2014-02-02,-,0.8242,0.8311
2014-02-03,-,0.822,0.8288
2014-02-04,-,0.8214,0.8281
2014-02-05,-,0.8192,0.8263
2014-02-06,-,0.8201,0.827
2014-02-07,-,0.82,0.827
2014-02-08,-,0.8202,0.8272
2014-02-09,-,0.8205,0.8275
2014-02-10,-,0.8207,0.8277
2014-02-11,-,0.8222,0.8293
2014-02-12,-,0.8119,0.8188
2014-02-13,-,0.8087,0.8155
2014-02-14,-,0.8102,0.8171
2014-02-15,-,0.8118,0.8186
2014-02-16,-,0.8133,0.8202
2014-02-17,-,0.8148,0.8218
2014-02-18,-,0.8101,0.8171
2014-02-19,-,0.8165,0.8235
2014-02-20,-,0.8175,0.8245
2014-02-21,-,0.8158,0.8228
2014-02-22,-,0.8164,0.8234
2014-02-23,-,0.8171,0.8241
2014-02-24,-,0.8177,0.8247
2014-02-25,-,0.8153,0.8222
2014-02-26,-,0.8156,0.8225
2014-02-27,-,0.8172,0.8244
2014-02-28,-,0.8177,0.8245
2014-03-01,-,0.8189,0.8258
2014-03-02,-,0.8201,0.827
2014-03-03,-,0.8213,0.8283
2014-03-04,-,0.8159,0.8229
2014-03-05,-,0.812,0.8193
2014-03-06,-,0.8094,0.8162
2014-03-07,-,0.8076,0.8147
2014-03-08,-,0.8099,0.817
2014-03-09,-,0.8122,0.8192
2014-03-10,-,0.8145,0.8215
2014-03-11,-,0.809,0.8158
2014-03-12,-,0.8106,0.8174
2014-03-13,-,0.8069,0.8137
2014-03-14,-,0.8056,0.8126
2014-03-15,-,0.8059,0.8129
2014-03-16,-,0.8061,0.8131
2014-03-17,-,0.8064,0.8134
2014-03-18,-,0.8011,0.808
2014-03-19,-,0.8018,0.8088
2014-03-20,-,0.8074,0.8143
2014-03-21,-,0.8091,0.816
2014-03-22,-,0.8092,0.8161
2014-03-23,-,0.8094,0.8163
2014-03-24,-,0.8095,0.8164
2014-03-25,-,0.8106,0.8175
2014-03-26,-,0.8129,0.82
2014-03-27,-,0.8121,0.8193
2014-03-28,-,0.8067,0.8136
2014-03-29,-,0.806,0.8129
2014-03-30,-,0.8053,0.8122
2014-03-31,-,0.8046,0.8115
2014-04-01,-,0.8034,0.8102
2014-04-02,-,0.8027,0.8096
2014-04-03,-,0.8053,0.8122
2014-04-04,-,0.8069,0.8138
2014-04-05,-,0.806,0.8128
2014-04-06,-,0.805,0.8119
2014-04-07,-,0.8041,0.811
2014-04-08,-,0.8032,0.81
2014-04-09,-,0.7989,0.8057
2014-04-10,-,0.7984,0.8051
2014-04-11,-,0.8012,0.8082
2014-04-12,-,0.8011,0.8081
2014-04-13,-,0.801,0.8079
2014-04-14,-,0.8009,0.8078
2014-04-15,-,0.8008,0.8076
2014-04-16,-,0.8007,0.8075
2014-04-17,-,0.807,0.8141
2014-04-18,-,0.8125,0.8197
2014-04-19,-,0.807,0.8141
2014-04-20,-,0.8016,0.8086
2014-04-21,-,0.7961,0.803
2014-04-22,-,0.8,0.8069
2014-04-23,-,0.8005,0.8072
2014-04-24,-,0.8009,0.808
2014-04-25,-,0.8013,0.8081
2014-04-26,-,0.7995,0.8064
2014-04-27,-,0.7978,0.8047
2014-04-28,-,0.796,0.803
2014-04-29,-,0.7996,0.8067
2014-04-30,-,0.8003,0.8072
2014-05-01,-,0.801,0.8081
2014-05-02,-,0.8018,0.809
2014-05-03,-,0.8015,0.8086
2014-05-04,-,0.8012,0.8082
2014-05-05,-,0.8008,0.8077
2014-05-06,-,0.8005,0.8073
2014-05-07,-,0.8034,0.8104
2014-05-08,-,0.8052,0.812
2014-05-09,-,0.8042,0.811
2014-05-10,-,0.8061,0.813
2014-05-11,-,0.8081,0.8149
2014-05-12,-,0.81,0.8169
2014-05-13,-,0.807,0.8138
2014-05-14,-,0.8039,0.8106
2014-05-15,-,0.8012,0.808
2014-05-16,-,0.8029,0.8097
2014-05-17,-,0.8029,0.8097
2014-05-18,-,0.8028,0.8096
2014-05-19,-,0.8028,0.8096
2014-05-20,-,0.8034,0.8103
2014-05-21,-,0.8032,0.8102
2014-05-22,-,0.8001,0.807
2014-05-23,-,0.8013,0.808
2014-05-24,-,0.8025,0.8093
2014-05-25,-,0.8037,0.8106
2014-05-26,-,0.8049,0.8119
2014-05-27,-,0.8023,0.8092
2014-05-28,-,0.8027,0.8093
2014-05-29,-,0.8067,0.8136
2014-05-30,-,0.8061,0.813
2014-05-31,-,0.8073,0.8142
2014-06-01,-,0.8086,0.8155
2014-06-02,-,0.8098,0.8167
2014-06-03,-,0.8065,0.8132
2014-06-04,-,0.8071,0.814
2014-06-05,-,0.8041,0.811
2014-06-06,-,0.8031,0.8101
2014-06-07,-,0.8015,0.8085
2014-06-08,-,0.7998,0.8068
2014-06-09,-,0.7982,0.8052
2014-06-10,-,0.7985,0.8055
2014-06-11,-,0.8018,0.8087
2014-06-12,-,0.7993,0.8062
2014-06-13,-,0.8003,0.8076
2014-06-14,-,0.7997,0.8068
2014-06-15,-,0.799,0.8061
2014-06-16,-,0.7984,0.8053
2014-06-17,-,0.7989,0.8057
2014-06-18,-,0.8006,0.8077
2014-06-19,-,0.7988,0.8058
2014-06-20,-,0.8007,0.8081
2014-06-21,-,0.8007,0.8079
2014-06-22,-,0.8006,0.8076
2014-06-23,-,0.8006,0.8074
2014-06-24,-,0.8006,0.8077
2014-06-25,-,0.7984,0.8056
2014-06-26,-,0.7988,0.8059
2014-06-27,-,0.7994,0.8065
2014-06-28,-,0.7996,0.8067
2014-06-29,-,0.7999,0.807
2014-06-30,-,0.8001,0.8072
2014-07-01,-,0.799,0.806
2014-07-02,-,0.7979,0.8049
2014-07-03,-,0.7984,0.8054
2014-07-04,-,0.7997,0.8067
2014-07-05,-,0.7984,0.8054
2014-07-06,-,0.7971,0.8041
2014-07-07,-,0.7958,0.8028
2014-07-08,-,0.7973,0.8043
2014-07-09,-,0.794,0.8009
2014-07-10,-,0.7906,0.7973
2014-07-11,-,0.7907,0.7976
2014-07-12,-,0.7909,0.7978
2014-07-13,-,0.791,0.798
2014-07-14,-,0.7912,0.7983
2014-07-15,-,0.7925,0.7995
2014-07-16,-,0.7937,0.8006
2014-07-17,-,0.7917,0.7987
