งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
2014-01-01,9.8232,9.8834,10.1932
2014-01-02,9.8232,9.8834,10.1932
2014-01-03,9.8278,9.8673,10.1765
2014-01-04,9.8417,9.8841,10.1883
2014-01-05,9.8556,9.901,10.2001
2014-01-06,9.8695,9.9178,10.2119
2014-01-07,9.8873,9.9342,10.2288
2014-01-08,9.8758,9.917,10.2321
2014-01-09,9.8912,9.9364,10.2329
2014-01-10,9.9012,9.9488,10.2448
2014-01-11,9.9297,9.9758,10.2731
2014-01-12,9.9582,10.0027,10.3013
2014-01-13,9.9867,10.0297,10.3296
2014-01-14,9.8942,9.9374,10.2642
2014-01-15,9.804,9.8567,10.1974
2014-01-16,9.8067,9.8555,10.149
2014-01-17,9.7441,9.7879,10.0888
2014-01-18,9.75,9.7947,10.0931
2014-01-19,9.756,9.8015,10.0974
2014-01-20,9.7619,9.8083,10.1017
2014-01-21,9.7253,9.7729,10.0646
2014-01-22,9.6983,9.7425,10.0399
2014-01-23,9.7057,9.7493,10.0484
2014-01-24,9.6808,9.7253,10.0222
2014-01-25,9.6749,9.7169,10.017
2014-01-26,9.6691,9.7086,10.0117
2014-01-27,9.6632,9.7002,10.0065
2014-01-28,9.6651,9.7121,10.0033
2014-01-29,9.7176,9.7663,10.0568
2014-01-30,9.6822,9.729,10.0191
2014-01-31,9.6769,9.7133,10.0236
2014-02-01,9.6809,9.7154,10.032
2014-02-02,9.685,9.7176,10.0404
2014-02-03,9.689,9.7197,10.0488
2014-02-04,9.6562,9.7003,10.0012
2014-02-05,9.6921,9.7371,10.037
2014-02-06,9.7092,9.7561,10.0518
2014-02-07,9.6782,9.732,10.0364
2014-02-08,9.6759,9.7275,10.0273
2014-02-09,9.6736,9.7229,10.0181
2014-02-10,9.6713,9.7184,10.009
2014-02-11,9.6372,9.6841,9.9748
2014-02-12,9.6598,9.6898,10.0067
2014-02-13,9.6135,9.6607,9.9506
2014-02-14,9.6189,9.6629,9.9548
2014-02-15,9.6243,9.6652,9.959
2014-02-16,9.6297,9.6674,9.9631
2014-02-17,9.6351,9.6696,9.9673
2014-02-18,9.6436,9.6843,9.9927
2014-02-19,9.69,9.7285,10.0343
2014-02-20,9.6934,9.7316,10.0449
2014-02-21,9.6718,9.7215,10.014
2014-02-22,9.6781,9.7263,10.0218
2014-02-23,9.6843,9.7311,10.0297
2014-02-24,9.6906,9.7359,10.0375
2014-02-25,9.7299,9.7675,10.0777
2014-02-26,9.7434,9.7915,10.0854
2014-02-27,9.7534,9.7931,10.102
2014-02-28,9.7661,9.8139,10.1046
2014-03-01,9.7577,9.8054,10.0965
2014-03-02,9.7494,9.7968,10.0885
2014-03-03,9.741,9.7883,10.0804
2014-03-04,9.7273,9.776,10.0697
2014-03-05,9.7009,9.7497,10.0431
2014-03-06,9.7001,9.7479,10.0403
2014-03-07,9.7317,9.7798,10.0731
2014-03-08,9.7233,9.7713,10.0651
2014-03-09,9.7149,9.7629,10.0572
2014-03-10,9.7065,9.7544,10.0492
2014-03-11,9.6752,9.7132,10.0232
2014-03-12,9.6709,9.716,10.0129
2014-03-13,9.7047,9.7515,10.0469
2014-03-14,9.6701,9.7184,10.0092
2014-03-15,9.6651,9.7103,10.0064
2014-03-16,9.6601,9.7023,10.0035
2014-03-17,9.6551,9.6942,10.0007
2014-03-18,9.6582,9.6958,10.0011
2014-03-19,9.6181,9.6652,9.957
2014-03-20,9.6442,9.6905,9.9825
2014-03-21,9.6152,9.6619,9.9523
2014-03-22,9.6209,9.667,9.9591
2014-03-23,9.6267,9.672,9.9658
2014-03-24,9.6324,9.6771,9.9726
2014-03-25,9.6368,9.6888,10.0388
