งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
2014-01-01,0.7187,0.7286,0.7589
2014-01-02,0.7187,0.7286,0.7589
2014-01-03,0.7142,0.7268,0.7539
2014-01-04,0.7144,0.7271,0.7541
2014-01-05,0.7146,0.7275,0.7543
2014-01-06,0.7148,0.7278,0.7545
2014-01-07,0.7147,0.7275,0.7542
2014-01-08,0.7131,0.726,0.753
2014-01-09,0.7128,0.7256,0.7522
2014-01-10,0.7147,0.7274,0.7538
2014-01-11,0.7152,0.7278,0.7543
2014-01-12,0.7156,0.7283,0.7547
2014-01-13,0.7161,0.7287,0.7552
2014-01-14,0.7106,0.72,0.7507
2014-01-15,0.7044,0.7172,0.7446
2014-01-16,0.705,0.718,0.7447
2014-01-17,0.7016,0.7144,0.7405
2014-01-18,0.7025,0.7153,0.7414
2014-01-19,0.7035,0.7161,0.7423
2014-01-20,0.7044,0.717,0.7432
2014-01-21,0.7012,0.7141,0.7393
2014-01-22,0.7016,0.7143,0.7396
2014-01-23,0.7028,0.7153,0.7431
2014-01-24,0.7002,0.7127,0.7394
2014-01-25,0.6998,0.7122,0.739
2014-01-26,0.6994,0.7116,0.7386
2014-01-27,0.699,0.7111,0.7382
2014-01-28,0.7011,0.7138,0.7401
2014-01-29,0.7037,0.7163,0.7423
2014-01-30,0.702,0.7146,0.7406
2014-01-31,0.7022,0.7146,0.742
2014-02-01,0.7039,0.7156,0.7417
2014-02-02,0.7057,0.7166,0.7413
2014-02-03,0.7074,0.7176,0.741
2014-02-04,0.6984,0.7113,0.7378
2014-02-05,0.6987,0.7113,0.7373
2014-02-06,0.699,0.7117,0.7386
2014-02-07,0.7021,0.7155,0.7409
2014-02-08,0.7027,0.7158,0.742
2014-02-09,0.7033,0.7162,0.7432
2014-02-10,0.7039,0.7165,0.7443
2014-02-11,0.7043,0.7171,0.7428
2014-02-12,0.7011,0.7132,0.7412
2014-02-13,0.7007,0.7136,0.74
2014-02-14,0.7001,0.713,0.7397
2014-02-15,0.6996,0.7123,0.7394
2014-02-16,0.699,0.7116,0.7391
2014-02-17,0.6984,0.711,0.7388
2014-02-18,0.703,0.7146,0.7418
2014-02-19,0.705,0.7168,0.7443
2014-02-20,0.704,0.7162,0.7429
2014-02-21,0.7038,0.7164,0.7421
2014-02-22,0.7042,0.7168,0.7429
2014-02-23,0.7046,0.7173,0.7437
2014-02-24,0.705,0.7177,0.7445
2014-02-25,0.7043,0.7161,0.7438
2014-02-26,0.704,0.7166,0.7433
2014-02-27,0.7048,0.7171,0.7443
2014-02-28,0.7043,0.7167,0.7445
2014-03-01,0.704,0.7165,0.7437
2014-03-02,0.7038,0.7163,0.7429
2014-03-03,0.7035,0.7161,0.7421
2014-03-04,0.7005,0.7131,0.7401
2014-03-05,0.6968,0.7095,0.737
2014-03-06,0.6966,0.7092,0.7362
2014-03-07,0.6992,0.712,0.7392
2014-03-08,0.7002,0.7133,0.7398
2014-03-09,0.7012,0.7145,0.7405
2014-03-10,0.7022,0.7158,0.7411
2014-03-11,0.702,0.7137,0.7409
2014-03-12,0.701,0.7137,0.7403
2014-03-13,0.7018,0.7144,0.7406
2014-03-14,0.6982,0.7115,0.7378
2014-03-15,0.6979,0.7106,0.7372
2014-03-16,0.6975,0.7097,0.7367
2014-03-17,0.6972,0.7088,0.7361
2014-03-18,0.6912,0.7076,0.7347
2014-03-19,0.6866,0.7043,0.7312
2014-03-20,0.6884,0.7049,0.7327
2014-03-21,0.6875,0.705,0.7308
2014-03-22,0.6889,0.7047,0.7306
2014-03-23,0.6903,0.7043,0.7303
2014-03-24,0.6917,0.704,0.7301
2014-03-25,0.6915,0.7037,0.737
2014-03-26,0.694,0.7118,0.738
2014-03-27,0.6943,0.7114,0.7385
2014-03-28,0.692,0.7097,0.7363
2014-03-29,0.6927,0.7105,0.7368
2014-03-30,0.6935,0.7112,0.7373
2014-03-31,0.6942,0.712,0.7378
2014-04-01,0.6936,0.7113,0.7373
2014-04-02,0.6935,0.7111,0.737
2014-04-03,0.6922,0.7099,0.736
2014-04-04,0.6931,0.7108,0.7366
2014-04-05,0.6932,0.7105,0.7366
2014-04-06,0.6932,0.7103,0.7367
2014-04-07,0.6932,0.71,0.7368
2014-04-08,0.6933,0.7097,0.7368
2014-04-09,0.6915,0.7093,0.7365
2014-04-10,0.6915,0.7091,0.7369
2014-04-11,0.698,0.7157,0.7412
2014-04-12,0.6976,0.7152,0.7409
2014-04-13,0.6972,0.7146,0.7405
2014-04-14,0.6967,0.7141,0.7402
2014-04-15,0.6963,0.7135,0.7398
2014-04-16,0.6959,0.713,0.7395
2014-04-17,0.6941,0.7119,0.7387
2014-04-18,0.6958,0.7139,0.7402
2014-04-19,0.6954,0.7134,0.74
2014-04-20,0.6951,0.7129,0.7399
2014-04-21,0.6947,0.7124,0.7397
2014-04-22,0.6949,0.7135,0.7394
2014-04-23,0.6963,0.7139,0.7398
2014-04-24,0.6939,0.7116,0.7377
2014-04-25,0.6942,0.7116,0.738
2014-04-26,0.6941,0.7115,0.7381
2014-04-27,0.6941,0.7113,0.7382
2014-04-28,0.694,0.7112,0.7383
2014-04-29,0.6962,0.7133,0.7396
2014-04-30,0.6958,0.7131,0.7397
2014-05-01,0.6964,0.7138,0.7406
2014-05-02,0.6971,0.7145,0.7415
2014-05-03,0.6977,0.7151,0.7421
2014-05-04,0.6982,0.7158,0.7427
2014-05-05,0.6988,0.7164,0.7433
2014-05-06,0.6993,0.717,0.7439
2014-05-07,0.7012,0.7186,0.7446
2014-05-08,0.7022,0.7197,0.7474
2014-05-09,0.7095,0.727,0.7546
2014-05-10,0.7117,0.7292,0.7565
2014-05-11,0.714,0.7315,0.7584
2014-05-12,0.7162,0.7337,0.7603
2014-05-13,0.7152,0.7324,0.7596
2014-05-14,0.7142,0.7311,0.759
2014-05-15,0.7127,0.7311,0.7574
2014-05-16,0.7117,0.7293,0.7562
2014-05-17,0.7125,0.7301,0.757
2014-05-18,0.7132,0.7308,0.7579
2014-05-19,0.714,0.7316,0.7587
2014-05-20,0.7141,0.7268,0.7602
2014-05-21,0.7134,0.7298,0.7575
2014-05-22,0.711,0.7238,0.758
2014-05-23,0.7146,0.7317,0.7596
2014-05-24,0.7147,0.732,0.7598
2014-05-25,0.7148,0.7324,0.7601
2014-05-26,0.7149,0.7327,0.7603
2014-05-27,0.7159,0.7335,0.7605
2014-05-28,0.7127,0.7313,0.7579
2014-05-29,0.7155,0.7326,0.7599
2014-05-30,0.7163,0.7331,0.7619
2014-05-31,0.7171,0.7343,0.7624
2014-06-01,0.718,0.7355,0.763
2014-06-02,0.7188,0.7367,0.7635
2014-06-03,0.7164,0.7334,0.7614
2014-06-04,0.7143,0.7315,0.759
2014-06-05,0.715,0.7328,0.7597
2014-06-06,0.7161,0.7339,0.7608
2014-06-07,0.7157,0.7334,0.7603
2014-06-08,0.7152,0.733,0.7598
2014-06-09,0.7148,0.7325,0.7593
2014-06-10,0.7132,0.7309,0.7584
2014-06-11,0.712,0.7296,0.7567
2014-06-12,0.7114,0.729,0.756
2014-06-13,0.71,0.728,0.7551
2014-06-14,0.7094,0.7273,0.7542
2014-06-15,0.7089,0.7267,0.7532
2014-06-16,0.7083,0.726,0.7523
2014-06-17,0.7068,0.7245,0.7519
2014-06-18,0.7087,0.7266,0.7531
2014-06-19,0.7071,0.7248,0.7519
2014-06-20,0.7112,0.7289,0.7563
2014-06-21,0.7107,0.7286,0.7559
2014-06-22,0.7101,0.7283,0.7554
2014-06-23,0.7096,0.728,0.755
2014-06-24,0.7095,0.7272,0.7546
2014-06-25,0.7089,0.7262,0.7536
2014-06-26,0.7097,0.7282,0.7544
2014-06-27,0.711,0.7287,0.7559
2014-06-28,0.7113,0.7289,0.7561
2014-06-29,0.7117,0.7291,0.7564
2014-06-30,0.712,0.7293,0.7566
2014-07-01,0.7121,0.7296,0.7568
2014-07-02,0.7122,0.7299,0.7571
2014-07-03,0.7112,0.729,0.756
2014-07-04,0.7135,0.731,0.7576
2014-07-05,0.7137,0.7313,0.7581
2014-07-06,0.7138,0.7315,0.7587
2014-07-07,0.714,0.7318,0.7592
2014-07-08,0.7143,0.7319,0.7591
2014-07-09,0.7165,0.7331,0.7608
2014-07-10,0.7129,0.7305,0.7576
2014-07-11,0.712,0.7285,0.7565
2014-07-12,0.7111,0.7264,0.7553
2014-07-13,0.7102,0.7244,0.7542
2014-07-14,0.7093,0.7224,0.753
2014-07-15,0.7084,0.7261,0.7526
2014-07-16,0.7063,0.7241,0.752
2014-07-17,0.7071,0.7247,0.7517
2014-07-18,0.7086,0.7262,0.7523
2014-07-19,0.7083,0.7242,0.7531
2014-07-20,0.708,0.7223,0.7539
2014-07-21,0.7077,0.7203,0.7547
2014-07-22,0.7044,0.7214,0.7491
2014-07-23,0.7039,0.7219,0.7487
2014-07-24,0.7046,0.7225,0.7492
2014-07-25,0.7043,0.7216,0.7483
2014-07-26,0.7043,0.7218,0.7486
2014-07-27,0.7044,0.7221,0.7489
2014-07-28,0.7044,0.7223,0.7492
2014-07-29,0.7033,0.7209,0.7477
2014-07-30,0.7029,0.7206,0.7471
2014-07-31,0.7065,0.7234,0.7509
2014-08-01,0.7059,0.7233,0.7515
2014-08-02,0.7059,0.7232,0.7508
2014-08-03,0.7058,0.7231,0.75
2014-08-04,0.7058,0.723,0.7493
2014-08-05,0.7071,0.7245,0.7516
2014-08-06,0.7067,0.7242,0.7513
2014-08-07,0.704,0.7205,0.7487
2014-08-08,0.7009,0.7127,0.746
2014-08-09,0.7003,0.7133,0.7454
2014-08-10,0.6998,0.7139,0.7448
2014-08-11,0.6992,0.7146,0.7443
2014-08-12,0.6987,0.7152,0.7437
2014-08-13,0.6981,0.7158,0.7431
2014-08-14,0.6986,0.7161,0.7422
2014-08-15,0.6984,0.7158,0.7437
2014-08-16,0.6984,0.7159,0.7436
2014-08-17,0.6985,0.716,0.7434
2014-08-18,0.6985,0.7161,0.7433
2014-08-19,0.6986,0.7162,0.743
2014-08-20,0.699,0.7163,0.7432
2014-08-21,0.6999,0.7175,0.7446
2014-08-22,0.6987,0.7163,0.7423
2014-08-23,0.699,0.7167,0.7429
2014-08-24,0.6993,0.717,0.7435
2014-08-25,0.6996,0.7174,0.7441
2014-08-26,0.6986,0.7163,0.7422
2014-08-27,0.6993,0.717,0.7435
2014-08-28,0.7007,0.7184,0.7448
2014-08-29,0.7012,0.7187,0.7452
2014-08-30,0.7015,0.719,0.7455
2014-08-31,0.7017,0.7193,0.7457
2014-09-01,0.702,0.7196,0.746
2014-09-02,0.7045,0.7222,0.7499
2014-09-03,0.7053,0.7181,0.7511
2014-09-04,0.7043,0.723,0.7489
2014-09-05,0.7043,0.7229,0.749
2014-09-06,0.7042,0.7225,0.7486
2014-09-07,0.7041,0.7222,0.7483
2014-09-08,0.704,0.7218,0.7479
2014-09-09,0.7045,0.7222,0.7492
2014-09-10,0.7019,0.7148,0.749
