งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
2014-01-01,32.6672,32.7647,33.0443
2014-01-02,32.6672,32.7647,33.0443
2014-01-03,32.77,32.8681,33.1435
2014-01-04,32.7981,32.8962,33.171
2014-01-05,32.8261,32.9242,33.1985
2014-01-06,32.8542,32.9523,33.226
2014-01-07,32.8612,32.9588,33.238
2014-01-08,32.8211,32.9179,33.1971
2014-01-09,32.7856,32.8853,33.1501
2014-01-10,32.7823,32.8791,33.1547
2014-01-11,32.7857,32.8829,33.1574
2014-01-12,32.7891,32.8866,33.16
2014-01-13,32.7925,32.8904,33.1627
2014-01-14,32.6633,32.7627,33.0375
2014-01-15,32.5901,32.6867,32.9575
2014-01-16,32.6709,32.7685,33.0444
2014-01-17,32.517,32.6152,32.8867
2014-01-18,32.5634,32.6606,32.9351
2014-01-19,32.6097,32.706,32.9834
2014-01-20,32.6561,32.7514,33.0318
2014-01-21,32.5873,32.6816,32.973
2014-01-22,32.6365,32.7337,33.0135
2014-01-23,32.7175,32.8147,33.0935
2014-01-24,32.6148,32.7116,33.0016
2014-01-25,32.6307,32.7275,33.0143
2014-01-26,32.6467,32.7433,33.0271
2014-01-27,32.6626,32.7592,33.0398
2014-01-28,32.6542,32.7506,33.0308
2014-01-29,32.659,32.7547,33.0363
2014-01-30,32.7522,32.8466,33.1198
2014-01-31,32.7564,32.8536,33.1413
2014-02-01,32.7317,32.8293,33.1122
2014-02-02,32.7069,32.8051,33.083
2014-02-03,32.6822,32.7808,33.0539
2014-02-04,32.6471,32.7453,33.0134
2014-02-05,32.5434,32.6389,32.9223
2014-02-06,32.5531,32.6506,32.924
2014-02-07,32.5838,32.6806,32.961
2014-02-08,32.5711,32.6683,32.9481
2014-02-09,32.5585,32.6559,32.9353
2014-02-10,32.5458,32.6436,32.9224
2014-02-11,32.5602,32.6567,32.9369
2014-02-12,32.4417,32.5398,32.8153
2014-02-13,32.3252,32.4234,32.6955
2014-02-14,32.2659,32.3643,32.6375
2014-02-15,32.2066,32.3052,32.5796
2014-02-16,32.1472,32.2462,32.5216
2014-02-17,32.0879,32.1871,32.4636
2014-02-18,32.1705,32.2677,32.5449
2014-02-19,32.3557,32.4534,32.7294
2014-02-20,32.3783,32.4761,32.7536
2014-02-21,32.3121,32.4084,32.6842
2014-02-22,32.3313,32.4282,32.7046
2014-02-23,32.3506,32.448,32.725
2014-02-24,32.3698,32.4678,32.7454
2014-02-25,32.2756,32.3729,32.6487
2014-02-26,32.336,32.433,32.7057
2014-02-27,32.3522,32.4482,32.7357
2014-02-28,32.388,32.4831,32.7528
2014-03-01,32.3757,32.4715,32.7431
2014-03-02,32.3634,32.4598,32.7334
2014-03-03,32.3511,32.4482,32.7237
2014-03-04,32.3036,32.4009,32.6757
2014-03-05,32.1486,32.2439,32.5309
2014-03-06,32.0695,32.1652,32.4357
2014-03-07,32.0327,32.1294,32.4092
2014-03-08,32.0767,32.1733,32.4524
2014-03-09,32.1207,32.2172,32.4955
2014-03-10,32.1647,32.2611,32.5387
2014-03-11,32.1072,32.2048,32.4769
2014-03-12,32.1514,32.2491,32.5204
2014-03-13,32.143,32.2408,32.513
2014-03-14,32.0946,32.1902,32.4715
2014-03-15,32.0739,32.1697,32.45
2014-03-16,32.0531,32.1491,32.4284
2014-03-17,32.0324,32.1286,32.4069
2014-03-18,31.9313,32.029,32.3027
2014-03-19,31.885,31.9827,32.2637
2014-03-20,32.1048,32.2025,32.48
2014-03-21,32.1698,32.266,32.5433
2014-03-22,32.1813,32.2773,32.5538
2014-03-23,32.1927,32.2885,32.5643
2014-03-24,32.2042,32.2998,32.5748
2014-03-25,32.2633,32.3618,32.6345
2014-03-26,32.3583,32.4542,32.7358
2014-03-27,32.319,32.4153,32.7055
2014-03-28,32.2908,32.3867,32.6618
2014-03-29,32.2633,32.3595,32.635
2014-03-30,32.2357,32.3322,32.6082
2014-03-31,32.2082,32.305,32.5814
2014-04-01,32.1689,32.266,32.5384
2014-04-02,32.1411,32.2374,32.5138
2014-04-03,32.2363,32.333,32.6104
2014-04-04,32.2983,32.3945,32.6713
2014-04-05,32.2712,32.3679,32.644
2014-04-06,32.2442,32.3412,32.6167
2014-04-07,32.2171,32.3145,32.5894
2014-04-08,32.19,32.2879,32.5621
2014-04-09,31.9804,32.0768,32.3516
2014-04-10,31.9611,32.0577,32.3274
2014-04-11,32.0728,32.1741,32.4578
2014-04-12,32.0724,32.1719,32.4538
2014-04-13,32.0719,32.1698,32.4498
2014-04-14,32.0715,32.1676,32.4458
2014-04-15,32.071,32.1655,32.4418
2014-04-16,32.0706,32.1633,32.4378
2014-04-17,31.9724,32.0696,32.3517
2014-04-18,31.9557,32.0506,32.3343
2014-04-19,31.9579,32.0535,32.3364
2014-04-20,31.96,32.0565,32.3385
2014-04-21,31.9622,32.0594,32.3406
2014-04-22,32.0578,32.1539,32.4329
2014-04-23,32.1412,32.2388,32.5092
2014-04-24,32.094,32.1913,32.4764
2014-04-25,32.133,32.2289,32.5022
2014-04-26,32.0936,32.19,32.4652
2014-04-27,32.0542,32.151,32.4281
2014-04-28,32.0148,32.1121,32.3911
