งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
2014-01-01,-,0.1553,0.1566
2014-01-02,-,0.1553,0.1566
2014-01-03,-,0.1557,0.157
2014-01-04,-,0.1559,0.1572
2014-01-05,-,0.156,0.1573
2014-01-06,-,0.1562,0.1575
2014-01-07,-,0.1562,0.1575
2014-01-08,-,0.156,0.1574
2014-01-09,-,0.1559,0.1571
2014-01-10,-,0.1559,0.1572
2014-01-11,-,0.1559,0.1572
2014-01-12,-,0.1559,0.1572
2014-01-13,-,0.1559,0.1572
2014-01-14,-,0.1553,0.1567
2014-01-15,-,0.155,0.1563
2014-01-16,-,0.1554,0.1567
2014-01-17,-,0.1546,0.1559
2014-01-18,-,0.1548,0.1561
2014-01-19,-,0.1551,0.1564
2014-01-20,-,0.1553,0.1566
2014-01-21,-,0.155,0.1563
2014-01-22,-,0.1552,0.1565
2014-01-23,-,0.1556,0.1569
2014-01-24,-,0.1551,0.1565
2014-01-25,-,0.1552,0.1566
2014-01-26,-,0.1553,0.1566
2014-01-27,-,0.1554,0.1567
2014-01-28,-,0.1555,0.1568
2014-01-29,-,0.1555,0.1569
2014-01-30,-,0.156,0.1573
2014-01-31,-,0.156,0.1574
2014-02-01,-,0.1559,0.1573
2014-02-02,-,0.1558,0.1571
2014-02-03,-,0.1557,0.157
2014-02-04,-,0.1555,0.1568
2014-02-05,-,0.155,0.1563
2014-02-06,-,0.1547,0.156
2014-02-07,-,0.1548,0.1562
2014-02-08,-,0.1548,0.1561
2014-02-09,-,0.1547,0.1561
2014-02-10,-,0.1547,0.156
2014-02-11,-,0.1547,0.1561
2014-02-12,-,0.1542,0.1555
2014-02-13,-,0.1536,0.1549
2014-02-14,-,0.1533,0.1546
2014-02-15,-,0.153,0.1544
2014-02-16,-,0.1528,0.1542
2014-02-17,-,0.1525,0.1539
2014-02-18,-,0.1529,0.1542
2014-02-19,-,0.1538,0.1551
2014-02-20,-,0.1539,0.1552
2014-02-21,-,0.1536,0.1549
2014-02-22,-,0.1537,0.155
2014-02-23,-,0.1537,0.1551
2014-02-24,-,0.1538,0.1552
2014-02-25,-,0.1534,0.1547
2014-02-26,-,0.1537,0.155
2014-02-27,-,0.1538,0.1551
2014-02-28,-,0.1539,0.1552
2014-03-01,-,0.1539,0.1552
2014-03-02,-,0.1538,0.1551
2014-03-03,-,0.1538,0.1551
2014-03-04,-,0.1535,0.1548
2014-03-05,-,0.1528,0.1542
2014-03-06,-,0.1524,0.1537
2014-03-07,-,0.1523,0.1536
2014-03-08,-,0.1525,0.1538
2014-03-09,-,0.1527,0.154
2014-03-10,-,0.1529,0.1542
2014-03-11,-,0.1526,0.1539
2014-03-12,-,0.1528,0.1541
2014-03-13,-,0.1528,0.1541
2014-03-14,-,0.1526,0.1539
2014-03-15,-,0.1525,0.1538
2014-03-16,-,0.1524,0.1537
2014-03-17,-,0.1523,0.1536
2014-03-18,-,0.1519,0.1531
2014-03-19,-,0.1516,0.1529
2014-03-20,-,0.1526,0.154
2014-03-21,-,0.1529,0.1543
2014-03-22,-,0.153,0.1543
2014-03-23,-,0.153,0.1544
2014-03-24,-,0.1531,0.1544
2014-03-25,-,0.1534,0.1547
2014-03-26,-,0.1538,0.1552
2014-03-27,-,0.1536,0.155
2014-03-28,-,0.1535,0.1548
2014-03-29,-,0.1533,0.1547
2014-03-30,-,0.1532,0.1545
2014-03-31,-,0.153,0.1544
2014-04-01,-,0.1529,0.1542
2014-04-02,-,0.1528,0.1541
2014-04-03,-,0.1533,0.1546
2014-04-04,-,0.1536,0.1549
2014-04-05,-,0.1535,0.1548
2014-04-06,-,0.1533,0.1546
2014-04-07,-,0.1532,0.1545
2014-04-08,-,0.1531,0.1544
2014-04-09,-,0.1521,0.1534
2014-04-10,-,0.152,0.1532
2014-04-11,-,0.1525,0.1539
2014-04-12,-,0.1525,0.1539
2014-04-13,-,0.1525,0.1539
2014-04-14,-,0.1525,0.1538
2014-04-15,-,0.1525,0.1538
2014-04-16,-,0.1525,0.1538
2014-04-17,-,0.152,0.1533
