งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
02 ม.ค. 2557,28.9411,29.0315,29.5811
03 ม.ค. 2557,29.0502,29.1367,29.6804
06 ม.ค. 2557,29.304,29.3938,29.942
07 ม.ค. 2557,29.2157,29.3055,29.8599
08 ม.ค. 2557,29.1291,29.2196,29.7629
09 ม.ค. 2557,28.9816,29.0746,29.6041
10 ม.ค. 2557,29.0004,29.0892,29.6399
13 ม.ค. 2557,29.4264,29.5149,30.0537
14 ม.ค. 2557,29.3526,29.4437,29.9851
15 ม.ค. 2557,28.9627,29.0511,29.5894
16 ม.ค. 2557,28.6426,28.7303,29.2708
17 ม.ค. 2557,28.5009,28.5913,29.1247
20 ม.ค. 2557,28.514,28.6016,29.1542
21 ม.ค. 2557,28.5721,28.6583,29.2331
22 ม.ค. 2557,28.7571,28.846,29.3949
23 ม.ค. 2557,28.6902,28.7812,29.3265
24 ม.ค. 2557,28.3865,28.4754,29.0279
27 ม.ค. 2557,28.2619,28.3486,28.8925
28 ม.ค. 2557,28.4607,28.5463,29.0923
29 ม.ค. 2557,28.6089,28.6962,29.2428
30 ม.ค. 2557,28.4496,28.5363,29.0831
31 ม.ค. 2557,28.6426,28.7306,29.2869
03 ก.พ. 2557,28.4742,28.5606,29.1003
04 ก.พ. 2557,28.6119,28.6967,29.2285
05 ก.พ. 2557,28.7925,28.8799,29.4364
06 ก.พ. 2557,29.0279,29.1168,29.6618
07 ก.พ. 2557,28.9642,29.0536,29.6074
10 ก.พ. 2557,28.9541,29.0435,29.5893
11 ก.พ. 2557,29.1498,29.2394,29.7976
12 ก.พ. 2557,29.1869,29.2772,29.825
13 ก.พ. 2557,28.7594,28.8478,29.3959
17 ก.พ. 2557,28.9034,28.9946,29.5352
18 ก.พ. 2557,28.9924,29.0807,29.6254
19 ก.พ. 2557,28.9839,29.0726,29.6205
20 ก.พ. 2557,28.8907,28.9805,29.5356
21 ก.พ. 2557,28.8922,28.9809,29.5304
24 ก.พ. 2557,28.8573,28.9458,29.4969
25 ก.พ. 2557,28.9855,29.0723,29.6209
26 ก.พ. 2557,28.9453,29.0326,29.5745
27 ก.พ. 2557,28.765,28.8529,29.4117
28 ก.พ. 2557,28.873,28.9615,29.505
03 มี.ค. 2557,28.679,28.7653,29.3087
04 มี.ค. 2557,28.7338,28.8227,29.363
05 มี.ค. 2557,28.6584,28.747,29.3033
06 มี.ค. 2557,28.7687,28.8567,29.4004
07 มี.ค. 2557,28.9537,29.0425,29.5928
10 มี.ค. 2557,28.9332,29.0221,29.5682
11 มี.ค. 2557,28.8379,28.9234,29.4707
12 มี.ค. 2557,28.6653,28.7545,29.2881
13 มี.ค. 2557,28.9661,29.0569,29.5954
14 มี.ค. 2557,28.8258,28.9164,29.4696
17 มี.ค. 2557,28.7775,28.865,29.4111
18 มี.ค. 2557,28.8383,28.9278,29.4715
19 มี.ค. 2557,28.9136,29.0028,29.555
20 มี.ค. 2557,28.8055,28.8933,29.4373
21 มี.ค. 2557,28.9744,29.0629,29.6171
24 มี.ค. 2557,29.0731,29.1632,29.7097
25 มี.ค. 2557,29.3309,29.4185,29.9676
26 มี.ค. 2557,29.5074,29.5949,30.1531
27 มี.ค. 2557,29.6804,29.7684,30.3398
28 มี.ค. 2557,29.8233,29.9135,30.4707
31 มี.ค. 2557,29.6295,29.7202,30.2714
01 เม.ย. 2557,29.6847,29.7757,30.3281
02 เม.ย. 2557,29.5273,29.6165,30.173
03 เม.ย. 2557,29.5793,29.6694,30.2312
04 เม.ย. 2557,29.6757,29.7636,30.3196
08 เม.ย. 2557,29.7389,29.8215,30.3818
09 เม.ย. 2557,29.804,29.8946,30.4453
10 เม.ย. 2557,29.929,30.0205,30.568
11 เม.ย. 2557,29.9358,30.0247,30.5878
16 เม.ย. 2557,29.8473,29.935,30.4918
17 เม.ย. 2557,29.823,29.9128,30.4736
18 เม.ย. 2557,29.6595,29.7461,30.3161
21 เม.ย. 2557,29.6572,29.7449,30.3009
22 เม.ย. 2557,29.8042,29.8925,30.4527
23 เม.ย. 2557,29.7967,29.8891,30.4382
24 เม.ย. 2557,29.6663,29.7644,30.3274
25 เม.ย. 2557,29.6287,29.7177,30.2709
28 เม.ย. 2557,29.5796,29.665,30.2242
29 เม.ย. 2557,29.462,29.5484,30.1175
30 เม.ย. 2557,29.6132,29.703,30.254
02 พ.ค. 2557,29.6655,29.7558,30.3175
06 พ.ค. 2557,29.6976,29.7853,30.3363
07 พ.ค. 2557,29.88,29.9697,30.5323
08 พ.ค. 2557,29.9792,30.0672,30.6202
09 พ.ค. 2557,30.0855,30.1842,30.7343
12 พ.ค. 2557,30.1652,30.263,30.8206
14 พ.ค. 2557,30.1489,30.2363,30.7869
15 พ.ค. 2557,30.0275,30.1153,30.668
16 พ.ค. 2557,30.0191,30.1067,30.6584
