งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
02 ม.ค. 2557,5.3426,5.3711,5.5011
03 ม.ค. 2557,5.3713,5.3979,5.5185
06 ม.ค. 2557,5.3778,5.4069,5.5365
07 ม.ค. 2557,5.3837,5.4093,5.5373
08 ม.ค. 2557,5.3765,5.404,5.535
09 ม.ค. 2557,5.3725,5.3999,5.519
10 ม.ค. 2557,5.3709,5.3995,5.5247
13 ม.ค. 2557,5.3765,5.4032,5.5341
14 ม.ค. 2557,5.363,5.3905,5.515
15 ม.ค. 2557,5.3471,5.375,5.5041
16 ม.ค. 2557,5.3548,5.3815,5.5158
17 ม.ค. 2557,5.3312,5.3582,5.4813
20 ม.ค. 2557,5.3566,5.3825,5.506
21 ม.ค. 2557,5.3518,5.3793,5.5072
22 ม.ค. 2557,5.3491,5.3758,5.5108
23 ม.ค. 2557,5.3584,5.3873,5.519
24 ม.ค. 2557,5.3461,5.3721,5.5058
27 ม.ค. 2557,5.3559,5.3823,5.5069
28 ม.ค. 2557,5.3548,5.3798,5.5043
29 ม.ค. 2557,5.3512,5.3753,5.5053
30 ม.ค. 2557,5.3674,5.3921,5.516
31 ม.ค. 2557,5.3614,5.3879,5.5178
03 ก.พ. 2557,5.3502,5.3783,5.5025
04 ก.พ. 2557,5.3454,5.3742,5.5009
05 ก.พ. 2557,5.3329,5.358,5.485
06 ก.พ. 2557,5.3313,5.36,5.4836
07 ก.พ. 2557,5.3371,5.3643,5.4902
10 ก.พ. 2557,5.3289,5.3547,5.4823
11 ก.พ. 2557,5.3318,5.3591,5.4859
12 ก.พ. 2557,5.3131,5.3406,5.4685
13 ก.พ. 2557,5.2926,5.3185,5.4408
17 ก.พ. 2557,5.244,5.2745,5.4085
18 ก.พ. 2557,5.2628,5.2903,5.4087
19 ก.พ. 2557,5.2895,5.3136,5.4325
20 ก.พ. 2557,5.2819,5.3072,5.4281
21 ก.พ. 2557,5.2643,5.2916,5.4136
24 ก.พ. 2557,5.2677,5.2927,5.414
25 ก.พ. 2557,5.2383,5.2648,5.3915
26 ก.พ. 2557,5.2387,5.2595,5.3766
27 ก.พ. 2557,5.2342,5.2603,5.3931
28 ก.พ. 2557,5.2365,5.2587,5.3759
03 มี.ค. 2557,5.224,5.2472,5.3691
04 มี.ค. 2557,5.2171,5.2427,5.3565
05 มี.ค. 2557,5.1883,5.2137,5.3464
06 มี.ค. 2557,5.2,5.223,5.342
07 มี.ค. 2557,5.1923,5.2181,5.3453
10 มี.ค. 2557,5.1983,5.2243,5.3472
11 มี.ค. 2557,5.1887,5.2141,5.3343
12 มี.ค. 2557,5.1888,5.2141,5.3374
13 มี.ค. 2557,5.1878,5.2167,5.3396
14 มี.ค. 2557,5.1793,5.2077,5.3356
17 มี.ค. 2557,5.1612,5.1849,5.3062
18 มี.ค. 2557,5.1188,5.145,5.2729
19 มี.ค. 2557,5.104,5.1281,5.2546
20 มี.ค. 2557,5.1256,5.1528,5.2717
21 มี.ค. 2557,5.1241,5.1521,5.2817
24 มี.ค. 2557,5.133,5.1573,5.281
25 มี.ค. 2557,5.1657,5.194,5.3142
26 มี.ค. 2557,5.1674,5.1949,5.3181
27 มี.ค. 2557,5.1589,5.1848,5.3113
28 มี.ค. 2557,5.1522,5.1789,5.3029
31 มี.ค. 2557,5.1393,5.1658,5.2831
01 เม.ย. 2557,5.1335,5.1613,5.2813
02 เม.ย. 2557,5.136,5.161,5.2827
03 เม.ย. 2557,5.1469,5.1746,5.2989
04 เม.ย. 2557,5.1516,5.1782,5.2986
