งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
02 ม.ค. 2557,4.1984,4.2144,4.2724
03 ม.ค. 2557,4.212,4.2287,4.2841
06 ม.ค. 2557,4.2214,4.2384,4.2952
07 ม.ค. 2557,4.2233,4.2395,4.2972
08 ม.ค. 2557,4.2191,4.2352,4.2919
09 ม.ค. 2557,4.2154,4.2313,4.2853
10 ม.ค. 2557,4.2138,4.2299,4.2861
13 ม.ค. 2557,4.2149,4.2313,4.2869
14 ม.ค. 2557,4.1982,4.2145,4.2704
15 ม.ค. 2557,4.1884,4.2046,4.2615
16 ม.ค. 2557,4.1996,4.2156,4.2719
17 ม.ค. 2557,4.1803,4.1962,4.2511
20 ม.ค. 2557,4.1964,4.2124,4.2695
21 ม.ค. 2557,4.185,4.2027,4.2624
22 ม.ค. 2557,4.1931,4.2094,4.2667
23 ม.ค. 2557,4.2038,4.2198,4.2766
24 ม.ค. 2557,4.1893,4.2052,4.2633
27 ม.ค. 2557,4.194,4.2097,4.2667
28 ม.ค. 2557,4.1922,4.2078,4.2648
29 ม.ค. 2557,4.1942,4.2096,4.2664
30 ม.ค. 2557,4.2042,4.2201,4.2753
31 ม.ค. 2557,4.2035,4.2198,4.2787
03 ก.พ. 2557,4.197,4.2124,4.2682
04 ก.พ. 2557,4.1909,4.2074,4.2619
05 ก.พ. 2557,4.1785,4.1948,4.2517
06 ก.พ. 2557,4.1814,4.1971,4.253
07 ก.พ. 2557,4.1859,4.2018,4.2589
10 ก.พ. 2557,4.1824,4.1984,4.2546
11 ก.พ. 2557,4.1837,4.1996,4.257
12 ก.พ. 2557,4.1689,4.1848,4.2419
13 ก.พ. 2557,4.1541,4.1701,4.2259
17 ก.พ. 2557,4.1249,4.1417,4.1959
18 ก.พ. 2557,4.1353,4.1512,4.2063
19 ก.พ. 2557,4.1588,4.1748,4.2304
20 ก.พ. 2557,4.1617,4.177,4.2344
21 ก.พ. 2557,4.1523,4.1687,4.225
24 ก.พ. 2557,4.1595,4.1752,4.2321
25 ก.พ. 2557,4.1459,4.1619,4.218
26 ก.พ. 2557,4.1543,4.1697,4.2247
27 ก.พ. 2557,4.1556,4.1714,4.2296
28 ก.พ. 2557,4.1603,4.1755,4.2303
03 มี.ค. 2557,4.1556,4.1714,4.2265
