งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
02 ม.ค. 2557,0.4677,0.4965,0.5662
03 ม.ค. 2557,0.4695,0.4968,0.5625
06 ม.ค. 2557,0.4747,0.4992,0.5676
07 ม.ค. 2557,0.4738,0.4986,0.5649
08 ม.ค. 2557,0.472,0.498,0.565
09 ม.ค. 2557,0.4716,0.4973,0.5672
10 ม.ค. 2557,0.4671,0.4972,0.5676
13 ม.ค. 2557,0.4773,0.4998,0.5694
14 ม.ค. 2557,0.4736,0.4975,0.5712
15 ม.ค. 2557,0.4705,0.4985,0.568
16 ม.ค. 2557,0.4762,0.5018,0.5682
17 ม.ค. 2557,0.4759,0.4984,0.5708
20 ม.ค. 2557,0.4782,0.502,0.567
21 ม.ค. 2557,0.4693,0.4991,0.5692
22 ม.ค. 2557,0.4739,0.4994,0.5652
23 ม.ค. 2557,0.4709,0.4994,0.5652
24 ม.ค. 2557,0.4724,0.4987,0.5639
27 ม.ค. 2557,0.4631,0.4895,0.5593
28 ม.ค. 2557,0.4651,0.4889,0.5547
29 ม.ค. 2557,0.4681,0.4947,0.5617
30 ม.ค. 2557,0.4702,0.493,0.5595
31 ม.ค. 2557,0.4707,0.4938,0.5597
03 ก.พ. 2557,0.4629,0.4889,0.5608
04 ก.พ. 2557,0.47,0.4915,0.5598
05 ก.พ. 2557,0.4708,0.4919,0.5606
06 ก.พ. 2557,0.4685,0.4917,0.5589
07 ก.พ. 2557,0.469,0.4927,0.5582
10 ก.พ. 2557,0.4685,0.4914,0.563
11 ก.พ. 2557,0.465,0.4917,0.559
12 ก.พ. 2557,0.4657,0.4905,0.5595
13 ก.พ. 2557,0.4664,0.4894,0.5602
17 ก.พ. 2557,0.4653,0.4897,0.5568
18 ก.พ. 2557,0.4664,0.4892,0.5575
19 ก.พ. 2557,0.4725,0.49,0.5615
20 ก.พ. 2557,0.4689,0.4902,0.5593
21 ก.พ. 2557,0.4616,0.4889,0.5561
24 ก.พ. 2557,0.4653,0.4911,0.559
25 ก.พ. 2557,0.4678,0.4914,0.5595
26 ก.พ. 2557,0.4745,0.4915,0.5628
27 ก.พ. 2557,0.4658,0.4922,0.5593
28 ก.พ. 2557,0.4712,0.4912,0.5613
03 มี.ค. 2557,0.4731,0.4921,0.5623
04 มี.ค. 2557,0.4659,0.4895,0.5582
05 มี.ค. 2557,0.4645,0.4912,0.5572
06 มี.ค. 2557,0.4757,0.4911,0.5613
07 มี.ค. 2557,0.4675,0.4922,0.5611
10 มี.ค. 2557,0.4648,0.4948,0.5657
11 มี.ค. 2557,0.472,0.4966,0.5679
12 มี.ค. 2557,0.4749,0.4993,0.5665
13 มี.ค. 2557,0.4684,0.4966,0.5629
14 มี.ค. 2557,0.4664,0.4943,0.5589
17 มี.ค. 2557,0.4685,0.4912,0.5607
18 มี.ค. 2557,0.4662,0.4915,0.5603
19 มี.ค. 2557,0.4695,0.4923,0.562
20 มี.ค. 2557,0.4669,0.4942,0.566
21 มี.ค. 2557,0.4665,0.4955,0.5608
24 มี.ค. 2557,0.4731,0.4996,0.5676
25 มี.ค. 2557,0.4726,0.4983,0.5701
26 มี.ค. 2557,0.4751,0.5047,0.5722
27 มี.ค. 2557,0.4754,0.5068,0.5772
28 มี.ค. 2557,0.4764,0.5051,0.5763
31 มี.ค. 2557,0.4789,0.508,0.575
01 เม.ย. 2557,0.4745,0.5033,0.5729
02 เม.ย. 2557,0.4772,0.5045,0.5736
03 เม.ย. 2557,0.4784,0.5083,0.5753
04 เม.ย. 2557,0.4775,0.5066,0.5717
08 เม.ย. 2557,0.4754,0.5007,0.5746
09 เม.ย. 2557,0.4733,0.501,0.5678
10 เม.ย. 2557,0.4703,0.4993,0.5677
11 เม.ย. 2557,0.4802,0.503,0.5689
16 เม.ย. 2557,0.4788,0.5025,0.5677
17 เม.ย. 2557,0.479,0.4986,0.567
18 เม.ย. 2557,0.4696,0.4998,0.5662
21 เม.ย. 2557,0.4703,0.4989,0.5679
22 เม.ย. 2557,0.4694,0.4994,0.5648
23 เม.ย. 2557,0.472,0.4981,0.5681
24 เม.ย. 2557,0.4715,0.4996,0.5664
25 เม.ย. 2557,0.4675,0.4963,0.5616
28 เม.ย. 2557,0.4697,0.4979,0.5669
29 เม.ย. 2557,0.4736,0.4993,0.5666
30 เม.ย. 2557,0.4755,0.5011,0.5683
02 พ.ค. 2557,0.474,0.5025,0.5692
06 พ.ค. 2557,0.4784,0.5033,0.5665
07 พ.ค. 2557,0.4798,0.5037,0.5693
08 พ.ค. 2557,0.4822,0.5064,0.5747
09 พ.ค. 2557,0.4905,0.51,0.5784
12 พ.ค. 2557,0.4804,0.5094,0.5783
14 พ.ค. 2557,0.4844,0.5101,0.5782
15 พ.ค. 2557,0.4858,0.5102,0.5803
16 พ.ค. 2557,0.4896,0.5127,0.5862
19 พ.ค. 2557,0.5006,0.5218,0.5834
20 พ.ค. 2557,0.4965,0.519,0.5913
21 พ.ค. 2557,0.4964,0.5183,0.5875
22 พ.ค. 2557,0.4911,0.5164,0.5908
23 พ.ค. 2557,0.4992,0.5211,0.593
26 พ.ค. 2557,0.498,0.5231,0.5922
27 พ.ค. 2557,0.4957,0.5202,0.5903
28 พ.ค. 2557,0.4968,0.5203,0.5878
29 พ.ค. 2557,0.4978,0.5196,0.59
30 พ.ค. 2557,0.4977,0.5199,0.5906
02 มิ.ย. 2557,0.4928,0.5201,0.5893
03 มิ.ย. 2557,0.4949,0.5199,0.5877
04 มิ.ย. 2557,0.4911,0.5139,0.5887
05 มิ.ย. 2557,0.4907,0.5182,0.5859
06 มิ.ย. 2557,0.484,0.5159,0.5859
09 มิ.ย. 2557,0.4917,0.5135,0.5855
10 มิ.ย. 2557,0.489,0.5122,0.5864
11 มิ.ย. 2557,0.4919,0.5125,0.5874
12 มิ.ย. 2557,0.4923,0.5124,0.5865
13 มิ.ย. 2557,0.4899,0.5112,0.5825
16 มิ.ย. 2557,0.4793,0.5058,0.5786
17 มิ.ย. 2557,0.4833,0.5007,0.5776
18 มิ.ย. 2557,0.4806,0.5003,0.5769
19 มิ.ย. 2557,0.482,0.5019,0.5797
20 มิ.ย. 2557,0.4821,0.5011,0.5774
23 มิ.ย. 2557,0.4751,0.4987,0.578
24 มิ.ย. 2557,0.4835,0.5009,0.5813
25 มิ.ย. 2557,0.4819,0.5009,0.5771
26 มิ.ย. 2557,0.4794,0.5005,0.5788
27 มิ.ย. 2557,0.4788,0.5002,0.5804
30 มิ.ย. 2557,0.4806,0.5041,0.5766
02 ก.ค. 2557,0.4774,0.5005,0.5778
03 ก.ค. 2557,0.4865,0.5056,0.5797
04 ก.ค. 2557,0.4858,0.5059,0.5792
07 ก.ค. 2557,0.4815,0.5048,0.5783
08 ก.ค. 2557,0.4858,0.5038,0.5828
09 ก.ค. 2557,0.4816,0.5021,0.5786
10 ก.ค. 2557,0.4799,0.5003,0.5766
14 ก.ค. 2557,0.4796,0.4985,0.5734
15 ก.ค. 2557,0.481,0.4988,0.5733
16 ก.ค. 2557,0.477,0.4976,0.5695
17 ก.ค. 2557,0.4805,0.4991,0.5717
18 ก.ค. 2557,0.4795,0.4979,0.5696
21 ก.ค. 2557,0.4689,0.4915,0.5728
22 ก.ค. 2557,0.465,0.4898,0.57
23 ก.ค. 2557,0.4692,0.4896,0.5682
24 ก.ค. 2557,0.4621,0.4919,0.5708
25 ก.ค. 2557,0.4748,0.494,0.5714
28 ก.ค. 2557,0.474,0.4942,0.5666
29 ก.ค. 2557,0.4734,0.4915,0.5679
30 ก.ค. 2557,0.4741,0.491,0.5702
31 ก.ค. 2557,0.4702,0.495,0.5704
01 ส.ค. 2557,0.4676,0.4931,0.5658
04 ส.ค. 2557,0.47,0.4887,0.5609
05 ส.ค. 2557,0.4687,0.49,0.5602
06 ส.ค. 2557,0.4701,0.4901,0.5632
07 ส.ค. 2557,0.4691,0.4877,0.5612
08 ส.ค. 2557,0.4636,0.4852,0.5627
13 ส.ค. 2557,0.466,0.4867,0.5587
14 ส.ค. 2557,0.4652,0.4856,0.5607
15 ส.ค. 2557,0.4692,0.4882,0.5604
18 ส.ค. 2557,0.4705,0.4889,0.5605
19 ส.ค. 2557,0.4665,0.4878,0.5599
20 ส.ค. 2557,0.4663,0.4877,0.5611
21 ส.ค. 2557,0.4686,0.4886,0.5636
22 ส.ค. 2557,0.4668,0.4876,0.5639
25 ส.ค. 2557,0.4686,0.4905,0.564
26 ส.ค. 2557,0.4662,0.4893,0.5631
27 ส.ค. 2557,0.4661,0.4889,0.565
28 ส.ค. 2557,0.4621,0.4874,0.5629
29 ส.ค. 2557,0.4683,0.4896,0.5647
01 ก.ย. 2557,0.4688,0.4912,0.5636
