งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
02 ม.ค. 2557,30.8683,30.967,31.5487
03 ม.ค. 2557,31.1665,31.2625,31.8297
06 ม.ค. 2557,31.3079,31.408,31.9762
07 ม.ค. 2557,31.3338,31.4298,32.0038
08 ม.ค. 2557,31.1622,31.2587,31.8229
09 ม.ค. 2557,31.0995,31.1963,31.7601
10 ม.ค. 2557,31.1083,31.2016,31.7709
13 ม.ค. 2557,31.4895,31.5867,32.1756
14 ม.ค. 2557,31.4292,31.5287,32.1153
15 ม.ค. 2557,31.081,31.176,31.7447
16 ม.ค. 2557,31.04,31.1348,31.6932
17 ม.ค. 2557,31.0029,31.0994,31.6747
20 ม.ค. 2557,31.2523,31.3455,31.9262
21 ม.ค. 2557,31.0299,31.1246,31.7054
22 ม.ค. 2557,31.1373,31.2329,31.8027
23 ม.ค. 2557,31.1455,31.2396,31.8045
24 ม.ค. 2557,31.3717,31.4663,32.0445
27 ม.ค. 2557,31.7528,31.856,32.442
28 ม.ค. 2557,31.6522,31.7471,32.3306
29 ม.ค. 2557,31.4985,31.5931,32.1651
30 ม.ค. 2557,31.8643,31.9587,32.5325
31 ม.ค. 2557,31.7522,31.8479,32.4275
03 ก.พ. 2557,31.7933,31.8912,32.4778
04 ก.พ. 2557,32.1032,32.2019,32.7924
05 ก.พ. 2557,31.93,32.0266,32.6118
06 ก.พ. 2557,31.9278,32.0244,32.6081
07 ก.พ. 2557,31.7971,31.8933,32.4793
10 ก.พ. 2557,31.6405,31.7373,32.3156
11 ก.พ. 2557,31.7242,31.8205,32.3999
12 ก.พ. 2557,31.4924,31.5892,32.1714
13 ก.พ. 2557,31.4291,31.5256,32.1169
17 ก.พ. 2557,31.4408,31.5388,32.1138
18 ก.พ. 2557,31.3155,31.4125,31.986
19 ก.พ. 2557,31.4901,31.587,32.1618
20 ก.พ. 2557,31.5884,31.685,32.2666
21 ก.พ. 2557,31.3862,31.4825,32.06
24 ก.พ. 2557,31.437,31.533,32.116
25 ก.พ. 2557,31.3425,31.4382,32.0067
26 ก.พ. 2557,31.4608,31.5563,32.1255
27 ก.พ. 2557,31.4675,31.5628,32.138
28 ก.พ. 2557,31.6379,31.7319,32.3038
03 มี.ค. 2557,31.7519,31.8486,32.4298
04 มี.ค. 2557,31.6239,31.7185,32.3019
05 มี.ค. 2557,31.3082,31.4082,31.9993
06 มี.ค. 2557,31.1248,31.2194,31.7783
07 มี.ค. 2557,30.9666,31.0619,31.6356
10 มี.ค. 2557,31.0516,31.1472,31.7326
11 มี.ค. 2557,30.9265,31.0218,31.5878
12 มี.ค. 2557,31.0709,31.1676,31.7471
13 มี.ค. 2557,31.1367,31.2339,31.8033
14 มี.ค. 2557,31.3742,31.4709,32.0449
17 มี.ค. 2557,31.406,31.5009,32.0798
18 มี.ค. 2557,31.2242,31.321,31.8971
19 มี.ค. 2557,31.2948,31.3925,31.9807
20 มี.ค. 2557,31.2165,31.3143,31.8955
21 มี.ค. 2557,31.2885,31.3855,31.9588
24 มี.ค. 2557,31.3089,31.403,31.971
25 มี.ค. 2557,31.3916,31.4905,32.071
26 มี.ค. 2557,31.482,31.5773,32.1545
27 มี.ค. 2557,31.5404,31.6377,32.2373
28 มี.ค. 2557,31.4571,31.5541,32.1329
31 มี.ค. 2557,31.159,31.2555,31.8378
01 เม.ย. 2557,31.0022,31.098,31.6671
02 เม.ย. 2557,30.8047,30.8983,31.4684
03 เม.ย. 2557,30.8719,30.9681,31.5342
04 เม.ย. 2557,30.941,31.0343,31.6029
08 เม.ย. 2557,31.1351,31.2308,31.7987
09 เม.ย. 2557,31.2202,31.3168,31.8904
10 เม.ย. 2557,31.2064,31.3031,31.8917
11 เม.ย. 2557,31.4173,31.5122,32.0931
16 เม.ย. 2557,31.2671,31.3597,31.9255
17 เม.ย. 2557,31.1815,31.2752,31.8603
18 เม.ย. 2557,31.0362,31.1299,31.7207
21 เม.ย. 2557,30.998,31.0922,31.6726
22 เม.ย. 2557,31.0907,31.1845,31.7631
23 เม.ย. 2557,31.1719,31.2681,31.8485
24 เม.ย. 2557,31.1881,31.2829,31.8627
25 เม.ย. 2557,31.2344,31.3336,31.9001
28 เม.ย. 2557,31.1925,31.2872,31.868
29 เม.ย. 2557,31.1196,31.2142,31.7833
30 เม.ย. 2557,31.148,31.2434,31.8159
02 พ.ค. 2557,31.2645,31.3615,31.9468
06 พ.ค. 2557,31.3394,31.434,32.0002
07 พ.ค. 2557,31.4881,31.5823,32.1568
08 พ.ค. 2557,31.4729,31.5697,32.1492
09 พ.ค. 2557,31.6241,31.7198,32.2939
12 พ.ค. 2557,31.6274,31.7238,32.2991
14 พ.ค. 2557,31.4427,31.5391,32.1056
15 พ.ค. 2557,31.4468,31.543,32.1144
16 พ.ค. 2557,31.6026,31.6979,32.2707
19 พ.ค. 2557,31.6301,31.7256,32.2992
20 พ.ค. 2557,31.662,31.7624,32.3527
21 พ.ค. 2557,31.7476,31.8458,32.4393
22 พ.ค. 2557,31.5491,31.651,32.2431
23 พ.ค. 2557,31.5634,31.6606,32.242
26 พ.ค. 2557,31.6011,31.6967,32.2716
27 พ.ค. 2557,31.588,31.6836,32.2586
28 พ.ค. 2557,31.6474,31.7446,32.3275
29 พ.ค. 2557,31.7879,31.8829,32.4585
30 พ.ค. 2557,31.8862,31.9835,32.5674
02 มิ.ย. 2557,31.8322,31.9348,32.5248
03 มิ.ย. 2557,31.6126,31.7086,32.2752
04 มิ.ย. 2557,31.44,31.5388,32.1272
05 มิ.ย. 2557,31.4959,31.5921,32.1599
06 มิ.ย. 2557,31.4618,31.5645,32.1441
09 มิ.ย. 2557,31.2769,31.3668,31.9418
10 มิ.ย. 2557,31.3218,31.4103,31.9939
11 มิ.ย. 2557,31.3545,31.4415,32.0239
12 มิ.ย. 2557,31.4396,31.5366,32.1185
13 มิ.ย. 2557,31.4566,31.542,32.1293
16 มิ.ย. 2557,31.3959,31.4907,32.0656
17 มิ.ย. 2557,31.4027,31.4922,32.0784
18 มิ.ย. 2557,31.4236,31.5128,32.0968
19 มิ.ย. 2557,31.4095,31.5024,32.0914
20 มิ.ย. 2557,31.4865,31.5808,32.1685
23 มิ.ย. 2557,31.4056,31.496,32.0889
24 มิ.ย. 2557,31.4698,31.5655,32.1444
25 มิ.ย. 2557,31.4799,31.5744,32.1557
26 มิ.ย. 2557,31.5098,31.5999,32.1892
27 มิ.ย. 2557,31.6007,31.6919,32.2824
30 มิ.ย. 2557,31.6438,31.7396,32.3299
02 ก.ค. 2557,31.5059,31.6023,32.1844
03 ก.ค. 2557,31.3959,31.4875,32.082
04 ก.ค. 2557,31.3552,31.4508,32.0198
07 ก.ค. 2557,31.3296,31.4245,32.0011
08 ก.ค. 2557,31.4425,31.5373,32.1113
09 ก.ค. 2557,31.4393,31.5338,32.1181
10 ก.ค. 2557,31.2814,31.3782,31.9541
14 ก.ค. 2557,31.3239,31.4191,32.0072
15 ก.ค. 2557,31.2632,31.3549,31.9429
16 ก.ค. 2557,31.2456,31.3413,31.9096
17 ก.ค. 2557,31.2542,31.3478,31.9356
18 ก.ค. 2557,31.404,31.501,32.0841
21 ก.ค. 2557,31.2662,31.3572,31.9582
22 ก.ค. 2557,31.005,31.0971,31.6826
23 ก.ค. 2557,30.9426,31.0382,31.6182
24 ก.ค. 2557,30.9574,31.0534,31.6369
25 ก.ค. 2557,30.9221,31.0173,31.6065
28 ก.ค. 2557,30.8723,30.965,31.5424
29 ก.ค. 2557,30.8345,30.9299,31.5078
30 ก.ค. 2557,30.8069,30.9037,31.491
31 ก.ค. 2557,30.7324,30.8204,31.4166
01 ส.ค. 2557,30.9104,31.0032,31.5804
04 ส.ค. 2557,30.9392,31.0326,31.6147
05 ส.ค. 2557,30.9395,31.0338,31.6099
06 ส.ค. 2557,30.9995,31.0902,31.6611
07 ส.ค. 2557,31.1306,31.227,31.806
08 ส.ค. 2557,31.2734,31.3655,31.9566
13 ส.ค. 2557,30.9184,31.0092,31.5918
14 ส.ค. 2557,30.7227,30.8139,31.3833
15 ส.ค. 2557,30.7257,30.8197,31.3829
18 ส.ค. 2557,30.7253,30.8207,31.3972
19 ส.ค. 2557,30.6673,30.758,31.3416
20 ส.ค. 2557,30.5874,30.6748,31.2614
21 ส.ค. 2557,30.4857,30.5759,31.1385
22 ส.ค. 2557,30.354,30.4294,31.0148
25 ส.ค. 2557,30.3587,30.4423,31.0192
26 ส.ค. 2557,30.358,30.4422,31.022
27 ส.ค. 2557,30.29,30.3753,30.9547
28 ส.ค. 2557,30.3185,30.4123,31.0051
