งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
02 ม.ค. 2557,-,0.8253,0.8324
03 ม.ค. 2557,-,0.8222,0.8291
06 ม.ค. 2557,-,0.8294,0.8363
07 ม.ค. 2557,-,0.8247,0.8316
08 ม.ค. 2557,-,0.8233,0.8303
09 ม.ค. 2557,-,0.8235,0.8301
10 ม.ค. 2557,-,0.824,0.8309
13 ม.ค. 2557,-,0.8283,0.8351
14 ม.ค. 2557,-,0.8219,0.8288
15 ม.ค. 2557,-,0.8208,0.8276
16 ม.ค. 2557,-,0.8229,0.8298
17 ม.ค. 2557,-,0.8172,0.824
20 ม.ค. 2557,-,0.8243,0.8314
21 ม.ค. 2557,-,0.8196,0.8269
22 ม.ค. 2557,-,0.8209,0.8279
23 ม.ค. 2557,-,0.8225,0.8295
24 ม.ค. 2557,-,0.8204,0.8276
27 ม.ค. 2557,-,0.8215,0.8286
28 ม.ค. 2557,-,0.8207,0.8277
29 ม.ค. 2557,-,0.8221,0.8292
30 ม.ค. 2557,-,0.8244,0.8313
31 ม.ค. 2557,-,0.8286,0.8358
03 ก.พ. 2557,-,0.822,0.8288
04 ก.พ. 2557,-,0.8214,0.8281
05 ก.พ. 2557,-,0.8192,0.8263
06 ก.พ. 2557,-,0.8201,0.827
07 ก.พ. 2557,-,0.82,0.827
10 ก.พ. 2557,-,0.8207,0.8277
11 ก.พ. 2557,-,0.8222,0.8293
12 ก.พ. 2557,-,0.8119,0.8188
13 ก.พ. 2557,-,0.8087,0.8155
17 ก.พ. 2557,-,0.8148,0.8218
18 ก.พ. 2557,-,0.8101,0.8171
19 ก.พ. 2557,-,0.8165,0.8235
20 ก.พ. 2557,-,0.8175,0.8245
21 ก.พ. 2557,-,0.8158,0.8228
24 ก.พ. 2557,-,0.8177,0.8247
25 ก.พ. 2557,-,0.8153,0.8222
26 ก.พ. 2557,-,0.8156,0.8225
27 ก.พ. 2557,-,0.8172,0.8244
28 ก.พ. 2557,-,0.8177,0.8245
03 มี.ค. 2557,-,0.8213,0.8283
04 มี.ค. 2557,-,0.8159,0.8229
05 มี.ค. 2557,-,0.812,0.8193
06 มี.ค. 2557,-,0.8094,0.8162
07 มี.ค. 2557,-,0.8076,0.8147
10 มี.ค. 2557,-,0.8145,0.8215
11 มี.ค. 2557,-,0.809,0.8158
12 มี.ค. 2557,-,0.8106,0.8174
13 มี.ค. 2557,-,0.8069,0.8137
14 มี.ค. 2557,-,0.8056,0.8126
17 มี.ค. 2557,-,0.8064,0.8134
18 มี.ค. 2557,-,0.8011,0.808
19 มี.ค. 2557,-,0.8018,0.8088
20 มี.ค. 2557,-,0.8074,0.8143
21 มี.ค. 2557,-,0.8091,0.816
24 มี.ค. 2557,-,0.8095,0.8164
25 มี.ค. 2557,-,0.8106,0.8175
26 มี.ค. 2557,-,0.8129,0.82
27 มี.ค. 2557,-,0.8121,0.8193
28 มี.ค. 2557,-,0.8067,0.8136
31 มี.ค. 2557,-,0.8046,0.8115
01 เม.ย. 2557,-,0.8034,0.8102
02 เม.ย. 2557,-,0.8027,0.8096
03 เม.ย. 2557,-,0.8053,0.8122
04 เม.ย. 2557,-,0.8069,0.8138
08 เม.ย. 2557,-,0.8032,0.81
09 เม.ย. 2557,-,0.7989,0.8057
10 เม.ย. 2557,-,0.7984,0.8051
11 เม.ย. 2557,-,0.8012,0.8082
16 เม.ย. 2557,-,0.8007,0.8075
17 เม.ย. 2557,-,0.807,0.8141
18 เม.ย. 2557,-,0.8125,0.8197
21 เม.ย. 2557,-,0.7961,0.803
22 เม.ย. 2557,-,0.8,0.8069
23 เม.ย. 2557,-,0.8005,0.8072
24 เม.ย. 2557,-,0.8009,0.808
25 เม.ย. 2557,-,0.8013,0.8081
28 เม.ย. 2557,-,0.796,0.803
29 เม.ย. 2557,-,0.7996,0.8067
30 เม.ย. 2557,-,0.8003,0.8072
02 พ.ค. 2557,-,0.8018,0.809
06 พ.ค. 2557,-,0.8005,0.8073
07 พ.ค. 2557,-,0.8034,0.8104
08 พ.ค. 2557,-,0.8052,0.812
09 พ.ค. 2557,-,0.8042,0.811
12 พ.ค. 2557,-,0.81,0.8169
14 พ.ค. 2557,-,0.8039,0.8106
15 พ.ค. 2557,-,0.8012,0.808
16 พ.ค. 2557,-,0.8029,0.8097
19 พ.ค. 2557,-,0.8028,0.8096
20 พ.ค. 2557,-,0.8034,0.8103
21 พ.ค. 2557,-,0.8032,0.8102
22 พ.ค. 2557,-,0.8001,0.807
23 พ.ค. 2557,-,0.8013,0.808
26 พ.ค. 2557,-,0.8049,0.8119
27 พ.ค. 2557,-,0.8023,0.8092
