งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
02 ม.ค. 2557,9.8232,9.8834,10.1932
03 ม.ค. 2557,9.8278,9.8673,10.1765
06 ม.ค. 2557,9.8695,9.9178,10.2119
07 ม.ค. 2557,9.8873,9.9342,10.2288
08 ม.ค. 2557,9.8758,9.917,10.2321
09 ม.ค. 2557,9.8912,9.9364,10.2329
10 ม.ค. 2557,9.9012,9.9488,10.2448
13 ม.ค. 2557,9.9867,10.0297,10.3296
14 ม.ค. 2557,9.8942,9.9374,10.2642
15 ม.ค. 2557,9.804,9.8567,10.1974
16 ม.ค. 2557,9.8067,9.8555,10.149
17 ม.ค. 2557,9.7441,9.7879,10.0888
20 ม.ค. 2557,9.7619,9.8083,10.1017
21 ม.ค. 2557,9.7253,9.7729,10.0646
22 ม.ค. 2557,9.6983,9.7425,10.0399
23 ม.ค. 2557,9.7057,9.7493,10.0484
24 ม.ค. 2557,9.6808,9.7253,10.0222
27 ม.ค. 2557,9.6632,9.7002,10.0065
28 ม.ค. 2557,9.6651,9.7121,10.0033
29 ม.ค. 2557,9.7176,9.7663,10.0568
30 ม.ค. 2557,9.6822,9.729,10.0191
31 ม.ค. 2557,9.6769,9.7133,10.0236
03 ก.พ. 2557,9.689,9.7197,10.0488
04 ก.พ. 2557,9.6562,9.7003,10.0012
05 ก.พ. 2557,9.6921,9.7371,10.037
06 ก.พ. 2557,9.7092,9.7561,10.0518
07 ก.พ. 2557,9.6782,9.732,10.0364
10 ก.พ. 2557,9.6713,9.7184,10.009
11 ก.พ. 2557,9.6372,9.6841,9.9748
12 ก.พ. 2557,9.6598,9.6898,10.0067
13 ก.พ. 2557,9.6135,9.6607,9.9506
17 ก.พ. 2557,9.6351,9.6696,9.9673
18 ก.พ. 2557,9.6436,9.6843,9.9927
19 ก.พ. 2557,9.69,9.7285,10.0343
20 ก.พ. 2557,9.6934,9.7316,10.0449
21 ก.พ. 2557,9.6718,9.7215,10.014
24 ก.พ. 2557,9.6906,9.7359,10.0375
25 ก.พ. 2557,9.7299,9.7675,10.0777
26 ก.พ. 2557,9.7434,9.7915,10.0854
27 ก.พ. 2557,9.7534,9.7931,10.102
28 ก.พ. 2557,9.7661,9.8139,10.1046
03 มี.ค. 2557,9.741,9.7883,10.0804
04 มี.ค. 2557,9.7273,9.776,10.0697
05 มี.ค. 2557,9.7009,9.7497,10.0431
06 มี.ค. 2557,9.7001,9.7479,10.0403
07 มี.ค. 2557,9.7317,9.7798,10.0731
10 มี.ค. 2557,9.7065,9.7544,10.0492
11 มี.ค. 2557,9.6752,9.7132,10.0232
12 มี.ค. 2557,9.6709,9.716,10.0129
13 มี.ค. 2557,9.7047,9.7515,10.0469
14 มี.ค. 2557,9.6701,9.7184,10.0092
17 มี.ค. 2557,9.6551,9.6942,10.0007
18 มี.ค. 2557,9.6582,9.6958,10.0011
19 มี.ค. 2557,9.6181,9.6652,9.957
20 มี.ค. 2557,9.6442,9.6905,9.9825
21 มี.ค. 2557,9.6152,9.6619,9.9523
24 มี.ค. 2557,9.6324,9.6771,9.9726
25 มี.ค. 2557,9.6368,9.6888,10.0388
26 มี.ค. 2557,9.6951,9.7431,10.0528
27 มี.ค. 2557,9.6971,9.7382,10.0598
28 มี.ค. 2557,9.7397,9.788,10.0973
31 มี.ค. 2557,9.7659,9.8136,10.1229
01 เม.ย. 2557,9.7632,9.8116,10.1227
02 เม.ย. 2557,9.7181,9.767,10.0778
03 เม.ย. 2557,9.7243,9.7724,10.0826
04 เม.ย. 2557,9.7199,9.769,10.0795
08 เม.ย. 2557,9.7496,9.784,10.1171
09 เม.ย. 2557,9.785,9.835,10.15
10 เม.ย. 2557,9.793,9.8442,10.1587
11 เม.ย. 2557,9.8,9.8493,10.1629
16 เม.ย. 2557,9.7584,9.7985,10.1186
17 เม.ย. 2557,9.7601,9.8103,10.1222
18 เม.ย. 2557,9.747,9.7981,10.1089
21 เม.ย. 2557,9.7349,9.7855,10.0926
22 เม.ย. 2557,9.7266,9.7755,10.0812
