งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
02 ม.ค. 2557,0.7187,0.7286,0.7589
03 ม.ค. 2557,0.7142,0.7268,0.7539
06 ม.ค. 2557,0.7148,0.7278,0.7545
07 ม.ค. 2557,0.7147,0.7275,0.7542
08 ม.ค. 2557,0.7131,0.726,0.753
09 ม.ค. 2557,0.7128,0.7256,0.7522
10 ม.ค. 2557,0.7147,0.7274,0.7538
13 ม.ค. 2557,0.7161,0.7287,0.7552
14 ม.ค. 2557,0.7106,0.72,0.7507
15 ม.ค. 2557,0.7044,0.7172,0.7446
16 ม.ค. 2557,0.705,0.718,0.7447
17 ม.ค. 2557,0.7016,0.7144,0.7405
20 ม.ค. 2557,0.7044,0.717,0.7432
21 ม.ค. 2557,0.7012,0.7141,0.7393
22 ม.ค. 2557,0.7016,0.7143,0.7396
23 ม.ค. 2557,0.7028,0.7153,0.7431
24 ม.ค. 2557,0.7002,0.7127,0.7394
27 ม.ค. 2557,0.699,0.7111,0.7382
28 ม.ค. 2557,0.7011,0.7138,0.7401
29 ม.ค. 2557,0.7037,0.7163,0.7423
30 ม.ค. 2557,0.702,0.7146,0.7406
31 ม.ค. 2557,0.7022,0.7146,0.742
03 ก.พ. 2557,0.7074,0.7176,0.741
04 ก.พ. 2557,0.6984,0.7113,0.7378
05 ก.พ. 2557,0.6987,0.7113,0.7373
06 ก.พ. 2557,0.699,0.7117,0.7386
07 ก.พ. 2557,0.7021,0.7155,0.7409
10 ก.พ. 2557,0.7039,0.7165,0.7443
11 ก.พ. 2557,0.7043,0.7171,0.7428
12 ก.พ. 2557,0.7011,0.7132,0.7412
13 ก.พ. 2557,0.7007,0.7136,0.74
17 ก.พ. 2557,0.6984,0.711,0.7388
18 ก.พ. 2557,0.703,0.7146,0.7418
19 ก.พ. 2557,0.705,0.7168,0.7443
20 ก.พ. 2557,0.704,0.7162,0.7429
21 ก.พ. 2557,0.7038,0.7164,0.7421
24 ก.พ. 2557,0.705,0.7177,0.7445
25 ก.พ. 2557,0.7043,0.7161,0.7438
26 ก.พ. 2557,0.704,0.7166,0.7433
27 ก.พ. 2557,0.7048,0.7171,0.7443
28 ก.พ. 2557,0.7043,0.7167,0.7445
03 มี.ค. 2557,0.7035,0.7161,0.7421
04 มี.ค. 2557,0.7005,0.7131,0.7401
05 มี.ค. 2557,0.6968,0.7095,0.737
06 มี.ค. 2557,0.6966,0.7092,0.7362
07 มี.ค. 2557,0.6992,0.712,0.7392
10 มี.ค. 2557,0.7022,0.7158,0.7411
11 มี.ค. 2557,0.702,0.7137,0.7409
12 มี.ค. 2557,0.701,0.7137,0.7403
13 มี.ค. 2557,0.7018,0.7144,0.7406
14 มี.ค. 2557,0.6982,0.7115,0.7378
17 มี.ค. 2557,0.6972,0.7088,0.7361
18 มี.ค. 2557,0.6912,0.7076,0.7347
19 มี.ค. 2557,0.6866,0.7043,0.7312
20 มี.ค. 2557,0.6884,0.7049,0.7327
