งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
02 ม.ค. 2557,32.6672,32.7647,33.0443
03 ม.ค. 2557,32.77,32.8681,33.1435
06 ม.ค. 2557,32.8542,32.9523,33.226
07 ม.ค. 2557,32.8612,32.9588,33.238
08 ม.ค. 2557,32.8211,32.9179,33.1971
09 ม.ค. 2557,32.7856,32.8853,33.1501
10 ม.ค. 2557,32.7823,32.8791,33.1547
13 ม.ค. 2557,32.7925,32.8904,33.1627
14 ม.ค. 2557,32.6633,32.7627,33.0375
15 ม.ค. 2557,32.5901,32.6867,32.9575
16 ม.ค. 2557,32.6709,32.7685,33.0444
17 ม.ค. 2557,32.517,32.6152,32.8867
20 ม.ค. 2557,32.6561,32.7514,33.0318
21 ม.ค. 2557,32.5873,32.6816,32.973
22 ม.ค. 2557,32.6365,32.7337,33.0135
23 ม.ค. 2557,32.7175,32.8147,33.0935
24 ม.ค. 2557,32.6148,32.7116,33.0016
27 ม.ค. 2557,32.6626,32.7592,33.0398
28 ม.ค. 2557,32.6542,32.7506,33.0308
29 ม.ค. 2557,32.659,32.7547,33.0363
30 ม.ค. 2557,32.7522,32.8466,33.1198
31 ม.ค. 2557,32.7564,32.8536,33.1413
03 ก.พ. 2557,32.6822,32.7808,33.0539
04 ก.พ. 2557,32.6471,32.7453,33.0134
05 ก.พ. 2557,32.5434,32.6389,32.9223
06 ก.พ. 2557,32.5531,32.6506,32.924
07 ก.พ. 2557,32.5838,32.6806,32.961
10 ก.พ. 2557,32.5458,32.6436,32.9224
11 ก.พ. 2557,32.5602,32.6567,32.9369
12 ก.พ. 2557,32.4417,32.5398,32.8153
13 ก.พ. 2557,32.3252,32.4234,32.6955
17 ก.พ. 2557,32.0879,32.1871,32.4636
18 ก.พ. 2557,32.1705,32.2677,32.5449
19 ก.พ. 2557,32.3557,32.4534,32.7294
20 ก.พ. 2557,32.3783,32.4761,32.7536
21 ก.พ. 2557,32.3121,32.4084,32.6842
24 ก.พ. 2557,32.3698,32.4678,32.7454
25 ก.พ. 2557,32.2756,32.3729,32.6487
26 ก.พ. 2557,32.336,32.433,32.7057
27 ก.พ. 2557,32.3522,32.4482,32.7357
28 ก.พ. 2557,32.388,32.4831,32.7528
03 มี.ค. 2557,32.3511,32.4482,32.7237
04 มี.ค. 2557,32.3036,32.4009,32.6757
05 มี.ค. 2557,32.1486,32.2439,32.5309
06 มี.ค. 2557,32.0695,32.1652,32.4357
07 มี.ค. 2557,32.0327,32.1294,32.4092
10 มี.ค. 2557,32.1647,32.2611,32.5387
11 มี.ค. 2557,32.1072,32.2048,32.4769
12 มี.ค. 2557,32.1514,32.2491,32.5204
13 มี.ค. 2557,32.143,32.2408,32.513
14 มี.ค. 2557,32.0946,32.1902,32.4715
17 มี.ค. 2557,32.0324,32.1286,32.4069
18 มี.ค. 2557,31.9313,32.029,32.3027
19 มี.ค. 2557,31.885,31.9827,32.2637
20 มี.ค. 2557,32.1048,32.2025,32.48
21 มี.ค. 2557,32.1698,32.266,32.5433
24 มี.ค. 2557,32.2042,32.2998,32.5748
25 มี.ค. 2557,32.2633,32.3618,32.6345
26 มี.ค. 2557,32.3583,32.4542,32.7358
27 มี.ค. 2557,32.319,32.4153,32.7055
28 มี.ค. 2557,32.2908,32.3867,32.6618
31 มี.ค. 2557,32.2082,32.305,32.5814
01 เม.ย. 2557,32.1689,32.266,32.5384
02 เม.ย. 2557,32.1411,32.2374,32.5138
03 เม.ย. 2557,32.2363,32.333,32.6104
04 เม.ย. 2557,32.2983,32.3945,32.6713
08 เม.ย. 2557,32.19,32.2879,32.5621
09 เม.ย. 2557,31.9804,32.0768,32.3516
10 เม.ย. 2557,31.9611,32.0577,32.3274
11 เม.ย. 2557,32.0728,32.1741,32.4578
16 เม.ย. 2557,32.0706,32.1633,32.4378
17 เม.ย. 2557,31.9724,32.0696,32.3517
18 เม.ย. 2557,31.9557,32.0506,32.3343
21 เม.ย. 2557,31.9622,32.0594,32.3406
22 เม.ย. 2557,32.0578,32.1539,32.4329
23 เม.ย. 2557,32.1412,32.2388,32.5092
24 เม.ย. 2557,32.094,32.1913,32.4764
25 เม.ย. 2557,32.133,32.2289,32.5022
28 เม.ย. 2557,32.0148,32.1121,32.3911
29 เม.ย. 2557,32.041,32.1367,32.4214
30 เม.ย. 2557,32.0669,32.1649,32.4417
02 พ.ค. 2557,32.1527,32.2522,32.5407
06 พ.ค. 2557,32.1424,32.2396,32.5124
07 พ.ค. 2557,32.1435,32.2363,32.5163
08 พ.ค. 2557,32.2069,32.3043,32.5779
09 พ.ค. 2557,32.3125,32.4097,32.6839
12 พ.ค. 2557,32.4028,32.4998,32.774
14 พ.ค. 2557,32.2775,32.3749,32.643
15 พ.ค. 2557,32.1898,32.2861,32.5592
16 พ.ค. 2557,32.249,32.3465,32.6211
19 พ.ค. 2557,32.2578,32.3553,32.6291
20 พ.ค. 2557,32.2983,32.3958,32.6739
21 พ.ค. 2557,32.2906,32.3882,32.6694
22 พ.ค. 2557,32.1908,32.2883,32.5637
23 พ.ค. 2557,32.2778,32.3756,32.6444
26 พ.ค. 2557,32.3565,32.4522,32.7357
27 พ.ค. 2557,32.3455,32.4426,32.7205
28 พ.ค. 2557,32.4172,32.5143,32.7851
29 พ.ค. 2557,32.479,32.5752,32.8526
30 พ.ค. 2557,32.5545,32.6513,32.931
02 มิ.ย. 2557,32.6279,32.7242,33.0031
03 มิ.ย. 2557,32.5137,32.6086,32.8797
04 มิ.ย. 2557,32.4401,32.5358,32.8124
05 มิ.ย. 2557,32.4517,32.5441,32.8248
06 มิ.ย. 2557,32.3558,32.4471,32.7281
09 มิ.ย. 2557,32.2172,32.31,32.5918
10 มิ.ย. 2557,32.2245,32.3177,32.5993
11 มิ.ย. 2557,32.24,32.3331,32.6113
12 มิ.ย. 2557,32.2447,32.3385,32.6184
13 มิ.ย. 2557,32.1795,32.2703,32.5668
16 มิ.ย. 2557,32.1415,32.2343,32.5148
17 มิ.ย. 2557,32.1807,32.2747,32.5496
18 มิ.ย. 2557,32.2589,32.3511,32.6393
19 มิ.ย. 2557,32.1758,32.2702,32.5545
20 มิ.ย. 2557,32.2232,32.315,32.613
23 มิ.ย. 2557,32.2105,32.3051,32.5773
24 มิ.ย. 2557,32.2108,32.3036,32.5888
25 มิ.ย. 2557,32.2274,32.3191,32.61
26 มิ.ย. 2557,32.2189,32.3113,32.5993
27 มิ.ย. 2557,32.2443,32.3366,32.6246
30 มิ.ย. 2557,32.2196,32.3114,32.5986
02 ก.ค. 2557,32.1589,32.2507,32.5339
03 ก.ค. 2557,32.149,32.2412,32.5227
04 ก.ค. 2557,32.1678,32.2615,32.543
07 ก.ค. 2557,32.1532,32.2443,32.5312
08 ก.ค. 2557,32.159,32.2514,32.5321
09 ก.ค. 2557,32.104,32.1965,32.4766
10 ก.ค. 2557,31.9237,32.0182,32.2907
14 ก.ค. 2557,31.9124,32.0057,32.2907
15 ก.ค. 2557,31.9235,32.0168,32.3002
16 ก.ค. 2557,31.9324,32.0266,32.3036
17 ก.ค. 2557,31.9085,32.0025,32.2842
18 ก.ค. 2557,31.9657,32.0595,32.3404
21 ก.ค. 2557,31.8316,31.9234,32.2062
22 ก.ค. 2557,31.6185,31.7115,31.9946
23 ก.ค. 2557,31.5521,31.6446,31.918
24 ก.ค. 2557,31.5889,31.6821,31.9585
25 ก.ค. 2557,31.6215,31.7136,32.0007
28 ก.ค. 2557,31.5749,31.6665,31.9573
29 ก.ค. 2557,31.5677,31.6598,31.9482
30 ก.ค. 2557,31.6129,31.7066,31.9927
31 ก.ค. 2557,31.7552,31.8487,32.1317
01 ส.ค. 2557,31.9639,32.0558,32.3369
04 ส.ค. 2557,31.9043,31.996,32.2833
05 ส.ค. 2557,31.8914,31.9853,32.271
06 ส.ค. 2557,31.9527,32.0468,32.3195
07 ส.ค. 2557,31.9819,32.0739,32.3597
08 ส.ค. 2557,32.0087,32.1007,32.3816
13 ส.ค. 2557,31.7765,31.8595,32.1505
14 ส.ค. 2557,31.6702,31.7608,32.0393
15 ส.ค. 2557,31.6464,31.7385,32.0137
18 ส.ค. 2557,31.6008,31.6955,31.9743
19 ส.ค. 2557,31.6224,31.7101,31.9947
20 ส.ค. 2557,31.666,31.7566,32.0479
21 ส.ค. 2557,31.8068,31.8954,32.1805
22 ส.ค. 2557,31.6843,31.7736,32.0592
25 ส.ค. 2557,31.7742,31.8651,32.1536
26 ส.ค. 2557,31.6978,31.7832,32.0789
27 ส.ค. 2557,31.6719,31.7643,32.051
28 ส.ค. 2557,31.6415,31.7304,32.016
29 ส.ค. 2557,31.7148,31.8081,32.0961
01 ก.ย. 2557,31.7108,31.8028,32.0937
02 ก.ย. 2557,31.7941,31.8868,32.1724
03 ก.ย. 2557,31.8771,31.9658,32.2503
04 ก.ย. 2557,31.7647,31.8583,32.1327
05 ก.ย. 2557,31.8583,31.9506,32.227
08 ก.ย. 2557,31.759,31.8516,32.1358
09 ก.ย. 2557,31.8658,31.9609,32.237
10 ก.ย. 2557,31.8921,31.9829,32.2657
11 ก.ย. 2557,31.9279,32.0148,32.2871
12 ก.ย. 2557,31.9766,32.0702,32.357
15 ก.ย. 2557,32.0312,32.1234,32.4103
16 ก.ย. 2557,32.0223,32.1161,32.4026
17 ก.ย. 2557,31.9797,32.0722,32.3599
18 ก.ย. 2557,32.0666,32.1614,32.4479
19 ก.ย. 2557,32.0148,32.1057,32.3902
22 ก.ย. 2557,31.9537,32.0403,32.3298
23 ก.ย. 2557,32.017,32.1086,32.3883
24 ก.ย. 2557,32.0058,32.0942,32.3785
25 ก.ย. 2557,32.0079,32.1017,32.3838
26 ก.ย. 2557,32.0571,32.1523,32.4305
29 ก.ย. 2557,32.1049,32.1913,32.4933
30 ก.ย. 2557,32.1376,32.2304,32.5161
