งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
02 ม.ค. 2557,-,0.1553,0.1566
03 ม.ค. 2557,-,0.1557,0.157
06 ม.ค. 2557,-,0.1562,0.1575
07 ม.ค. 2557,-,0.1562,0.1575
08 ม.ค. 2557,-,0.156,0.1574
09 ม.ค. 2557,-,0.1559,0.1571
10 ม.ค. 2557,-,0.1559,0.1572
13 ม.ค. 2557,-,0.1559,0.1572
14 ม.ค. 2557,-,0.1553,0.1567
15 ม.ค. 2557,-,0.155,0.1563
16 ม.ค. 2557,-,0.1554,0.1567
17 ม.ค. 2557,-,0.1546,0.1559
20 ม.ค. 2557,-,0.1553,0.1566
21 ม.ค. 2557,-,0.155,0.1563
22 ม.ค. 2557,-,0.1552,0.1565
23 ม.ค. 2557,-,0.1556,0.1569
24 ม.ค. 2557,-,0.1551,0.1565
27 ม.ค. 2557,-,0.1554,0.1567
28 ม.ค. 2557,-,0.1555,0.1568
29 ม.ค. 2557,-,0.1555,0.1569
30 ม.ค. 2557,-,0.156,0.1573
31 ม.ค. 2557,-,0.156,0.1574
03 ก.พ. 2557,-,0.1557,0.157
04 ก.พ. 2557,-,0.1555,0.1568
05 ก.พ. 2557,-,0.155,0.1563
06 ก.พ. 2557,-,0.1547,0.156
07 ก.พ. 2557,-,0.1548,0.1562
10 ก.พ. 2557,-,0.1547,0.156
11 ก.พ. 2557,-,0.1547,0.1561
12 ก.พ. 2557,-,0.1542,0.1555
13 ก.พ. 2557,-,0.1536,0.1549
17 ก.พ. 2557,-,0.1525,0.1539
18 ก.พ. 2557,-,0.1529,0.1542
19 ก.พ. 2557,-,0.1538,0.1551
20 ก.พ. 2557,-,0.1539,0.1552
21 ก.พ. 2557,-,0.1536,0.1549
24 ก.พ. 2557,-,0.1538,0.1552
25 ก.พ. 2557,-,0.1534,0.1547
26 ก.พ. 2557,-,0.1537,0.155
27 ก.พ. 2557,-,0.1538,0.1551
28 ก.พ. 2557,-,0.1539,0.1552
03 มี.ค. 2557,-,0.1538,0.1551
04 มี.ค. 2557,-,0.1535,0.1548
05 มี.ค. 2557,-,0.1528,0.1542
06 มี.ค. 2557,-,0.1524,0.1537
07 มี.ค. 2557,-,0.1523,0.1536
10 มี.ค. 2557,-,0.1529,0.1542
11 มี.ค. 2557,-,0.1526,0.1539
12 มี.ค. 2557,-,0.1528,0.1541
13 มี.ค. 2557,-,0.1528,0.1541
14 มี.ค. 2557,-,0.1526,0.1539
17 มี.ค. 2557,-,0.1523,0.1536
