งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
30 พ.ย. 2567,21.8506,21.9148,22.7269
29 พ.ย. 2567,21.8506,21.9148,22.7269
28 พ.ย. 2567,21.9243,21.9811,22.8001
27 พ.ย. 2567,21.9674,22.0339,22.8766
26 พ.ย. 2567,22.002,22.0693,22.8793
25 พ.ย. 2567,22.0389,22.1031,22.9279
22 พ.ย. 2567,22.1049,22.1755,22.984
21 พ.ย. 2567,22.1277,22.1789,22.9724
20 พ.ย. 2567,22.0763,22.1415,22.9654
19 พ.ย. 2567,22.0499,22.1147,22.923
18 พ.ย. 2567,22.0403,22.0927,22.8697
15 พ.ย. 2567,22.0646,22.1395,22.943
14 พ.ย. 2567,22.2109,22.2704,23.0452
13 พ.ย. 2567,22.2222,22.2869,23.0932
12 พ.ย. 2567,22.266,22.3325,23.1641
11 พ.ย. 2567,22.1119,22.1846,23.0072
8 พ.ย. 2567,22.2126,22.2726,23.0629
7 พ.ย. 2567,22.1908,22.2606,23.0843
6 พ.ย. 2567,21.7669,21.835,22.685
5 พ.ย. 2567,21.743,21.8103,22.6264
4 พ.ย. 2567,21.8267,21.8947,22.7057
1 พ.ย. 2567,21.7851,21.8444,22.6211
