งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
30 พ.ย. 2567,4.6449,4.6757,4.8068
29 พ.ย. 2567,4.6449,4.6757,4.8068
28 พ.ย. 2567,4.6601,4.6936,4.83
27 พ.ย. 2567,4.6745,4.7107,4.8523
26 พ.ย. 2567,4.6866,4.7196,4.8572
25 พ.ย. 2567,4.6627,4.6981,4.833
22 พ.ย. 2567,4.6985,4.7283,4.854
21 พ.ย. 2567,4.7042,4.7289,4.8429
20 พ.ย. 2567,4.6772,4.7102,4.8465
19 พ.ย. 2567,4.692,4.7239,4.856
18 พ.ย. 2567,4.7234,4.7478,4.8632
15 พ.ย. 2567,4.7257,4.7589,4.8984
14 พ.ย. 2567,4.748,4.7737,4.892
13 พ.ย. 2567,4.714,4.7452,4.8763
12 พ.ย. 2567,4.701,4.7321,4.8671
11 พ.ย. 2567,4.6688,4.7034,4.848
8 พ.ย. 2567,4.6779,4.7036,4.8228
7 พ.ย. 2567,4.6811,4.7145,4.8531
6 พ.ย. 2567,4.6448,4.6781,4.8225
5 พ.ย. 2567,4.6456,4.6798,4.8176
4 พ.ย. 2567,4.6588,4.6933,4.8331
1 พ.ย. 2567,4.6625,4.6916,4.8134
