งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
28 ก.พ. 2568,4.3312,4.3457,4.4202
27 ก.พ. 2568,4.3056,4.3204,4.387
26 ก.พ. 2568,4.3002,4.3154,4.3816
25 ก.พ. 2568,4.2674,4.2834,4.3579
24 ก.พ. 2568,4.2619,4.2766,4.3494
21 ก.พ. 2568,4.2688,4.285,4.3593
20 ก.พ. 2568,4.2788,4.2905,4.3686
19 ก.พ. 2568,4.2776,4.2933,4.3679
18 ก.พ. 2568,4.2891,4.3043,4.374
17 ก.พ. 2568,4.2779,4.2922,4.373
14 ก.พ. 2568,4.2656,4.2828,4.3699
13 ก.พ. 2568,4.3214,4.3346,4.3892
11 ก.พ. 2568,4.3149,4.3315,4.4089
10 ก.พ. 2568,4.289,4.3055,4.3939
7 ก.พ. 2568,4.2807,4.294,4.373
6 ก.พ. 2568,4.2689,4.2824,4.3616
5 ก.พ. 2568,4.2749,4.2904,4.3591
4 ก.พ. 2568,4.3034,4.3179,4.3818
3 ก.พ. 2568,4.3132,4.3302,4.4129
31 ม.ค. 2568,4.2719,4.2866,4.352
30 ม.ค. 2568,4.2972,4.3106,4.3622
29 ม.ค. 2568,4.2845,4.2992,4.3762
28 ม.ค. 2568,4.297,4.3133,4.386
27 ม.ค. 2568,4.2689,4.2849,4.3726
24 ม.ค. 2568,4.2953,4.3101,4.3866
23 ม.ค. 2568,4.3016,4.3177,4.3957
22 ม.ค. 2568,4.3195,4.3337,4.3901
21 ม.ค. 2568,4.3473,4.3618,4.4217
20 ม.ค. 2568,4.3601,4.3771,4.4671
17 ม.ค. 2568,4.3801,4.3945,4.4642
16 ม.ค. 2568,4.3864,4.4009,4.4754
15 ม.ค. 2568,4.4099,4.4252,4.4999
14 ม.ค. 2568,4.4138,4.4283,4.4901
13 ม.ค. 2568,4.4052,4.422,4.5094
10 ม.ค. 2568,4.3876,4.4036,4.4889
9 ม.ค. 2568,4.3994,4.4149,4.4972
8 ม.ค. 2568,4.3909,4.4076,4.4928
7 ม.ค. 2568,4.3895,4.4064,4.4914
6 ม.ค. 2568,4.3945,4.4099,4.4852
3 ม.ค. 2568,4.3676,4.3845,4.4679
2 ม.ค. 2568,4.3498,4.3651,4.4349
30 ธ.ค. 2567,4.3294,4.3439,4.4141
27 ธ.ค. 2567,4.3361,4.353,4.4422
26 ธ.ค. 2567,4.3464,4.3626,4.4548
25 ธ.ค. 2567,4.3413,4.3574,4.4462
24 ธ.ค. 2567,4.3443,4.3611,4.4495
23 ธ.ค. 2567,4.3524,4.3685,4.4537
20 ธ.ค. 2567,4.3946,4.4106,4.494
19 ธ.ค. 2567,4.3932,4.408,4.4939
18 ธ.ค. 2567,4.3463,4.3631,4.451
17 ธ.ค. 2567,4.3319,4.3462,4.4316
16 ธ.ค. 2567,4.3359,4.3517,4.4265
13 ธ.ค. 2567,4.323,4.3379,4.4118
12 ธ.ค. 2567,4.2962,4.3124,4.3951
11 ธ.ค. 2567,4.2846,4.2989,4.3873
9 ธ.ค. 2567,4.3089,4.3263,4.4115
6 ธ.ค. 2567,4.3229,4.3393,4.4277
4 ธ.ค. 2567,4.3509,4.3687,4.4576
3 ธ.ค. 2567,4.3743,4.3908,4.4716
2 ธ.ค. 2567,4.369,4.3862,4.4766
30 พ.ย. 2567,4.3504,4.3659,4.4458
29 พ.ย. 2567,4.3504,4.3659,4.4458
28 พ.ย. 2567,4.3756,4.3916,4.4763
27 พ.ย. 2567,4.3972,4.4142,4.5016
26 พ.ย. 2567,4.4036,4.4203,4.5074
25 พ.ย. 2567,4.3772,4.3921,4.4759
22 พ.ย. 2567,4.4057,4.4209,4.4989
21 พ.ย. 2567,4.4018,4.4168,4.4905
20 พ.ย. 2567,4.3855,4.3994,4.4847
19 พ.ย. 2567,4.3921,4.4078,4.4917
18 พ.ย. 2567,4.4142,4.4297,4.5033
15 พ.ย. 2567,4.43,4.4466,4.5313
14 พ.ย. 2567,4.4454,4.4616,4.5359
13 พ.ย. 2567,4.4126,4.4285,4.5099
12 พ.ย. 2567,4.4038,4.4199,4.5035
11 พ.ย. 2567,4.3521,4.3688,4.4579
8 พ.ย. 2567,4.3339,4.3487,4.4215
7 พ.ย. 2567,4.3611,4.3788,4.4656
6 พ.ย. 2567,4.3052,4.3179,4.4087
5 พ.ย. 2567,4.2786,4.2958,4.3819
4 พ.ย. 2567,4.2907,4.3071,4.3921
1 พ.ย. 2567,4.2974,4.3137,4.3908
