งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
28 ก.พ. 2568,0.3517,0.3628,0.4189
27 ก.พ. 2568,0.3537,0.3598,0.42
26 ก.พ. 2568,0.3518,0.3607,0.4185
25 ก.พ. 2568,0.3515,0.3614,0.4165
24 ก.พ. 2568,0.3527,0.3582,0.4175
21 ก.พ. 2568,0.352,0.3619,0.418
20 ก.พ. 2568,0.3554,0.3603,0.4205
19 ก.พ. 2568,0.3562,0.3616,0.4179
18 ก.พ. 2568,0.3528,0.3599,0.4204
17 ก.พ. 2568,0.3571,0.3628,0.4168
14 ก.พ. 2568,0.3523,0.3617,0.4184
13 ก.พ. 2568,0.3585,0.3605,0.4217
11 ก.พ. 2568,0.357,0.3634,0.4189
10 ก.พ. 2568,0.3508,0.3595,0.4184
7 ก.พ. 2568,0.3478,0.3592,0.4152
6 ก.พ. 2568,0.3463,0.3585,0.4149
5 ก.พ. 2568,0.3483,0.3613,0.4158
4 ก.พ. 2568,0.3536,0.3614,0.4205
3 ก.พ. 2568,0.3474,0.3633,0.4248
31 ม.ค. 2568,0.3614,0.362,0.42
30 ม.ค. 2568,0.3642,0.3645,0.4204
29 ม.ค. 2568,0.3581,0.3606,0.4224
28 ม.ค. 2568,0.3593,0.3655,0.4205
27 ม.ค. 2568,0.3606,0.3622,0.4201
24 ม.ค. 2568,0.36,0.362,0.4222
23 ม.ค. 2568,0.3611,0.3668,0.4223
22 ม.ค. 2568,0.3641,0.3658,0.4185
21 ม.ค. 2568,0.3596,0.3674,0.4262
20 ม.ค. 2568,0.3699,0.3712,0.4294
17 ม.ค. 2568,0.3707,0.3711,0.4305
16 ม.ค. 2568,0.3708,0.3727,0.4312
15 ม.ค. 2568,0.3738,0.3794,0.4292
14 ม.ค. 2568,0.3743,0.382,0.4324
13 ม.ค. 2568,0.3675,0.3787,0.4322
10 ม.ค. 2568,0.3703,0.3777,0.4303
9 ม.ค. 2568,0.3745,0.3772,0.4345
8 ม.ค. 2568,0.3756,0.3767,0.4349
7 ม.ค. 2568,0.3755,0.3786,0.4314
6 ม.ค. 2568,0.3706,0.3765,0.4339
3 ม.ค. 2568,0.3731,0.3766,0.4356
2 ม.ค. 2568,0.3717,0.3782,0.4339
30 ธ.ค. 2567,0.3622,0.369,0.4304
27 ธ.ค. 2567,0.3682,0.3721,0.4296
26 ธ.ค. 2567,0.3742,0.3767,0.433
25 ธ.ค. 2567,0.38,0.3837,0.4354
24 ธ.ค. 2567,0.3796,0.3813,0.4281
23 ธ.ค. 2567,0.376,0.379,0.432
20 ธ.ค. 2567,0.3722,0.3802,0.4389
19 ธ.ค. 2567,0.3725,0.3806,0.436
18 ธ.ค. 2567,0.3668,0.3784,0.4302
17 ธ.ค. 2567,0.3711,0.373,0.4321
16 ธ.ค. 2567,0.3682,0.3752,0.4329
13 ธ.ค. 2567,0.3623,0.3729,0.4311
12 ธ.ค. 2567,0.3629,0.3717,0.4305
11 ธ.ค. 2567,0.3644,0.3712,0.427
9 ธ.ค. 2567,0.3711,0.3717,0.4337
6 ธ.ค. 2567,0.3727,0.3773,0.4331
4 ธ.ค. 2567,0.3754,0.3791,0.4366
3 ธ.ค. 2567,0.3803,0.3815,0.4376
2 ธ.ค. 2567,0.3777,0.3789,0.4397
30 พ.ย. 2567,0.3792,0.3797,0.4394
29 พ.ย. 2567,0.3792,0.3797,0.4394
28 พ.ย. 2567,0.3819,0.3824,0.4435
27 พ.ย. 2567,0.385,0.3851,0.442
26 พ.ย. 2567,0.3851,0.3852,0.4424
25 พ.ย. 2567,0.3816,0.3837,0.4415
22 พ.ย. 2567,0.3855,0.3896,0.4423
21 พ.ย. 2567,0.3786,0.3811,0.4409
20 พ.ย. 2567,0.3759,0.379,0.4434
19 พ.ย. 2567,0.38,0.3825,0.4394
18 พ.ย. 2567,0.3865,0.3891,0.4424
15 พ.ย. 2567,0.3804,0.3865,0.4444
14 พ.ย. 2567,0.3813,0.3878,0.4444
13 พ.ย. 2567,0.3795,0.3826,0.4433
12 พ.ย. 2567,0.3777,0.3813,0.4429
11 พ.ย. 2567,0.3809,0.3809,0.4422
8 พ.ย. 2567,0.377,0.3778,0.4354
7 พ.ย. 2567,0.3812,0.385,0.4377
6 พ.ย. 2567,0.3708,0.373,0.4359
5 พ.ย. 2567,0.3708,0.371,0.432
4 พ.ย. 2567,0.3716,0.3742,0.435
1 พ.ย. 2567,0.3722,0.3777,0.4311
