งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
28 ก.พ. 2568,22.3823,22.4714,23.1115
27 ก.พ. 2568,22.2801,22.3668,22.9785
26 ก.พ. 2568,22.2402,22.3258,22.9354
25 ก.พ. 2568,22.0167,22.1048,22.747
24 ก.พ. 2568,21.9968,22.0889,22.7271
21 ก.พ. 2568,21.8946,21.9928,22.6266
20 ก.พ. 2568,21.9011,22.0009,22.6606
19 ก.พ. 2568,21.776,21.865,22.5001
18 ก.พ. 2568,21.841,21.9287,22.5581
17 ก.พ. 2568,21.7849,21.8815,22.5449
14 ก.พ. 2568,21.6222,21.7247,22.3783
13 ก.พ. 2568,21.8445,21.9204,22.5426
11 ก.พ. 2568,21.9799,22.0771,22.7306
10 ก.พ. 2568,21.8441,21.9557,22.6363
7 ก.พ. 2568,21.8227,21.9159,22.5653
6 ก.พ. 2568,21.6432,21.7428,22.382
5 ก.พ. 2568,21.4531,21.5459,22.1502
4 ก.พ. 2568,21.4469,21.5285,22.1174
3 ก.พ. 2568,21.4729,21.5727,22.1675
31 ม.ค. 2568,21.4119,21.4908,22.0914
30 ม.ค. 2568,21.4332,21.4999,22.1343
29 ม.ค. 2568,21.3209,21.4139,22.0633
28 ม.ค. 2568,21.3712,21.4562,22.0972
27 ม.ค. 2568,21.2223,21.3263,22.0016
24 ม.ค. 2568,21.3072,21.403,22.0459
23 ม.ค. 2568,21.2994,21.3886,22.0225
22 ม.ค. 2568,21.4352,21.5047,22.1071
21 ม.ค. 2568,21.5502,21.632,22.2668
20 ม.ค. 2568,21.6282,21.7448,22.3994
17 ม.ค. 2568,21.7934,21.8799,22.5005
16 ม.ค. 2568,21.6914,21.7919,22.4075
15 ม.ค. 2568,21.6255,21.7145,22.3492
14 ม.ค. 2568,21.646,21.716,22.3812
13 ม.ค. 2568,21.6271,21.7265,22.419
10 ม.ค. 2568,21.435,21.5366,22.2134
9 ม.ค. 2568,21.5069,21.5998,22.2764
8 ม.ค. 2568,21.439,21.5511,22.244
7 ม.ค. 2568,21.4545,21.5541,22.2234
6 ม.ค. 2568,21.522,21.6166,22.2635
3 ม.ค. 2568,21.4522,21.5567,22.2343
2 ม.ค. 2568,21.3616,21.4332,22.0794
30 ธ.ค. 2567,21.1326,21.2137,21.8877
27 ธ.ค. 2567,21.1972,21.3024,22.0103
26 ธ.ค. 2567,21.306,21.4136,22.0919
25 ธ.ค. 2567,21.2984,21.4064,22.1108
24 ธ.ค. 2567,21.3544,21.4541,22.1267
23 ธ.ค. 2567,21.4616,21.5615,22.2332
20 ธ.ค. 2567,21.5729,21.6739,22.3437
19 ธ.ค. 2567,21.848,21.9512,22.6162
18 ธ.ค. 2567,21.861,21.9573,22.6461
17 ธ.ค. 2567,21.7149,21.8133,22.4899
16 ธ.ค. 2567,21.7794,21.8651,22.5267
13 ธ.ค. 2567,21.8391,21.9243,22.5808
12 ธ.ค. 2567,21.7966,21.8978,22.5873
11 ธ.ค. 2567,21.8316,21.9295,22.6192
9 ธ.ค. 2567,22.2039,22.3163,23.0159
6 ธ.ค. 2567,22.2891,22.3897,23.0877
4 ธ.ค. 2567,22.4417,22.5608,23.2653
3 ธ.ค. 2567,22.5731,22.6695,23.3405
2 ธ.ค. 2567,22.4784,22.5964,23.2946
30 พ.ย. 2567,22.4106,22.5144,23.1832
29 พ.ย. 2567,22.4106,22.5144,23.1832
28 พ.ย. 2567,22.3201,22.4255,23.1244
27 พ.ย. 2567,22.2956,22.4066,23.1075
26 พ.ย. 2567,22.1215,22.2273,22.9132
25 พ.ย. 2567,21.9743,22.0804,22.7608
22 พ.ย. 2567,22.0396,22.1487,22.8021
21 พ.ย. 2567,21.9608,22.0407,22.7046
20 พ.ย. 2567,21.8457,21.955,22.6463
19 พ.ย. 2567,22.0284,22.125,22.7887
18 พ.ย. 2567,22.075,22.162,22.8071
15 พ.ย. 2567,21.897,22.0067,22.6832
14 พ.ย. 2567,22.0482,22.1402,22.7833
13 พ.ย. 2567,22.0221,22.1223,22.7953
12 พ.ย. 2567,22.121,22.2252,22.9066
11 พ.ย. 2567,21.9411,22.047,22.7272
8 พ.ย. 2567,21.8742,21.9636,22.612
7 พ.ย. 2567,21.8411,21.9444,22.6254
6 พ.ย. 2567,21.6595,21.7699,22.4781
5 พ.ย. 2567,21.6999,21.8032,22.4861
4 พ.ย. 2567,21.8149,21.9245,22.6024
1 พ.ย. 2567,21.8166,21.9076,22.5524
