งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
28 ก.พ. 2568,-,0.846,0.8539
27 ก.พ. 2568,-,0.84,0.8478
26 ก.พ. 2568,-,0.8388,0.8466
25 ก.พ. 2568,-,0.8332,0.8414
24 ก.พ. 2568,-,0.8315,0.8395
21 ก.พ. 2568,-,0.8329,0.8409
20 ก.พ. 2568,-,0.8344,0.8426
19 ก.พ. 2568,-,0.8348,0.8429
18 ก.พ. 2568,-,0.8371,0.8451
17 ก.พ. 2568,-,0.8368,0.8449
14 ก.พ. 2568,-,0.8378,0.8461
13 ก.พ. 2568,-,0.8433,0.851
11 ก.พ. 2568,-,0.844,0.8522
10 ก.พ. 2568,-,0.8394,0.8476
7 ก.พ. 2568,-,0.8358,0.8438
6 ก.พ. 2568,-,0.8337,0.8418
5 ก.พ. 2568,-,0.8337,0.8416
4 ก.พ. 2568,-,0.8389,0.8467
3 ก.พ. 2568,-,0.8429,0.8509
31 ม.ค. 2568,-,0.833,0.8409
30 ม.ค. 2568,-,0.8363,0.8441
29 ม.ค. 2568,-,0.8362,0.8443
28 ม.ค. 2568,-,0.8383,0.8463
27 ม.ค. 2568,-,0.8338,0.8418
24 ม.ค. 2568,-,0.8371,0.8456
23 ม.ค. 2568,-,0.8379,0.8459
22 ม.ค. 2568,-,0.8388,0.8465
21 ม.ค. 2568,-,0.8437,0.8513
20 ม.ค. 2568,-,0.8483,0.8565
17 ม.ค. 2568,-,0.8523,0.8603
16 ม.ค. 2568,-,0.8539,0.862
15 ม.ค. 2568,-,0.8567,0.8646
14 ม.ค. 2568,-,0.8558,0.8636
13 ม.ค. 2568,-,0.8559,0.864
10 ม.ค. 2568,-,0.8517,0.8598
9 ม.ค. 2568,-,0.8541,0.8623
8 ม.ค. 2568,-,0.8531,0.8611
7 ม.ค. 2568,-,0.8526,0.8606
6 ม.ค. 2568,-,0.8534,0.8613
3 ม.ค. 2568,-,0.8498,0.8579
2 ม.ค. 2568,-,0.8453,0.8534
30 ธ.ค. 2567,-,0.8407,0.8486
27 ธ.ค. 2567,-,0.8456,0.8537
26 ธ.ค. 2567,-,0.8472,0.8555
25 ธ.ค. 2567,-,0.8463,0.8549
24 ธ.ค. 2567,-,0.8472,0.8555
23 ธ.ค. 2567,-,0.8483,0.8567
20 ธ.ค. 2567,-,0.8564,0.8645
19 ธ.ค. 2567,-,0.856,0.8643
18 ธ.ค. 2567,-,0.8472,0.8554
17 ธ.ค. 2567,-,0.8445,0.8527
16 ธ.ค. 2567,-,0.8449,0.8529
13 ธ.ค. 2567,-,0.8417,0.8497
12 ธ.ค. 2567,-,0.8386,0.8466
11 ธ.ค. 2567,-,0.8356,0.8436
9 ธ.ค. 2567,-,0.8398,0.8476
6 ธ.ค. 2567,-,0.8423,0.8505
4 ธ.ค. 2567,-,0.8482,0.8563
3 ธ.ค. 2567,-,0.8513,0.8594
2 ธ.ค. 2567,-,0.8516,0.8598
30 พ.ย. 2567,-,0.8468,0.8548
29 พ.ย. 2567,-,0.8468,0.8548
28 พ.ย. 2567,-,0.8517,0.8598
27 พ.ย. 2567,-,0.8577,0.8658
26 พ.ย. 2567,-,0.8609,0.8691
25 พ.ย. 2567,-,0.8556,0.8635
22 พ.ย. 2567,-,0.8581,0.8662
21 พ.ย. 2567,-,0.8553,0.8633
20 พ.ย. 2567,-,0.8494,0.8576
19 พ.ย. 2567,-,0.8531,0.8613
18 พ.ย. 2567,-,0.8564,0.8644
15 พ.ย. 2567,-,0.8589,0.8668
14 พ.ย. 2567,-,0.862,0.87
13 พ.ย. 2567,-,0.8535,0.8617
12 พ.ย. 2567,-,0.8518,0.8599
11 พ.ย. 2567,-,0.8411,0.8492
8 พ.ย. 2567,-,0.8349,0.8429
7 พ.ย. 2567,-,0.8416,0.8497
6 พ.ย. 2567,-,0.8306,0.8395
5 พ.ย. 2567,-,0.8252,0.8333
4 พ.ย. 2567,-,0.8273,0.8354
1 พ.ย. 2567,-,0.8284,0.8364
