งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
30 พ.ย. 2567,7.5843,7.6229,7.8385
29 พ.ย. 2567,7.5843,7.6229,7.8385
28 พ.ย. 2567,7.6193,7.6606,7.8863
27 พ.ย. 2567,7.6465,7.6863,7.8982
26 พ.ย. 2567,7.6267,7.6698,7.9003
25 พ.ย. 2567,7.5908,7.6353,7.8497
22 พ.ย. 2567,7.6238,7.6621,7.8876
21 พ.ย. 2567,7.612,7.6511,7.8672
20 พ.ย. 2567,7.5972,7.6351,7.8461
19 พ.ย. 2567,7.6083,7.644,7.8697
18 พ.ย. 2567,7.6326,7.6696,7.8948
15 พ.ย. 2567,7.6481,7.6872,7.8985
14 พ.ย. 2567,7.6722,7.7106,7.9237
13 พ.ย. 2567,7.6697,7.709,7.928
12 พ.ย. 2567,7.6968,7.7346,7.9527
11 พ.ย. 2567,7.6527,7.6897,7.9059
8 พ.ย. 2567,7.6234,7.6605,7.8814
7 พ.ย. 2567,7.6434,7.678,7.8995
6 พ.ย. 2567,7.6029,7.639,7.856
5 พ.ย. 2567,7.5732,7.6122,7.837
4 พ.ย. 2567,7.5848,7.6255,7.8472
1 พ.ย. 2567,7.5889,7.6302,7.848
