งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
28 ก.พ. 2568,33.8383,33.9237,34.2408
27 ก.พ. 2568,33.6024,33.6834,33.9983
26 ก.พ. 2568,33.5593,33.6358,33.9495
25 ก.พ. 2568,33.3322,33.4208,33.7467
24 ก.พ. 2568,33.2684,33.345,33.662
21 ก.พ. 2568,33.3397,33.4281,33.7513
20 ก.พ. 2568,33.431,33.5103,33.8391
19 ก.พ. 2568,33.4266,33.5131,33.8376
18 ก.พ. 2568,33.5137,33.5944,33.9141
17 ก.พ. 2568,33.4588,33.5498,33.8752
14 ก.พ. 2568,33.4158,33.5134,33.8426
13 ก.พ. 2568,33.7492,33.8153,34.1241
11 ก.พ. 2568,33.7765,33.8711,34.1978
10 ก.พ. 2568,33.6123,33.7078,34.0367
7 ก.พ. 2568,33.4922,33.5753,33.897
6 ก.พ. 2568,33.4035,33.4886,33.8171
5 ก.พ. 2568,33.4356,33.5151,33.8337
4 ก.พ. 2568,33.6588,33.7322,34.0441
3 ก.พ. 2568,33.8059,33.8996,34.2235
31 ม.ค. 2568,33.4092,33.4853,33.8042
30 ม.ค. 2568,33.5611,33.621,33.9338
29 ม.ค. 2568,33.5344,33.615,33.9397
28 ม.ค. 2568,33.6251,33.709,34.0311
27 ม.ค. 2568,33.4561,33.5507,33.8757
24 ม.ค. 2568,33.6055,33.6866,34.0252
23 ม.ค. 2568,33.6759,33.7636,34.0863
22 ม.ค. 2568,33.73,33.7934,34.1071
21 ม.ค. 2568,33.9285,33.9911,34.2975
20 ม.ค. 2568,34.1336,34.2307,34.5615
17 ม.ค. 2568,34.247,34.3231,34.6434
16 ม.ค. 2568,34.3051,34.3889,34.7154
15 ม.ค. 2568,34.4987,34.5838,34.9052
14 ม.ค. 2568,34.4787,34.5496,34.8622
13 ม.ค. 2568,34.5028,34.5963,34.9231
10 ม.ค. 2568,34.3288,34.4251,34.7521
9 ม.ค. 2568,34.4056,34.4976,34.8274
8 ม.ค. 2568,34.3347,34.4306,34.7537
7 ม.ค. 2568,34.318,34.4104,34.7342
6 ม.ค. 2568,34.3315,34.4171,34.7345
3 ม.ค. 2568,34.1695,34.2643,34.5899
2 ม.ค. 2568,33.9631,34.042,34.3667
30 ธ.ค. 2567,33.7514,33.8296,34.1461
27 ธ.ค. 2567,33.8709,33.9682,34.2924
26 ธ.ค. 2567,33.9556,34.0497,34.3836
25 ธ.ค. 2567,33.9166,34.0051,34.3511
24 ธ.ค. 2567,33.9545,34.05,34.3826
23 ธ.ค. 2567,34.0053,34.1002,34.4399
20 ธ.ค. 2567,34.3278,34.4207,34.7455
19 ธ.ค. 2567,34.3234,34.4191,34.7544
18 ธ.ค. 2567,33.9726,34.0664,34.3969
17 ธ.ค. 2567,33.8477,33.939,34.2683
16 ธ.ค. 2567,33.8704,33.9563,34.2791
13 ธ.ค. 2567,33.7628,33.8438,34.166
12 ธ.ค. 2567,33.5891,33.6791,34
11 ธ.ค. 2567,33.516,33.6074,33.9312
9 ธ.ค. 2567,33.7203,33.8177,34.1346
6 ธ.ค. 2567,33.8272,33.9209,34.2503
4 ธ.ค. 2567,34.0745,34.1734,34.4984
3 ธ.ค. 2567,34.2175,34.3083,34.6334
2 ธ.ค. 2567,34.2054,34.3111,34.6406
30 พ.ย. 2567,34.0356,34.1265,34.4502
29 พ.ย. 2567,34.0356,34.1265,34.4502
28 พ.ย. 2567,34.2306,34.3218,34.648
27 พ.ย. 2567,34.4187,34.5152,34.8391
26 พ.ย. 2567,34.4622,34.5569,34.8867
25 พ.ย. 2567,34.2454,34.342,34.6618
22 พ.ย. 2567,34.4531,34.5466,34.873
21 พ.ย. 2567,34.41,34.4932,34.8177
20 พ.ย. 2567,34.3107,34.4017,34.7318
19 พ.ย. 2567,34.3638,34.4548,34.786
18 พ.ย. 2567,34.5264,34.6062,34.932
15 พ.ย. 2567,34.6631,34.7573,35.0772
14 พ.ย. 2567,34.7486,34.835,35.1571
13 พ.ย. 2567,34.4922,34.5824,34.9174
12 พ.ย. 2567,34.431,34.5221,34.8533
11 พ.ย. 2567,34.0433,34.1401,34.4702
8 พ.ย. 2567,33.8247,33.9071,34.2293
7 พ.ย. 2567,34.0934,34.1929,34.5215
6 พ.ย. 2567,33.6616,33.7566,34.1185
5 พ.ย. 2567,33.4494,33.5454,33.8752
4 พ.ย. 2567,33.5412,33.6312,33.9596
1 พ.ย. 2567,33.5821,33.6718,33.9971
