งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
28 ก.พ. 2568,-,0.1329,0.1341
27 ก.พ. 2568,-,0.1319,0.1331
26 ก.พ. 2568,-,0.1317,0.133
25 ก.พ. 2568,-,0.1312,0.1325
24 ก.พ. 2568,-,0.1306,0.1319
21 ก.พ. 2568,-,0.131,0.1323
20 ก.พ. 2568,-,0.1313,0.1326
19 ก.พ. 2568,-,0.1313,0.1326
18 ก.พ. 2568,-,0.1318,0.1331
17 ก.พ. 2568,-,0.1321,0.1334
14 ก.พ. 2568,-,0.1316,0.1329
13 ก.พ. 2568,-,0.1323,0.1335
11 ก.พ. 2568,-,0.1334,0.1347
10 ก.พ. 2568,-,0.1332,0.1345
7 ก.พ. 2568,-,0.1329,0.1341
6 ก.พ. 2568,-,0.133,0.1343
5 ก.พ. 2568,-,0.1331,0.1344
4 ก.พ. 2568,-,0.1333,0.1346
3 ก.พ. 2568,-,0.1352,0.1365
31 ม.ค. 2568,-,0.1335,0.1348
30 ม.ค. 2568,-,0.1341,0.1353
29 ม.ค. 2568,-,0.134,0.1353
28 ม.ค. 2568,-,0.1344,0.1357
27 ม.ค. 2568,-,0.1338,0.1351
24 ม.ค. 2568,-,0.134,0.1354
23 ม.ค. 2568,-,0.1346,0.1359
22 ม.ค. 2568,-,0.1337,0.135
21 ม.ค. 2568,-,0.1342,0.1354
20 ม.ค. 2568,-,0.1352,0.1365
17 ม.ค. 2568,-,0.1353,0.1365
16 ม.ค. 2568,-,0.1355,0.1368
15 ม.ค. 2568,-,0.1362,0.1375
14 ม.ค. 2568,-,0.136,0.1373
13 ม.ค. 2568,-,0.1364,0.1377
10 ม.ค. 2568,-,0.1356,0.1369
9 ม.ค. 2568,-,0.1359,0.1372
8 ม.ค. 2568,-,0.1357,0.137
7 ม.ค. 2568,-,0.1356,0.1369
6 ม.ค. 2568,-,0.1354,0.1366
3 ม.ค. 2568,-,0.1346,0.1359
2 ม.ค. 2568,-,0.1336,0.1349
30 ธ.ค. 2567,-,0.1329,0.1341
27 ธ.ค. 2567,-,0.1335,0.1348
26 ธ.ค. 2567,-,0.1339,0.1352
25 ธ.ค. 2567,-,0.1337,0.135
24 ธ.ค. 2567,-,0.1338,0.1351
23 ธ.ค. 2567,-,0.134,0.1353
20 ธ.ค. 2567,-,0.1352,0.1365
19 ธ.ค. 2567,-,0.1352,0.1365
18 ธ.ค. 2567,-,0.1339,0.1352
17 ธ.ค. 2567,-,0.1336,0.1349
16 ธ.ค. 2567,-,0.1337,0.1349
13 ธ.ค. 2567,-,0.1333,0.1345
12 ธ.ค. 2567,-,0.1326,0.1339
11 ธ.ค. 2567,-,0.1325,0.1338
9 ธ.ค. 2567,-,0.1332,0.1345
6 ธ.ค. 2567,-,0.1336,0.1349
4 ธ.ค. 2567,-,0.1345,0.1358
3 ธ.ค. 2567,-,0.1352,0.1365
2 ธ.ค. 2567,-,0.1354,0.1367
30 พ.ย. 2567,-,0.1345,0.1358
29 พ.ย. 2567,-,0.1345,0.1358
28 พ.ย. 2567,-,0.1352,0.1365
27 พ.ย. 2567,-,0.1358,0.1371
26 พ.ย. 2567,-,0.1359,0.1372
25 พ.ย. 2567,-,0.1351,0.1364
22 พ.ย. 2567,-,0.1359,0.1372
21 พ.ย. 2567,-,0.1357,0.1369
20 พ.ย. 2567,-,0.1354,0.1367
19 พ.ย. 2567,-,0.1356,0.1369
18 พ.ย. 2567,-,0.1363,0.1376
15 พ.ย. 2567,-,0.1368,0.1381
14 พ.ย. 2567,-,0.1374,0.1387
13 พ.ย. 2567,-,0.1364,0.1377
12 พ.ย. 2567,-,0.1363,0.1376
11 พ.ย. 2567,-,0.1351,0.1364
8 พ.ย. 2567,-,0.1337,0.1349
7 พ.ย. 2567,-,0.1347,0.136
6 พ.ย. 2567,-,0.1332,0.1346
5 พ.ย. 2567,-,0.1325,0.1338
4 พ.ย. 2567,-,0.1329,0.1342
1 พ.ย. 2567,-,0.1332,0.1345
