,Actual,Predicted
2022-09-05,5.3759,5.341956333374977
2022-09-06,5.3169,5.34494471860528
2022-09-07,5.3441,5.344278995007277
2022-09-08,5.3092,5.341260406816006
2022-09-09,5.3173,5.335918707543612
2022-09-10,5.3173,5.3312300574123865
2022-09-11,5.3173,5.325956404691935
2022-09-12,5.3296,5.321509737807513
2022-09-13,5.3142,5.31768627666235
2022-09-14,5.3427,5.314622923368216
2022-09-15,5.3419,5.313219204801321
2022-09-16,5.3474,5.3139405701637275
2022-09-17,5.3474,5.3161609372437
2022-09-18,5.3474,5.318363056701422
2022-09-19,5.3431,5.320597266805172
2022-09-20,5.342,5.322515424495935
2022-09-21,5.3406,5.324568866282702
2022-09-22,5.3463,5.326485765516758
2022-09-23,5.3381,5.328453991806508
2022-09-24,5.3381,5.329868407255411
2022-09-25,5.3381,5.3308895549833775
2022-09-26,5.3484,5.33121171990037
2022-09-27,5.3693,5.3316072348654275
2022-09-28,5.3547,5.333312084144354
2022-09-29,5.379,5.335481753396988
2022-09-30,5.4128,5.338656659889222
2022-10-01,5.4128,5.343559876888991
2022-10-02,5.4128,5.34956864810586
2022-10-03,5.4147,5.35628197529912
2022-10-04,5.3974,5.3616767994225025
2022-10-05,5.3779,5.364213848143816
2022-10-06,5.3687,5.364302479451895
2022-10-07,5.3513,5.3625022571325305
2022-10-08,5.3513,5.3589587127149105
2022-10-09,5.3513,5.354417122238875
2022-10-10,5.3826,5.349686134028435
2022-10-11,5.3855,5.3465284863710405
2022-10-12,5.4022,5.345390571838617
2022-10-13,5.4022,5.346623679631949
2022-10-14,5.4022,5.348820225924253
2022-10-15,5.4022,5.3519626822114
2022-10-16,5.4022,5.356552543491126
2022-10-17,5.3789,5.361014311856032
2022-10-18,5.365,5.364078294378519
2022-10-19,5.3489,5.365820987248421
2022-10-20,5.3704,5.36520883795023
2022-10-21,5.3676,5.36425843346715
2022-10-22,5.3676,5.363462010151148
2022-10-23,5.3676,5.363389109551907
2022-10-24,5.3676,5.362877726680041
2022-10-25,5.2974,5.361887590920926
2022-10-26,5.2858,5.357550679439306
2022-10-27,5.3184,5.349669054973126
2022-10-28,5.2852,5.3402887883484365
2022-10-29,5.2852,5.3314083987057215
2022-10-30,5.2852,5.323528751814366
2022-10-31,5.3005,5.314863827937842
2022-11-01,5.2721,5.307697905778885
2022-11-02,5.2463,5.301887521272898
2022-11-03,5.2482,5.294028818696738
2022-11-04,5.2629,5.2845471564173705
2022-11-05,5.2629,5.2751356980443
2022-11-06,5.2629,5.266857929384709
2022-11-07,5.2551,5.260063162064553
2022-11-08,5.2337,5.253606200480461
2022-11-09,5.1677,5.24717872273922
2022-11-10,5.1588,5.237676295924187
2022-11-11,5.1164,5.224907994174957
2022-11-12,5.1164,5.20841924495101
2022-11-13,5.1164,5.191015957260132
2022-11-14,5.1492,5.173231986415386
2022-11-15,5.1456,5.15930860118866
2022-11-16,5.1288,5.150900402480364
2022-11-17,5.112,5.144865113782883
2022-11-18,5.0988,5.138341453993321
2022-11-19,5.0988,5.130497223669291
2022-11-20,5.0988,5.121999314975739
2022-11-21,5.1131,5.113843436837197
2022-11-22,5.13,5.107432139253617
2022-11-23,5.1331,5.10414954482317
2022-11-24,5.1119,5.103992057955265
2022-11-25,5.0581,5.104636028230191
2022-11-26,5.0581,5.102073720484972
2022-11-27,5.0581,5.095699277704955
2022-11-28,5.0565,5.087015297198296
2022-11-29,5.0348,5.078645751088858
2022-11-30,5.0212,5.070065862929821
2022-12-01,5.0342,5.060672472399474
2022-12-02,5.0114,5.052680103743077
2022-12-03,5.0114,5.043939762353897
2022-12-04,5.0114,5.035404953911901
2022-12-05,5.0114,5.02607462105155
2022-12-06,5.1036,5.017432079726458
2022-12-07,5.1072,5.0139258395612245
2022-12-08,5.0708,5.015201375323534
2022-12-09,5.0686,5.0197042233109475
2022-12-10,5.0686,5.022810948416591
2022-12-11,5.0686,5.0244745382934815
2022-12-12,5.0686,5.025896864041687
2022-12-13,5.0613,5.027460181885958
2022-12-14,5.0447,5.028679266875983
2022-12-15,5.0673,5.0291884025037294
2022-12-16,5.1035,5.030718371245265
2022-12-17,5.1035,5.034016921108962
2022-12-18,5.1035,5.039956477206946
2022-12-19,5.0622,5.0471473887205125
2022-12-20,5.0798,5.051583403667808
2022-12-21,5.0615,5.053810647314787
2022-12-22,5.045,5.0532513531982906
2022-12-23,5.0568,5.0512024058997635
2022-12-24,5.0568,5.048077388226986
2022-12-25,5.0568,5.045092059248686
2022-12-26,5.0382,5.0428237359792
2022-12-27,5.0495,5.0399603424668316
2022-12-28,5.0495,5.037100544545055
2022-12-29,5.0366,5.0346348682969815
2022-12-30,5.0375,5.032449153721333
2022-12-31,5.0375,5.029947926071286
2023-01-01,5.0375,5.027123140212894
2023-01-02,5.0375,5.0321658661276105
2023-01-03,5.0638,5.036440484002233
2023-01-04,5.0441,5.03878791026473
2023-01-05,4.9992,5.039400059562922
2023-01-06,5.0326,5.03610402661264
2023-01-07,5.0326,5.030719944316149
2023-01-08,5.0326,5.024618182137609
2023-01-09,5.0146,5.020309181427956
2023-01-10,5.0178,5.015937212938071
2023-01-11,5.0206,5.011704303914309
2023-01-12,5.0091,5.007833470863104
2023-01-13,4.9995,5.004655373284221
2023-01-14,4.9995,5.001572468966246
2023-01-15,4.9995,4.99800645210743
2023-01-16,4.9783,4.993606078451872
2023-01-17,4.9751,4.990796663743258
2023-01-18,4.9581,4.987404403799773
2023-01-19,4.9641,4.982884162142873
2023-01-20,4.9256,4.978477406314016
2023-01-21,4.9256,4.972504815727473
2023-01-22,4.9256,4.965462941443921
2023-01-23,4.9016,4.957624014616013
2023-01-24,4.9097,4.949776098811626
2023-01-25,4.9158,4.941899418282509
2023-01-26,4.906,4.9345980322480205
2023-01-27,4.9418,4.928397795832158
2023-01-28,4.9418,4.924142324477435
2023-01-29,4.9418,4.9221175575256355
2023-01-30,4.9295,4.922121332895756
2023-01-31,4.9263,4.922533567357064
2023-02-01,4.9441,4.9224662399232395
2023-02-02,4.9466,4.925540155264736
2023-02-03,4.9718,4.928727556434274
2023-02-04,4.9718,4.93324209009111
2023-02-05,4.9718,4.9382267022728925
2023-02-06,5.0145,4.943345295149088
2023-02-07,5.0328,4.9494907886981965
2023-02-08,5.0135,4.957642756631971
2023-02-09,5.0112,4.9668513787508015
2023-02-10,5.0297,4.974739744949341
2023-02-11,5.0297,4.981263314849139
2023-02-12,5.0297,4.987693399393559
2023-02-13,5.0263,4.9939250972270965
2023-02-14,5.0368,4.999543117636443
2023-02-15,5.0588,5.005086125037074
2023-02-16,5.0752,5.012164179950953
2023-02-17,5.0983,5.020471657177806
2023-02-18,5.0983,5.03056744633019
2023-02-19,5.0983,5.04129538525343
2023-02-20,5.0879,5.051825252079964
2023-02-21,5.1102,5.060927130103112
2023-02-22,5.1036,5.06928597933054
2023-02-23,5.0959,5.076898204171658
2023-02-24,5.0878,5.083928123116493
2023-02-25,5.0878,5.088852643990517
2023-02-26,5.0878,5.0919728975057605
2023-02-27,5.0947,5.093856807196141
2023-02-28,5.134,5.095571005010605
2023-03-01,5.1337,5.0986119757533075
2023-03-02,5.1337,5.1046385451436045
2023-03-03,5.1125,5.1108351859688765
2023-03-04,5.1125,5.114334055173398
2023-03-05,5.1125,5.115731751126051
2023-03-06,5.1125,5.115213986080885
2023-03-07,5.0439,5.114484890198708
2023-03-08,5.1082,5.110703227794171
2023-03-09,5.115,5.106880395877361
2023-03-10,5.1056,5.103758524346352
2023-03-11,5.1056,5.103681578707695
2023-03-12,5.1056,5.103127498197556
2023-03-13,5.0864,5.102288107573987
2023-03-14,5.0976,5.100937154299021
2023-03-15,5.0791,5.099352487635612
2023-03-16,5.0807,5.098056277227402
2023-03-17,5.0455,5.096710088109971
2023-03-18,5.0455,5.093153240007163
2023-03-19,5.0455,5.088606256145239
2023-03-20,5.0103,5.082655373936892
2023-03-21,5.0395,5.075841190427542
2023-03-22,5.074,5.069569132089615
2023-03-23,5.0503,5.065204264891148
2023-03-24,5.0521,5.06321446505785
2023-03-25,5.0521,5.062066303092242
2023-03-26,5.0521,5.06028603630066
2023-03-27,5.0489,5.059158279311657
2023-03-28,5.0642,5.058579479116202
2023-03-29,5.0427,5.058562669730187
2023-03-30,5.0474,5.058255246734619
2023-03-31,5.0497,5.057894608998299
2023-04-01,5.0497,5.0571402091473345
2023-04-02,5.0497,5.058027645850182
2023-04-03,5.0529,5.058643570518494
2023-04-04,5.0531,5.058954049766064
2023-04-05,5.0149,5.059362329077721
2023-04-06,5.0149,5.057676266759635
2023-04-07,5.0324,5.053754196542502
2023-04-08,5.0324,5.049028511828184
2023-04-09,5.0324,5.045704298436642
2023-04-10,5.0622,5.043342984205485
2023-04-11,5.0622,5.042647686874867
2023-04-12,5.0465,5.043606091547012
2023-04-13,5.0465,5.045273996132613
2023-04-14,5.0465,5.046236311009527
2023-04-15,5.0465,5.046719198825956
2023-04-16,5.0465,5.048112714904547
2023-04-17,5.0728,5.049324788492918
2023-04-18,5.0844,5.051435759729148
2023-04-19,5.0711,5.055282637158037
2023-04-20,5.0601,5.060085042786598
2023-04-21,5.0535,5.063874615490437
2023-04-22,5.0535,5.065797986787558
2023-04-23,5.0535,5.0665148576617245
2023-04-24,5.0549,5.066510093504191
2023-04-25,5.0501,5.066318628305197
2023-04-26,5.0234,5.065868730032444
2023-04-27,4.9912,5.0637329492211345
2023-04-28,5.002,5.058883845859766
2023-04-29,5.002,5.051948850506545
2023-04-30,5.002,5.044658520913124
2023-05-01,5.002,5.038505072119833
2023-05-02,4.9886,5.033073123523593
2023-05-03,4.9893,5.027359864908457
2023-05-04,4.9893,5.020854632520676
2023-05-05,4.9893,5.014969369840622
2023-05-06,4.9893,5.010362609285116
2023-05-07,4.9893,5.006655869999528
2023-05-08,4.9795,5.003743037116528
2023-05-09,4.9484,5.000849395698309
2023-05-10,4.936,4.996359042388201
2023-05-11,4.9182,4.989528409051895
2023-05-12,4.9525,4.980493139344454
2023-05-13,4.9525,4.9728642848968505
2023-05-14,4.9525,4.967252197211981
2023-05-15,4.9316,4.964287992328406
2023-05-16,4.937,4.961862137246132
2023-05-17,4.9579,4.959025171324611
2023-05-18,4.955,4.956795051205159
2023-05-19,4.9669,4.95635611948371
2023-05-20,4.9669,4.957543248662353
2023-05-21,4.9669,4.959190568491817
2023-05-22,4.9687,4.9612555161684755
2023-05-23,4.9837,4.963332913577557
2023-05-24,4.9564,4.966218824476004
2023-05-25,4.9802,4.9687829749614005
2023-05-26,4.9819,4.971574276882411
2023-05-27,4.9819,4.974041840815545
2023-05-28,4.9819,4.977248703119159
2023-05-29,4.9962,4.980037038677931
2023-05-30,4.9791,4.9829859173566105
2023-05-31,4.9645,4.985330826705694
2023-06-01,4.9451,4.986223072510958
2023-06-02,4.9421,4.984236598598957
2023-06-03,4.9421,4.979671277225018
2023-06-04,4.9421,4.973648618039489
2023-06-05,4.9421,4.96763328486979
2023-06-06,4.9593,4.961963577845693
2023-06-07,4.9482,4.957661768317223
2023-06-08,4.9547,4.954176292687655
2023-06-09,4.9221,4.951779427054524
2023-06-10,4.9221,4.948463168907166
2023-06-11,4.9221,4.94396310750246
2023-06-12,4.9166,4.938311648100615
2023-06-13,4.8905,4.933236382091046
2023-06-14,4.8993,4.927122260069847
2023-06-15,4.9207,4.920476170420647
2023-06-16,4.9336,4.9161201124191285
2023-06-17,4.9336,4.915269665354491
2023-06-18,4.9336,4.916774734631181
2023-06-19,4.9185,4.919297266155482
2023-06-20,4.9168,4.921062970805169
2023-06-21,4.9034,4.921884698089958
2023-06-22,4.9414,4.921005531245471
2023-06-23,4.9532,4.9213958775490525
2023-06-24,4.9532,4.92416084176898
2023-06-25,4.9532,4.929724254146219
2023-06-26,4.952,4.93529899263382
2023-06-27,4.9398,4.939961125284434
2023-06-28,4.9716,4.943227539557219
2023-06-29,4.9845,4.94696457169354
2023-06-30,4.9637,4.951911879622936
2023-07-01,4.9637,4.956937391647696
2023-07-02,4.9637,4.959880966830254
2023-07-03,4.9125,4.9604404407262805
2023-07-04,4.9126,4.9573098498880865
2023-07-05,4.8959,4.951357709223032
2023-07-06,4.9142,4.942896835112572
2023-07-07,4.9313,4.934514524656534
2023-07-08,4.9313,4.927531078720093
2023-07-09,4.9313,4.922540039420128
2023-07-10,4.932,4.9189158638834956
2023-07-11,4.9143,4.9159283775508404
2023-07-12,4.9163,4.912602770867944
2023-07-13,4.9014,4.908979898732901
2023-07-14,4.9217,4.904560063943268
2023-07-15,4.9217,4.90131747045815
2023-07-16,4.9217,4.900428191015124
2023-07-17,4.9012,4.901129555904865
2023-07-18,4.8485,4.901045778644085
2023-07-19,4.7953,4.89715822609663
2023-07-20,4.7852,4.886453838291764
2023-07-21,4.8438,4.869811152845622
2023-07-22,4.8438,4.8552238867610695
2023-07-23,4.8438,4.845864789175987
2023-07-24,4.8725,4.841085125657917
2023-07-25,4.8928,4.838413377124072
2023-07-26,4.8873,4.839330477449298
2023-07-27,4.8533,4.843361988455057
2023-07-28,4.8533,4.846715236240626
2023-07-29,4.8533,4.84808025726378
2023-07-30,4.8533,4.8479845696091655
2023-07-31,4.8671,4.848368623629213
2023-08-01,4.8671,4.850102821916342
2023-08-02,4.8365,4.8520717223793275
2023-08-03,4.875,4.852008350095153
2023-08-04,4.9032,4.851426718372107
2023-08-05,4.9032,4.85183980678618
2023-08-06,4.9032,4.853999722999335
2023-08-07,4.8886,4.8562914176076655
2023-08-08,4.9134,4.857855904018879
2023-08-09,4.9191,4.859540662935377
2023-08-10,4.9344,4.861663814234734
2023-08-11,4.9294,4.865684942972661
2023-08-12,4.9294,4.870516742554307
2023-08-13,4.9294,4.875735337793827
2023-08-14,4.9294,4.880336345404387
2023-08-15,4.9212,4.884602243971825
2023-08-16,4.9169,4.888873311200738
2023-08-17,4.9185,4.8918999445259574
2023-08-18,4.9245,4.8938493838548665
2023-08-19,4.9245,4.895436162927747
2023-08-20,4.9245,4.8971010562062265
2023-08-21,4.901,4.898944380667806
2023-08-22,4.8721,4.899499135351181
2023-08-23,4.8522,4.896808015573025
2023-08-24,4.8541,4.890098104190827
2023-08-25,4.8751,4.881310480785371
2023-08-26,4.8751,4.873893945962191
2023-08-27,4.8751,4.869064798128605
2023-08-28,4.9027,4.86629574392438
2023-08-29,4.9038,4.865742921870948
2023-08-30,4.8808,4.867576223623753
2023-08-31,4.8526,4.870074395021796
2023-09-01,4.9036,4.869474066227675
2023-09-02,4.9036,4.868555707445741
2023-09-03,4.9036,4.868307072356344
2023-09-04,4.8955,4.869794523239136
2023-09-05,4.9255,4.870315164756775
2023-09-06,4.9278,4.871571509054304
2023-09-07,4.9126,4.87421925702095
2023-09-08,4.8946,4.876777789396048
2023-09-09,4.8946,4.876928444641829
2023-09-10,4.8946,4.874729111766816
2023-09-11,4.9217,4.871463326722384
2023-09-12,4.9375,4.869696723175049
2023-09-13,4.9657,4.870625284445286
2023-09-14,4.974,4.875310069316626
2023-09-15,4.9765,4.88300975689888
2023-09-16,4.9765,4.893549331820012
2023-09-17,4.9765,4.904130076253415
2023-09-18,4.9617,4.913933993339539
2023-09-19,4.9745,4.921880742940307
2023-09-20,5.0343,4.928495775675774
2023-09-21,5.0299,4.937447537791729
2023-09-22,5.0095,4.949530340194703
2023-09-23,5.0095,4.96277699032724
2023-09-24,5.0095,4.973198944491148
2023-09-25,5.0012,4.980863350340725
2023-09-26,5.0425,4.986594137459994
