,Actual,Predicted
2024-10-02,4.7231,4.70339895041585
2024-10-03,4.7737,4.699074578556419
2024-10-04,4.7683,4.698013429883122
2024-10-05,4.7683,4.699832843667269
2024-10-06,4.7683,4.7039785596191885
2024-10-07,4.8073,4.70829672908485
2024-10-08,4.8071,4.714817737126351
2024-10-09,4.809,4.722387713778019
2024-10-10,4.81,4.73139799413085
2024-10-11,4.7725,4.740044670385123
2024-10-12,4.7725,4.7467132324755195
2024-10-13,4.7725,4.751808364123106
2024-10-14,4.7725,4.754957292473317
2024-10-15,4.7633,4.757905182364583
2024-10-16,4.7484,4.7588015181541445
2024-10-17,4.7203,4.7581148951858285
2024-10-18,4.7166,4.754559035870433
2024-10-19,4.7166,4.748699931111932
2024-10-20,4.7166,4.741533874118328
2024-10-21,4.7479,4.734900728595258
2024-10-22,4.7715,4.729986410209537
2024-10-23,4.7715,4.727369764101506
2024-10-24,4.8139,4.726740266078711
2024-10-25,4.8062,4.728862518480421
2024-10-26,4.8062,4.731709282386303
2024-10-27,4.8062,4.736321076768637
2024-10-28,4.7933,4.74078315974772
2024-10-29,4.8009,4.7449339544713505
2024-10-30,4.793,4.748961959776283
2024-10-31,4.8004,4.752441817295551
