,Actual,Predicted
2022-09-05,4.7261,4.702502222967148
2022-09-06,4.685,4.706539781403541
2022-09-07,4.7265,4.702897370767593
2022-09-08,4.689,4.701814949822426
2022-09-09,4.6749,4.6996518519639965
2022-09-10,4.6749,4.692619043302535
2022-09-11,4.6749,4.686805312943458
2022-09-12,4.6838,4.682147502017021
2022-09-13,4.6699,4.680391386461258
2022-09-14,4.7189,4.678906467866898
2022-09-15,4.7201,4.683968894195557
2022-09-16,4.7624,4.693005969238281
2022-09-17,4.7624,4.705654685211181
2022-09-18,4.7624,4.718740032029152
2022-09-19,4.7479,4.727864433240891
2022-09-20,4.7483,4.732197480511665
2022-09-21,4.7736,4.733444214177132
2022-09-22,4.8017,4.737154642057418
2022-09-23,4.7998,4.745063826751709
2022-09-24,4.7998,4.7528050860881805
2022-09-25,4.7998,4.7580753013610835
2022-09-26,4.853200000000001,4.761369030189514
2022-09-27,4.8751,4.769384600830078
2022-09-28,4.9017,4.781311785888672
2022-09-29,4.8983,4.794399375033378
2022-09-30,4.8757,4.804990382504463
2022-10-01,4.8757,4.809197610330582
2022-10-02,4.8757,4.80598423154354
2022-10-03,4.8892,4.801977691960334
2022-10-04,4.8606,4.801156751227379
2022-10-05,4.810500000000001,4.7995260813951495
2022-10-06,4.799,4.791637825083733
2022-10-07,4.8147,4.78093395383358
2022-10-08,4.8147,4.773795132946968
2022-10-09,4.8147,4.770064524126052
2022-10-10,4.8543,4.7683259734630585
2022-10-11,4.8985,4.77197697968483
2022-10-12,4.9075,4.783051582288742
2022-10-13,4.9075,4.795870964241027
2022-10-14,4.9075,4.806062962126732
2022-10-15,4.9075,4.813117446613312
2022-10-16,4.9075,4.817690547418594
2022-10-17,4.9083,4.82062201590538
2022-10-18,4.8929,4.822360192847252
2022-10-19,4.8946,4.821922939133644
2022-10-20,4.9288,4.820609060239792
2022-10-21,4.9297,4.823237316322326
2022-10-22,4.9297,4.827609978032112
2022-10-23,4.9297,4.831487957549095
2022-10-24,4.9297,4.834285260152817
2022-10-25,4.9122,4.835854141426086
2022-10-26,4.881899999999999,4.83497091383934
2022-10-27,4.8562,4.829603655648231
2022-10-28,4.8531,4.820453343105316
2022-10-29,4.8531,4.811360583615303
2022-10-30,4.8531,4.804645064187049
2022-10-31,4.8907,4.800279129457474
2022-11-01,4.8815,4.801906684947014
2022-11-02,4.842,4.800455152106285
2022-11-03,4.8642,4.794642542910576
2022-11-04,4.8553,4.791629603219032
2022-11-05,4.8553,4.790265521121025
2022-11-06,4.8553,4.789609142255783
2022-11-07,4.8126,4.789408329439163
2022-11-08,4.7988,4.784364962887763
2022-11-09,4.7436,4.776277762365341
2022-11-10,4.7435,4.763116550159454
2022-11-11,4.6396,4.749235675644875
2022-11-12,4.6396,4.726265778851509
2022-11-13,4.6396,4.699452160310745
2022-11-14,4.6175,4.680157935333252
2022-11-15,4.6042,4.662217951130867
2022-11-16,4.6106,4.646352991175651
2022-11-17,4.6215,4.634933693122863
2022-11-18,4.6247,4.629605177354812
2022-11-19,4.6247,4.628249939990043
2022-11-20,4.6247,4.628350346398354
2022-11-21,4.6548,4.628738954079151
2022-11-22,4.6817,4.634536676716804
2022-11-23,4.6672,4.646871217799187
2022-11-24,4.6499,4.656302942347526
2022-11-25,4.6118,4.658580897164344
2022-11-26,4.6118,4.650746892702579
2022-11-27,4.6118,4.640098269891738
2022-11-28,4.6411,4.632188898336887
2022-11-29,4.6112,4.63189577640295
2022-11-30,4.574,4.629964821648597
2022-12-01,4.5369,4.618225992035866
2022-12-02,4.5148,4.595641277146339
2022-12-03,4.5148,4.566954443764686
2022-12-04,4.5148,4.547625711870193
2022-12-05,4.5148,4.5343789175271985
2022-12-06,4.5503,4.524767246258259
2022-12-07,4.5508,4.525163515222072
2022-12-08,4.5156,4.529204250288009
2022-12-09,4.502900000000001,4.524661234033108
2022-12-10,4.502900000000001,4.514332391929626
2022-12-11,4.502900000000001,4.505494385671615
2022-12-12,4.502900000000001,4.499503760647773
2022-12-13,4.5182,4.4953121668219564
2022-12-14,4.4955,4.4963931551694865
2022-12-15,4.5109,4.494525296998024
2022-12-16,4.553,4.49470206708908
2022-12-17,4.553,4.507024026226997
2022-12-18,4.553,4.52093305439949
2022-12-19,4.5154,4.531438106012344
2022-12-20,4.5302,4.530536067795754
2022-12-21,4.5044,4.528001615715026
2022-12-22,4.4985,4.522956380558013
2022-12-23,4.5118,4.51498665304184
2022-12-24,4.5118,4.511735777568817
2022-12-25,4.5118,4.511246202898025
2022-12-26,4.4934,4.510552451920509
2022-12-27,4.4826,4.505053519320487
2022-12-28,4.4904,4.496540152144432
2022-12-29,4.4921,4.491621982169151
2022-12-30,4.4771,4.489901743841171
2022-12-31,4.4771,4.485933697533607
2023-01-01,4.4771,4.481450414371491
2023-01-02,4.4771,4.47237297744751
2023-01-03,4.4504,4.475401613426208
2023-01-04,4.429800000000001,4.474247936320305
2023-01-05,4.3799,4.4647431492924685
2023-01-06,4.4017,4.443021605622768
2023-01-07,4.4017,4.424786942315102
2023-01-08,4.4017,4.415994031739235
2023-01-09,4.3402,4.407812155199051
2023-01-10,4.326,4.386665643763542
2023-01-11,4.3331,4.358723449718952
2023-01-12,4.3126,4.3397942879915234
2023-01-13,4.2874,4.322690878522396
2023-01-14,4.2874,4.300063185703754
2023-01-15,4.2874,4.281033524137735
2023-01-16,4.2481,4.266623803091049
2023-01-17,4.2767,4.250967504096031
2023-01-18,4.2721,4.243446459931135
2023-01-19,4.2682,4.243397689324617
2023-01-20,4.2428,4.242280169737339
2023-01-21,4.2428,4.235806665879488
2023-01-22,4.2428,4.230636514437198
2023-01-23,4.2204,4.230297923099994
2023-01-24,4.2263,4.225415069770813
2023-01-25,4.2323,4.2231060026705265
2023-01-26,4.2189,4.227236306232213
2023-01-27,4.237,4.228029124450683
2023-01-28,4.237,4.2329780641317365
2023-01-29,4.237,4.239079372894763
2023-01-30,4.2265,4.243011728835105
2023-01-31,4.2246,4.240724804711341
2023-02-01,4.236,4.236620661628246
2023-02-02,4.2171,4.220491636556386
2023-02-03,4.2526,4.2121356994032855
2023-02-04,4.2526,4.216536452484131
2023-02-05,4.2526,4.228698832702636
2023-02-06,4.3137,4.236240306955575
2023-02-07,4.329,4.25551195294857
2023-02-08,4.3121,4.277676075857878
2023-02-09,4.3137,4.286950744104385
2023-02-10,4.3294,4.289667447519302
2023-02-11,4.3294,4.2961023023843765
2023-02-12,4.3294,4.302665530455112
2023-02-13,4.3454,4.305758944761752
2023-02-14,4.3494,4.310404578608274
2023-02-15,4.3819,4.315530412954092
2023-02-16,4.4054,4.332498659950494
2023-02-17,4.4398,4.354182924938201
2023-02-18,4.4398,4.379165060830116
2023-02-19,4.4398,4.401596550059319
2023-02-20,4.4263,4.417354937207699
2023-02-21,4.4543,4.42723481566906
2023-02-22,4.4613,4.438146226716041
2023-02-23,4.4522,4.451243158888817
2023-02-24,4.4701,4.45921500415802
2023-02-25,4.4701,4.466852742743492
2023-02-26,4.4701,4.473850172472
2023-02-27,4.5044,4.478254351329803
2023-02-28,4.5215,4.487271120858193
2023-03-01,4.5102,4.499983244848251
2023-03-02,4.4831,4.497458945524692
2023-03-03,4.4731,4.496266962003707
2023-03-04,4.4731,4.492894253444671
2023-03-05,4.4731,4.4904308083772655
2023-03-06,4.4731,4.489561844480037
2023-03-07,4.4387,4.489142716240883
2023-03-08,4.5163,4.481968142700195
2023-03-09,4.5117,4.486928667736053
2023-03-10,4.5071,4.500299911212921
2023-03-11,4.5071,4.505732570600509
2023-03-12,4.5071,4.510343915534019
2023-03-13,4.4484,4.513168998074531
2023-03-14,4.4411,4.503252058935165
2023-03-15,4.4355,4.48723212928772
2023-03-16,4.4417,4.477049972724914
2023-03-17,4.4059,4.4705777457475655
2023-03-18,4.4059,4.460134482693672
