,Actual,Predicted
2024-10-02,4.2397,4.2146155259132385
2024-10-03,4.2972,4.215749831807613
2024-10-04,4.3004,4.237552379530668
2024-10-05,4.3004,4.258030148160457
2024-10-06,4.3004,4.274181627643108
2024-10-07,4.3491,4.284202772688865
2024-10-08,4.35,4.299551312339306
2024-10-09,4.3432,4.312110895824432
2024-10-10,4.3569,4.320025686335564
2024-10-11,4.3262,4.327372856748104
2024-10-12,4.3262,4.327068647754192
2024-10-13,4.3262,4.325387058418989
2024-10-14,4.3262,4.323748447012901
2024-10-15,4.3373,4.322896487426758
2024-10-16,4.3319,4.326821337801218
2024-10-17,4.3132,4.329033393126726
2024-10-18,4.3054,4.326524291795492
2024-10-19,4.3054,4.3222495761632915
2024-10-20,4.3054,4.318976713430881
2024-10-21,4.323,4.317152393770217
2024-10-22,4.3534,4.320199217510223
2024-10-23,4.3534,4.330178256642818
2024-10-24,4.3894,4.338942016971111
2024-10-25,4.3846,4.352113631081581
2024-10-26,4.3846,4.360908690553903
2024-10-27,4.3846,4.3676007589817045
2024-10-28,4.3847,4.372280993175506
2024-10-29,4.3911,4.376165979963541
2024-10-30,4.382,4.380615783941745
2024-10-31,4.3816,4.381836886566877
