,Actual,Predicted
2022-09-05,0.4865,0.47995178576111797
2022-09-06,0.4836,0.48006528561711315
2022-09-07,0.4865,0.48000641369819647
2022-09-08,0.48499999999999993,0.4799587168872357
2022-09-09,0.48039999999999994,0.47989784027338034
2022-09-10,0.48039999999999994,0.47971542369723325
2022-09-11,0.48039999999999994,0.4794331989049912
2022-09-12,0.48379999999999995,0.47909231545925146
2022-09-13,0.48550000000000004,0.4789021466851235
2022-09-14,0.4868,0.47886278855204584
2022-09-15,0.4855999999999999,0.47899463989734653
2022-09-16,0.488,0.47939216663837436
2022-09-17,0.488,0.4798435588926077
2022-09-18,0.488,0.4802930637478829
2022-09-19,0.4874,0.4807552738904953
2022-09-20,0.4908,0.48116701477169993
2022-09-21,0.49000000000000005,0.48173161364197736
2022-09-22,0.4897,0.4823164833903313
2022-09-23,0.48769999999999997,0.4829202271282673
2022-09-24,0.48769999999999997,0.4834259967327118
2022-09-25,0.48769999999999997,0.48389374111294753
2022-09-26,0.48940000000000006,0.48433957247138026
2022-09-27,0.4911,0.484773386323452
2022-09-28,0.4924,0.48523393299579626
2022-09-29,0.4937,0.485712170034647
2022-09-30,0.49349999999999994,0.48624455516338355
2022-10-01,0.49349999999999994,0.4867561895668507
2022-10-02,0.49349999999999994,0.48678446856141094
2022-10-03,0.4942,0.4866158502578736
2022-10-04,0.4882000000000001,0.4865086097419262
2022-10-05,0.4858,0.48617719528079034
2022-10-06,0.4918,0.48560553732514383
2022-10-07,0.4815999999999999,0.48511928150653844
2022-10-08,0.4815999999999999,0.4843822148919106
2022-10-09,0.4815999999999999,0.48356142027378085
2022-10-10,0.4822,0.4825591474473477
2022-10-11,0.48829999999999996,0.481689195150137
2022-10-12,0.48889999999999995,0.4811499162167311
2022-10-13,0.48889999999999995,0.48082009591460234
2022-10-14,0.48889999999999995,0.4806622901678086
2022-10-15,0.48889999999999995,0.48059655110239985
2022-10-16,0.48889999999999995,0.4809154788732529
2022-10-17,0.4876,0.4812653407931328
2022-10-18,0.4893,0.48156473878324035
2022-10-19,0.4905,0.48199665990471846
2022-10-20,0.4905,0.48254050804972654
2022-10-21,0.4971,0.48312971774935726
2022-10-22,0.4971,0.48399534075856215
2022-10-23,0.4971,0.4849014415442944
2022-10-24,0.4971,0.48589902253150946
2022-10-25,0.49229999999999996,0.4868109454631806
2022-10-26,0.4927,0.48748024699091913
2022-10-27,0.49169999999999997,0.4880329883038998
2022-10-28,0.49060000000000004,0.4884429377555848
2022-10-29,0.49060000000000004,0.4887992083013058
2022-10-30,0.49060000000000004,0.4890815717160702
2022-10-31,0.4918,0.48930717453956607
2022-11-01,0.4900999999999999,0.4895391220092774
2022-11-02,0.4822,0.4892011816263199
2022-11-03,0.4911,0.4882837564468384
2022-11-04,0.4874,0.4874492595255375
2022-11-05,0.4874,0.4864699447214604
2022-11-06,0.4874,0.4855636733233929
2022-11-07,0.48480000000000006,0.4845550238609314
2022-11-08,0.4867,0.48348138176202776
2022-11-09,0.4866,0.4825662278592587
2022-11-10,0.4835,0.4817820189237595
2022-11-11,0.4751000000000001,0.48103043426573283
2022-11-12,0.4751000000000001,0.47989358562827117
2022-11-13,0.4751000000000001,0.47859491652250297
2022-11-14,0.4754,0.4773108134448529
2022-11-15,0.46720000000000006,0.47621789215207105
2022-11-16,0.4703,0.4750956362009049
2022-11-17,0.46780000000000005,0.4739791384160519
2022-11-18,0.4726,0.47260295799374585
2022-11-19,0.4726,0.4717567954540253
2022-11-20,0.4726,0.4711940093398095
2022-11-21,0.4674,0.470943209207058
2022-11-22,0.4676,0.4703704316079617
2022-11-23,0.4708,0.469751172810793
2022-11-24,0.4693,0.46941099314093593
2022-11-25,0.4665,0.46924804769754414
2022-11-26,0.4665,0.46901364234387877
2022-11-27,0.4665,0.4686889084219933
2022-11-28,0.4681,0.4683729130506516
2022-11-29,0.4692,0.46819533226788046
2022-11-30,0.4614,0.4681912109136582
2022-12-01,0.4608,0.46775466726422316
2022-12-02,0.45819999999999994,0.4671140605986119
2022-12-03,0.45819999999999994,0.4657105875343085
2022-12-04,0.45819999999999994,0.4642763189435006
2022-12-05,0.45819999999999994,0.4629786095321179
2022-12-06,0.4579,0.461944720107317
2022-12-07,0.4551,0.4610311123788357
2022-12-08,0.452,0.4600242969989777
2022-12-09,0.4493,0.45892941366434103
2022-12-10,0.4493,0.45769411637783053
2022-12-11,0.4493,0.45638045204728844
2022-12-12,0.4493,0.45509782849848274
2022-12-13,0.4527,0.45387053133100275
2022-12-14,0.4444000000000001,0.4527679197907448
2022-12-15,0.45020000000000004,0.45118906790912156
2022-12-16,0.4556,0.45050876455158
2022-12-17,0.4556,0.4504567597791553
2022-12-18,0.4556,0.4510227342113853
2022-12-19,0.44849999999999995,0.45169236630052334
2022-12-20,0.4525,0.45162735233753926
2022-12-21,0.44969999999999993,0.45159360841661694
2022-12-22,0.446,0.45132207621932036
2022-12-23,0.4467,0.4507869852855802
2022-12-24,0.4467,0.450124852141738
2022-12-25,0.4467,0.44956260452270513
2022-12-26,0.44789999999999996,0.4491772232472897
2022-12-27,0.4452,0.4489260232418776
2022-12-28,0.44839999999999997,0.4485440888687969
2022-12-29,0.4466,0.44843381998389964
2022-12-30,0.4467,0.44819804973155264
2022-12-31,0.4467,0.44802900489717723
2023-01-01,0.4467,0.4477356156602502
2023-01-02,0.4467,0.4480253740534187
2023-01-03,0.4431,0.44791350034624344
2023-01-04,0.4435,0.4472636992752552
2023-01-05,0.43760000000000004,0.4466472129285336
2023-01-06,0.4387,0.44564058682173496
2023-01-07,0.4387,0.4444859705090523
2023-01-08,0.4387,0.4431578974336386
2023-01-09,0.4397,0.44200820755213505
2023-01-10,0.4375,0.44106572102010255
2023-01-11,0.4338,0.44004037020951514
2023-01-12,0.4368,0.4387015192329884
