,Actual,Predicted
2024-10-02,0.8062,0.8040705559372902
2024-10-03,0.8179,0.8058625868558883
2024-10-04,0.8186,0.8119893017411232
2024-10-05,0.8186,0.8162321046233176
2024-10-06,0.8186,0.8177291688203812
2024-10-07,0.8283,0.81822786911726
2024-10-08,0.829,0.8210394566774368
2024-10-09,0.826,0.8232582036733627
2024-10-10,0.8276,0.8237499658703803
2024-10-11,0.8239,0.8243020493984222
2024-10-12,0.8239,0.8240421286821364
2024-10-13,0.8239,0.8237847423791885
2024-10-14,0.8239,0.8237420816659927
2024-10-15,0.8251,0.8237847767829894
2024-10-16,0.8244,0.8243925543308257
2024-10-17,0.8223,0.8247466669201851
2024-10-18,0.8198999999999999,0.8243959373712539
2024-10-19,0.8198999999999999,0.8234565301179886
2024-10-20,0.8198999999999999,0.8228959201812743
2024-10-21,0.8229,0.8226641188383101
2024-10-22,0.8289,0.8233231867194175
2024-10-23,0.8289,0.8255923123478889
2024-10-24,0.8355,0.8272638038158416
2024-10-25,0.8338,0.8298399948358536
2024-10-26,0.8338,0.8313578102588653
2024-10-27,0.8338,0.8319769410610198
2024-10-28,0.835,0.8325540877580642
2024-10-29,0.835,0.8334060004115104
2024-10-30,0.8343,0.8340773389816284
2024-10-31,0.8347,0.8343178903579711
