,Actual,Predicted
2022-09-05,8.2939,8.180217485558988
2022-09-06,8.2248,8.178112280499935
2022-09-07,8.2706,8.169514549171925
2022-09-08,8.2109,8.162961452090741
2022-09-09,8.1903,8.152352695930004
2022-09-10,8.1903,8.138828507763147
2022-09-11,8.1903,8.126406228244305
2022-09-12,8.1989,8.115847978538275
2022-09-13,8.1627,8.107482558435201
2022-09-14,8.2149,8.09795678254366
2022-09-15,8.2106,8.094529360973835
2022-09-16,8.2783,8.104683743709327
2022-09-17,8.2783,8.12353511634469
2022-09-18,8.2783,8.145105435180664
2022-09-19,8.2367,8.166842970085144
2022-09-20,8.2177,8.178916505765915
2022-09-21,8.242,8.18471542236805
2022-09-22,8.2923,8.190401322698593
2022-09-23,8.2735,8.201768414348365
2022-09-24,8.2735,8.211655953109265
2022-09-25,8.2735,8.218620303845405
2022-09-26,8.3297,8.22322220823765
2022-09-27,8.333,8.231523271852732
2022-09-28,8.364,8.241170928037167
2022-09-29,8.3142,8.251904149830342
2022-09-30,8.2816,8.257600668519736
2022-10-01,8.2816,8.258190772271156
2022-10-02,8.2816,8.236596816045045
2022-10-03,8.2853,8.216293405920267
2022-10-04,8.2312,8.20002266381979
2022-10-05,8.1735,8.182605415964128
2022-10-06,8.1638,8.161411818033457
2022-10-07,8.1586,8.141192339110376
2022-10-08,8.1586,8.122244662576914
2022-10-09,8.1586,8.104906359910965
2022-10-10,8.2301,8.088362495154144
2022-10-11,8.2659,8.081240438705683
2022-10-12,8.2606,8.082579090589284
2022-10-13,8.2606,8.0871026961267
2022-10-14,8.2606,8.092429603594542
2022-10-15,8.2606,8.096561991858483
2022-10-16,8.2606,8.111818265187742
2022-10-17,8.2046,8.126944532871248
2022-10-18,8.1771,8.134760937654972
2022-10-19,8.1756,8.136460059738159
2022-10-20,8.2068,8.1367958768785
2022-10-21,8.201,8.141394087928534
2022-10-22,8.201,8.147361328601837
2022-10-23,8.201,8.152890446555615
2022-10-24,8.201,8.157091623318196
2022-10-25,8.1657,8.159818325537444
2022-10-26,8.1339,8.159100801479816
2022-10-27,8.1282,8.154339621704818
2022-10-28,8.108,8.147778399270774
2022-10-29,8.108,8.140036969333888
2022-10-30,8.108,8.131998317682744
2022-10-31,8.1508,8.122843261015415
2022-11-01,8.1212,8.118491949892045
2022-11-02,8.0509,8.110641381692886
2022-11-03,8.08,8.090409068405629
2022-11-04,8.053,8.067660942739248
2022-11-05,8.053,8.046602613466979
2022-11-06,8.053,8.030414048230648
2022-11-07,7.989599999999999,8.019499898836017
2022-11-08,7.983799999999999,8.009627041110397
2022-11-09,7.9008,8.001049946331978
2022-11-10,7.942400000000001,7.99023717918098
2022-11-11,7.874,7.980313584166765
2022-11-12,7.874,7.9664874652743345
2022-11-13,7.874,7.9469690750360495
2022-11-14,7.903599999999999,7.920219536253811
2022-11-15,7.892800000000001,7.901034839484096
2022-11-16,7.982900000000001,7.892868629026413
2022-11-17,7.9821,7.897482906115055
2022-11-18,7.9823,7.906733989679814
2022-11-19,7.9823,7.916306532517076
2022-11-20,7.9823,7.924456076768041
2022-11-21,7.9915,7.931599970102311
2022-11-22,8.0298,7.939036930140853
2022-11-23,8.0121,7.950053754448891
2022-11-24,8.0624,7.960035935103893
2022-11-25,8.1126,7.974625929498673
2022-11-26,8.1126,7.995397193747759
2022-11-27,8.1126,8.016567523622513
2022-11-28,8.1275,8.034517305257916
2022-11-29,8.0271,8.049339518544079
2022-11-30,7.9906999999999995,8.050642298841478
2022-12-01,8.0568,8.040031142008305
2022-12-02,8.0327,8.031386782234907
2022-12-03,8.0327,8.023297208628058
2022-12-04,8.0327,8.013704906409979
2022-12-05,8.0327,8.004976569268107
2022-12-06,8.1063,7.998910162356496
2022-12-07,8.0839,7.998725449079275
2022-12-08,8.0278,7.999399207031727
2022-12-09,8.0183,7.996578324586153
2022-12-10,8.0183,7.9917032052040105
2022-12-11,8.0183,7.986396426451207
2022-12-12,8.0183,7.981501593855024
2022-12-13,7.9645,7.976745492425561
2022-12-14,7.969799999999999,7.969038133570552
2022-12-15,7.9971000000000005,7.959630821630359
2022-12-16,8.0323,7.961129210564494
2022-12-17,8.0323,7.966177824696898
2022-12-18,8.0323,7.971987590491772
2022-12-19,7.9841999999999995,7.9772267349153765
2022-12-20,7.982799999999999,7.977422435885668
2022-12-21,7.9452,7.975180577164889
2022-12-22,7.9369,7.9684563398391015
2022-12-23,7.979,7.960927184745669
2022-12-24,7.979,7.9588158856719735
2022-12-25,7.979,7.960164417245984
2022-12-26,7.967600000000001,7.962487852662802
2022-12-27,7.9439,7.963052333852649
2022-12-28,7.9351,7.959643148159981
2022-12-29,7.946599999999999,7.9537689335435635
2022-12-30,7.9395,7.948662287771702
2022-12-31,7.9395,7.9442381254732615
2023-01-01,7.9395,7.940944772225619
2023-01-02,7.9395,7.933673320084811
2023-01-03,7.932500000000001,7.9201311268746855
2023-01-04,7.8862,7.914438163027167
2023-01-05,7.8081,7.909685477939249
2023-01-06,7.8425,7.89781807692051
2023-01-07,7.8425,7.885696666291357
2023-01-08,7.8425,7.872299159762264
2023-01-09,7.7777,7.860323359149695
2023-01-10,7.7554,7.84348776652515
2023-01-11,7.775799999999999,7.823947262400389
2023-01-12,7.744799999999999,7.805660093954206
2023-01-13,7.748400000000001,7.787730718034506
2023-01-14,7.748400000000001,7.772490695410967
2023-01-15,7.748400000000001,7.758481109744311
2023-01-16,7.709599999999999,7.750580496758223
2023-01-17,7.7564,7.743487710046769
2023-01-18,7.741900000000001,7.74106921723485
2023-01-19,7.7692000000000005,7.7400330039113765
2023-01-20,7.765100000000001,7.743314399963618
2023-01-21,7.765100000000001,7.747088580200076
2023-01-22,7.765100000000001,7.751069587600232
2023-01-23,7.7424,7.754908262825013
2023-01-24,7.7567,7.756440445840359
2023-01-25,7.791399999999999,7.758855983978511
2023-01-26,7.8064,7.765114444684983
2023-01-27,7.8875,7.774604210489989
2023-01-28,7.8875,7.791677700519562
2023-01-29,7.8875,7.809138391312957
2023-01-30,7.8408999999999995,7.824446279099584
2023-01-31,7.831899999999999,7.832294169625641
2023-02-01,7.8262,7.836681167668105
2023-02-02,7.837600000000001,7.833131773471833
2023-02-03,7.8468,7.835518134206533
2023-02-04,7.8468,7.840380927059055
2023-02-05,7.8468,7.845422893175483
2023-02-06,7.9858,7.848092671757937
2023-02-07,7.9296,7.861338705089689
2023-02-08,7.908100000000001,7.871530252081156
2023-02-09,7.8953,7.8766121986269955
2023-02-10,7.8852,7.874222190716863
2023-02-11,7.8852,7.868085979637504
2023-02-12,7.8852,7.862041732779145
2023-02-13,7.875899999999999,7.855884838983417
2023-02-14,7.8841,7.849573147982359
2023-02-15,7.8899,7.84404079835415
2023-02-16,7.879199999999999,7.844848993963003
2023-02-17,7.900399999999999,7.845336884468794
2023-02-18,7.900399999999999,7.848010217893124
2023-02-19,7.900399999999999,7.85114120258391
2023-02-20,7.873799999999999,7.854850472331047
2023-02-21,7.9062,7.855463751804829
2023-02-22,7.9151,7.858669249674678
2023-02-23,7.9097,7.864271172636748
2023-02-24,7.9518,7.870707283103466
2023-02-25,7.9518,7.880471556568146
2023-02-26,7.9518,7.890495287322999
2023-02-27,7.9582,7.900490994843841
2023-02-28,7.9567,7.908952211010456
2023-03-01,7.9293,7.916109815877676
2023-03-02,7.8927,7.917073455026746
2023-03-03,7.8793999999999995,7.914732476234437
2023-03-04,7.8793999999999995,7.912153877037764
2023-03-05,7.8793999999999995,7.910643761742115
2023-03-06,7.8793999999999995,7.9095987305641176
2023-03-07,7.8253,7.907412641310692
2023-03-08,7.8842,7.8944782798945905
2023-03-09,7.8593,7.883384495568276
2023-03-10,7.863100000000001,7.872065509700776
2023-03-11,7.863100000000001,7.862643701392413
2023-03-12,7.863100000000001,7.853650413113833
2023-03-13,7.8064,7.84612245835662
2023-03-14,7.8226,7.833507109373809
2023-03-15,7.8258,7.821353982168437
2023-03-16,7.7789,7.81556900793314
2023-03-17,7.7442,7.807824207821489
2023-03-18,7.7442,7.7955004020392895
2023-03-19,7.7442,7.783276916664839
2023-03-20,7.7231,7.77451492394209
2023-03-21,7.7415,7.766428674343229
2023-03-22,7.817800000000001,7.760898725387454
2023-03-23,7.813300000000001,7.766076329496503
2023-03-24,7.8163,7.775260332733393
2023-03-25,7.8163,7.784452922990918
2023-03-26,7.8163,7.791383433479071
2023-03-27,7.8547,7.797496745836735
2023-03-28,7.919400000000001,7.807527678608895
2023-03-29,7.893900000000001,7.824148918884993
2023-03-30,7.8568,7.838237588241697
2023-03-31,7.8429,7.847061028945446
2023-04-01,7.8429,7.8506304595232015
2023-04-02,7.8429,7.850222437542677
2023-04-03,7.884000000000001,7.8546934129536155
2023-04-04,7.8843,7.863473226052523
2023-04-05,7.8315,7.87433760766089
2023-04-06,7.8315,7.876856974881888
2023-04-07,7.8604,7.872412822368742
2023-04-08,7.8604,7.868296176975966
2023-04-09,7.8604,7.864104141235352
2023-04-10,7.8918,7.859761971133948
2023-04-11,7.8793999999999995,7.85867095784545
2023-04-12,7.866199999999999,7.857109597426653
2023-04-13,7.866199999999999,7.853393725830317
2023-04-14,7.866199999999999,7.848123464998603
2023-04-15,7.866199999999999,7.843047058466078
2023-04-16,7.866199999999999,7.842453076705337
