,Actual,Predicted
2022-09-05,36.9008,36.72583005619049
2022-09-06,36.6024,36.74108048214912
2022-09-07,36.9009,36.69224269347191
2022-09-08,36.619,36.69779352903366
2022-09-09,36.4993,36.674167756557466
2022-09-10,36.4993,36.612758045196536
2022-09-11,36.4993,36.57199392166138
2022-09-12,36.58220000000001,36.54091768755913
2022-09-13,36.461,36.539854934787755
2022-09-14,36.8491,36.52381443939209
2022-09-15,36.8649,36.5882460518837
2022-09-16,37.1848,36.66826690955162
2022-09-17,37.1848,36.7845953496933
2022-09-18,37.1848,36.89139869642258
2022-09-19,37.0806,36.95882931685448
2022-09-20,37.0863,36.9903705370903
2022-09-21,37.2874,37.00322735280991
2022-09-22,37.5303,37.04966237397194
2022-09-23,37.4864,37.13784185595512
2022-09-24,37.4864,37.207229589796064
2022-09-25,37.4864,37.25032322263718
2022-09-26,37.9351,37.279344156980514
2022-09-27,38.0752,37.371698848152164
2022-09-28,38.2979,37.485770528459554
2022-09-29,38.2743,37.60169859213829
2022-09-30,38.0679,37.692711233615874
2022-10-01,38.0679,37.718932585144046
2022-10-02,38.0679,37.68904781441689
2022-10-03,38.171,37.62027768797875
2022-10-04,37.9276,37.56399045515061
2022-10-05,37.55919999999999,37.52643188700676
2022-10-06,37.4588,37.44372184257507
2022-10-07,37.5947,37.3540024119854
2022-10-08,37.5947,37.308700858116154
2022-10-09,37.5947,37.2887405397892
2022-10-10,37.9266,37.28064601640701
2022-10-11,38.2615,37.33114992060661
2022-10-12,38.3251,37.43665089917183
2022-10-13,38.3251,37.540063001298904
2022-10-14,38.3251,37.61941893897057
2022-10-15,38.3251,37.67911267852784
2022-10-16,38.3251,37.721216816806795
2022-10-17,38.3293,37.751577765893934
2022-10-18,38.2199,37.77513689374924
2022-10-19,38.2314,37.77807078328133
2022-10-20,38.4745,37.77829055790902
2022-10-21,38.5005,37.81504277701378
2022-10-22,38.5005,37.85732344722748
2022-10-23,38.5005,37.89109904284477
2022-10-24,38.5005,37.916718049097064
2022-10-25,38.3593,37.93334562764168
2022-10-26,38.111,37.92698589935303
2022-10-27,37.9131,37.88052442383766
2022-10-28,37.9183,37.804689967584615
2022-10-29,37.9183,37.74161871933937
2022-10-30,37.9183,37.701063178205494
2022-10-31,38.1937,37.675070758581164
2022-11-01,38.0886,37.70084340357781
2022-11-02,37.8164,37.684012330007555
2022-11-03,37.9901,37.578609537792204
2022-11-04,37.9039,37.5007360613823
2022-11-05,37.9039,37.46513613286019
2022-11-06,37.9039,37.445363029956816
2022-11-07,37.5707,37.43962904887199
2022-11-08,37.4936,37.38861691584587
2022-11-09,37.0231,37.324433058547974
2022-11-10,37.0418,37.20453531565666
2022-11-11,36.1859,37.09280688056946
2022-11-12,36.1859,36.86919688038826
2022-11-13,36.1859,36.64689586195946
2022-11-14,35.993,36.50773222751617
2022-11-15,35.8595,36.35862684359551
2022-11-16,35.8524,36.21143940029145
2022-11-17,35.9994,36.10289667983055
2022-11-18,36.0064,36.067816172361375
2022-11-19,36.0064,36.061461531448366
2022-11-20,36.0064,36.05584964737892
2022-11-21,36.211,36.05663361196518
2022-11-22,36.3511,36.11152588639259
2022-11-23,36.3079,36.20529385051727
2022-11-24,36.1271,36.267583677864074
2022-11-25,35.8446,36.26110337877274
2022-11-26,35.8446,36.171459241342546
2022-11-27,35.8446,36.0887939658165
2022-11-28,36.073,36.037096054553984
2022-11-29,35.8294,36.05859276032448
2022-11-30,35.5352,36.02657943162918
2022-12-01,35.1691,35.893079572486876
2022-12-02,34.9573,35.68721382980347
2022-12-03,34.9573,35.41343620095253
2022-12-04,34.9573,35.24246883769035
2022-12-05,34.9573,35.125619450283054
2022-12-06,35.1816,35.02909514603615
2022-12-07,35.2407,35.015262062931065
2022-12-08,34.9921,35.03962296118736
2022-12-09,34.9137,34.98253701038361
2022-12-10,34.9137,34.89598752355575
2022-12-11,34.9137,34.839299405527115
2022-12-12,34.9137,34.804693041467665
2022-12-13,34.9431,34.77948763885498
2022-12-14,34.7803,34.77309026398659
2022-12-15,34.9006,34.728917090034486
2022-12-16,35.1858,34.724562805223464
2022-12-17,35.1858,34.82693810019493
2022-12-18,35.1858,34.92050104308128
2022-12-19,34.972,34.97811201105118
2022-12-20,35.0685,34.95238108253479
2022-12-21,34.9148,34.95111381726265
2022-12-22,34.85110000000001,34.92833254914284
2022-12-23,34.9926,34.88215037055016
2022-12-24,34.9926,34.895219329833985
2022-12-25,34.9926,34.91985138521194
