,Actual,Predicted
2022-09-05,0.1573,0.15558756814002989
2022-09-06,0.1557,0.15572266566753384
2022-09-07,0.1568,0.1556108291387558
2022-09-08,0.1552,0.15557702353000638
2022-09-09,0.15499999999999997,0.15539780545234677
2022-09-10,0.15499999999999997,0.15509184253215788
2022-09-11,0.15499999999999997,0.15487916939258572
2022-09-12,0.1555,0.15470696628093716
2022-09-13,0.15499999999999997,0.15465308279991147
2022-09-14,0.1564,0.1545865151643753
2022-09-15,0.1562,0.15475163481235502
2022-09-16,0.15740000000000004,0.15499538977146146
2022-09-17,0.15740000000000004,0.15536825475692748
2022-09-18,0.15740000000000004,0.15579565596580502
2022-09-19,0.1567,0.15611680521965024
2022-09-20,0.1566,0.15625418331623075
2022-09-21,0.1575,0.1562989122867584
2022-09-22,0.1584,0.1564980954170227
2022-09-23,0.1581,0.15687723398208617
2022-09-24,0.1581,0.15716450107097624
2022-09-25,0.1581,0.15734826416969297
2022-09-26,0.16,0.15751253767013548
2022-09-27,0.1605,0.15794464104175565
2022-09-28,0.1613,0.1584798172712326
2022-09-29,0.1612,0.15903756549358367
2022-09-30,0.1597,0.15953073654174804
2022-10-01,0.1597,0.15966563663482664
2022-10-02,0.1597,0.1593535089254379
2022-10-03,0.1599,0.15882200739383695
2022-10-04,0.1588,0.15851862320899962
2022-10-05,0.1573,0.15830519256591796
2022-10-06,0.1569,0.15789300992488858
2022-10-07,0.15740000000000004,0.15739772753715514
2022-10-08,0.15740000000000004,0.15705031950473783
2022-10-09,0.15740000000000004,0.15680481584072112
2022-10-10,0.1588,0.15662661314010617
2022-10-11,0.1602,0.15671873443126677
2022-10-12,0.1601,0.15715368247032163
2022-10-13,0.1601,0.15762132000923154
2022-10-14,0.1601,0.15801786503791806
2022-10-15,0.1601,0.1583720503091812
2022-10-16,0.1601,0.15867120778560637
2022-10-17,0.1588,0.1589205029964447
2022-10-18,0.1571,0.15889301528930663
2022-10-19,0.1564,0.1585107379198074
2022-10-20,0.1572,0.1579890033483505
2022-10-21,0.1568,0.1576607263088226
2022-10-22,0.1568,0.1574160164117813
2022-10-23,0.1568,0.1571882576704025
2022-10-24,0.1568,0.1570161270856857
2022-10-25,0.1543,0.15686847434043882
2022-10-26,0.1533,0.15635256206989287
2022-10-27,0.1526,0.1555922400832176
2022-10-28,0.1527,0.15486563506126402
2022-10-29,0.1527,0.15427849328517912
2022-10-30,0.1527,0.15386902637481686
2022-10-31,0.1538,0.15354986355304717
2022-11-01,0.1533,0.1534828204631805
2022-11-02,0.1521,0.1531367380619049
2022-11-03,0.1529,0.15245925996303555
2022-11-04,0.1524,0.1519961634159088
2022-11-05,0.1524,0.15162472076416014
2022-11-06,0.1524,0.1512855445384979
2022-11-07,0.151,0.1510367046356201
2022-11-08,0.1507,0.15063992590904235
2022-11-09,0.1489,0.15021304447650907
2022-11-10,0.149,0.14965899915695188
2022-11-11,0.1455,0.14917148520946502
2022-11-12,0.1455,0.14828145686388014
2022-11-13,0.1455,0.14725097205638885
2022-11-14,0.145,0.14676683061122892
2022-11-15,0.1449,0.1462026244699955
2022-11-16,0.1447,0.1457222332715988
2022-11-17,0.1452,0.1453342716038227
2022-11-18,0.1451,0.1451523327589035
2022-11-19,0.1451,0.14505282077193257
2022-11-20,0.1451,0.14493651174902913
2022-11-21,0.146,0.14488401232361792
2022-11-22,0.1463,0.1451001909315586
2022-11-23,0.1461,0.1453855269908905
2022-11-24,0.1454,0.145495851534605
2022-11-25,0.1443,0.14537539538145064
2022-11-26,0.1443,0.14497046241164205
2022-11-27,0.1443,0.1446026894211769
2022-11-28,0.1456,0.1443805897951126
2022-11-29,0.1446,0.1445735346019268
2022-11-30,0.1435,0.14446696735620498
2022-12-01,0.1427,0.14374208283424375
2022-12-02,0.1426,0.14348019614219665
2022-12-03,0.1426,0.14299086096286773
2022-12-04,0.1426,0.14275847862958907
2022-12-05,0.1426,0.14258081585168836
2022-12-06,0.1466,0.142447364282608
2022-12-07,0.1468,0.14328321803212163
2022-12-08,0.1463,0.14415202922821044
2022-12-09,0.1467,0.14460738251805305
2022-12-10,0.1467,0.14485576912760734
2022-12-11,0.1467,0.1451111918568611
2022-12-12,0.1467,0.14526625342965124
2022-12-13,0.1474,0.14538796470165252
2022-12-14,0.14719999999999997,0.1456350357532501
2022-12-15,0.1482,0.14584058513641357
2022-12-16,0.14960000000000004,0.14616597016453742
2022-12-17,0.14960000000000004,0.14671007022857666
2022-12-18,0.14960000000000004,0.14720726652145383
2022-12-19,0.1482,0.14757660790681837
2022-12-20,0.1479,0.14762836191654205
2022-12-21,0.147,0.14748492580652237
2022-12-22,0.1469,0.1473063020467758
2022-12-23,0.148,0.14709549244642256
2022-12-24,0.148,0.1472739086985588
2022-12-25,0.148,0.1474844846010208
2022-12-26,0.148,0.14754664018154143
2022-12-27,0.1474,0.14759929876327513
2022-12-28,0.1476,0.14748503661155699
2022-12-29,0.1474,0.14739348747730255
2022-12-30,0.1471,0.14733654980659483
2022-12-31,0.1471,0.14715164642333983
2023-01-01,0.1471,0.1469940091371536
2023-01-02,0.1471,0.14694901423454282
2023-01-03,0.1462,0.14641748852729797
2023-01-04,0.1463,0.14630798595547675
2023-01-05,0.1447,0.1462998971879482
2023-01-06,0.1455,0.14598178097009656
2023-01-07,0.1455,0.14577168757319448
2023-01-08,0.1455,0.1456454020678997
2023-01-09,0.1436,0.14547019916176795
2023-01-10,0.1433,0.14487113778591154
2023-01-11,0.1436,0.14408436361551283
2023-01-12,0.1429,0.14368307613134382
2023-01-13,0.14200000000000002,0.14315970668196676
2023-01-14,0.14200000000000002,0.14255349133014678
2023-01-15,0.14200000000000002,0.14214699198007583
2023-01-16,0.1408,0.14162896736264227
2023-01-17,0.14180000000000004,0.1412915831565857
2023-01-18,0.14180000000000004,0.1411659866571426
2023-01-19,0.14180000000000004,0.14118134322762488
2023-01-20,0.1408,0.14114583222866056
2023-01-21,0.1408,0.14092514889240262
2023-01-22,0.1408,0.14073769800066946
2023-01-23,0.1401,0.1406928239762783
2023-01-24,0.1404,0.1404957259953022
2023-01-25,0.1406,0.14040640202760696
2023-01-26,0.1401,0.14045111488103865
2023-01-27,0.1408,0.1403366411924362
2023-01-28,0.1408,0.14038739090561866
2023-01-29,0.1408,0.1404779357433319
2023-01-30,0.1403,0.14048490940928457
2023-01-31,0.1404,0.14036994918584822
2023-02-01,0.141,0.14025090126395223
2023-02-02,0.1402,0.14040790091753005
2023-02-03,0.1415,0.14040463116168975
2023-02-04,0.1415,0.14070946588516234
2023-02-05,0.1415,0.1410948750078678
2023-02-06,0.1437,0.14132631247639654
2023-02-07,0.1439,0.14202144181728363
2023-02-08,0.1426,0.1426243944644928
2023-02-09,0.1428,0.14258223214149474
2023-02-10,0.1435,0.14251663455367086
2023-02-11,0.1435,0.14266315205097196
2023-02-12,0.1435,0.14273590160012242
2023-02-13,0.144,0.1427095430970192
2023-02-14,0.144,0.14275772515535354
2023-02-15,0.1448,0.14274332553744315
2023-02-16,0.1456,0.14309713306427
2023-02-17,0.1463,0.14371175751090048
2023-02-18,0.1463,0.14451885936856268
2023-02-19,0.1463,0.14508473362922666
2023-02-20,0.1451,0.1454378128647804
2023-02-21,0.1463,0.14540394379496574
2023-02-22,0.1468,0.14569660809636115
2023-02-23,0.146,0.14616306002140045
2023-02-24,0.1466,0.1462131358385086
2023-02-25,0.1466,0.1463569335758686
2023-02-26,0.1466,0.14653028402328488
2023-02-27,0.148,0.1465912227630615
2023-02-28,0.1483,0.1469929977893829
2023-03-01,0.1482,0.1474026379585266
2023-03-02,0.1475,0.14721579447984695
2023-03-03,0.1473,0.14716052694320678
2023-03-04,0.1473,0.1471762854337692
2023-03-05,0.1473,0.1471899769067764
2023-03-06,0.1473,0.14722089755535123
2023-03-07,0.1466,0.14726210494041442
2023-03-08,0.1491,0.1471651606082916
2023-03-09,0.1486,0.14748162784576416
2023-03-10,0.1486,0.1477185048341751
2023-03-11,0.1486,0.14786479971408842
2023-03-12,0.1486,0.14795106848478315
2023-03-13,0.1468,0.14800737557411192
2023-03-14,0.1471,0.14774592404365539
2023-03-15,0.1471,0.1475049654006958
2023-03-16,0.1471,0.14749793834686278
2023-03-17,0.146,0.14751005034446715
2023-03-18,0.146,0.14722954437732694
2023-03-19,0.146,0.14693460353612897
2023-03-20,0.1451,0.1467876538991928
2023-03-21,0.1455,0.14641149296760558
2023-03-22,0.1468,0.14617539463639256
2023-03-23,0.1458,0.14643408309221265
2023-03-24,0.1458,0.14636434038877486
2023-03-25,0.1458,0.14617610378861426
2023-03-26,0.1458,0.14612868024110792
2023-03-27,0.1465,0.14606651861667633
2023-03-28,0.1466,0.14620640493631362
2023-03-29,0.1466,0.14635129762887952
2023-03-30,0.1466,0.1464057069301605
2023-03-31,0.14589999999999997,0.14644581734538076
2023-04-01,0.14589999999999997,0.14629094011187552
2023-04-02,0.14589999999999997,0.14636594806909559
2023-04-03,0.14719999999999997,0.14622302770614623
2023-04-04,0.1466,0.14648186625242232
2023-04-05,0.1454,0.14663346970081328
2023-04-06,0.1454,0.14654216232299802
2023-04-07,0.1461,0.14643054538965222
2023-04-08,0.1461,0.1464862098097801
2023-04-09,0.1461,0.1465500838756561
2023-04-10,0.147,0.1465847215294838
2023-04-11,0.1471,0.14674775602817533
2023-04-12,0.1468,0.14692714736461637
2023-04-13,0.1468,0.14701270093917845
2023-04-14,0.1468,0.14705713778734206
2023-04-15,0.1468,0.14707333748340606
2023-04-16,0.1468,0.14710860571861265
2023-04-17,0.1471,0.14711025167703626
2023-04-18,0.1473,0.14716462874412534
2023-04-19,0.1468,0.1472520236968994
2023-04-20,0.147,0.1471787009835243
2023-04-21,0.1469,0.14713103064298627
